model,split,seed,epochs,experiment_tag,alpha_ord,alpha_hr,alpha_topk,topk_frac,stage1_epochs,eval_split,macro_f1,weighted_f1,mae,qwk,recall_6_8,precision_6_8,pr_auc_high,high_fn_rate
gcn,A,0,50,gcn_stabilized_lowtail_s0_4,0.3,0.5,0.1,0.2,0,data_2020_train,0.7349652798460465,0.8378517809696792,0.6448308210765222,0.7756975709794175,0.8709677419354839,0.9,0.9673742531127928,0.12903225806451613
gcn,A,0,50,gcn_stabilized_lowtail_s0_4,0.3,0.5,0.1,0.2,0,data_2020_val,0.24032552414905356,0.6055589912732771,1.3077921010247233,0.18735632183908046,0.2222222222222222,0.5,0.36146425687435313,0.7777777777777778
gcn,A,0,50,gcn_stabilized_lowtail_s0_4,0.3,0.5,0.1,0.2,0,data_2021_test,0.32400670075569377,0.6351254713745508,1.2170905523562674,0.2358090808556762,0.21568627450980393,0.5238095238095238,0.38182900600568503,0.7843137254901961
gcn,A,1,50,gcn_stabilized_lowtail_s0_4,0.3,0.5,0.1,0.2,0,data_2020_train,0.6751638055319868,0.8167984899290321,0.6344752987092096,0.708603051670327,0.6774193548387096,0.9545454545454546,0.9714444763826321,0.3225806451612903
gcn,A,1,50,gcn_stabilized_lowtail_s0_4,0.3,0.5,0.1,0.2,0,data_2020_val,0.23550156739811912,0.6070682191371847,1.2483580606419649,0.38035198318886254,0.3333333333333333,0.5,0.4801103912411144,0.6666666666666666
gcn,A,1,50,gcn_stabilized_lowtail_s0_4,0.3,0.5,0.1,0.2,0,data_2021_test,0.3553879468567004,0.6496256040420797,1.2229975324711277,0.2954285978261586,0.23529411764705882,0.7058823529411765,0.4254453042452393,0.7647058823529411
gcn,A,2,50,gcn_stabilized_lowtail_s0_4,0.3,0.5,0.1,0.2,0,data_2020_train,0.732384038103964,0.8322618918859204,0.6327585127864002,0.7561355586449725,0.8064516129032258,0.9259259259259259,0.9763142513260109,0.1935483870967742
gcn,A,2,50,gcn_stabilized_lowtail_s0_4,0.3,0.5,0.1,0.2,0,data_2020_val,0.22082627118644066,0.6013942695722357,1.3540081404631406,0.26753393665158376,0.2222222222222222,0.5,0.40737998385057206,0.7777777777777778
gcn,A,2,50,gcn_stabilized_lowtail_s0_4,0.3,0.5,0.1,0.2,0,data_2021_test,0.32138739839613867,0.6377474086296586,1.2643674833983913,0.2508041749845398,0.21568627450980393,0.55,0.3958665682516156,0.7843137254901961
gcn,A,3,50,gcn_stabilized_lowtail_s0_4,0.3,0.5,0.1,0.2,0,data_2020_train,0.7209239370665455,0.8484690139658717,0.6492680444460085,0.7684310539505935,0.8064516129032258,0.8928571428571429,0.9490943474780656,0.1935483870967742
gcn,A,3,50,gcn_stabilized_lowtail_s0_4,0.3,0.5,0.1,0.2,0,data_2020_val,0.2443659281894576,0.6017831374974232,1.4176868639889917,0.16281407035175877,0.2222222222222222,0.2857142857142857,0.30847248347248346,0.7777777777777778
gcn,A,3,50,gcn_stabilized_lowtail_s0_4,0.3,0.5,0.1,0.2,0,data_2021_test,0.3720389925608373,0.6523585867915133,1.2304449365598091,0.31699197106864396,0.29411764705882354,0.6521739130434783,0.4035725754059153,0.7058823529411765
gcn,A,4,50,gcn_stabilized_lowtail_s0_4,0.3,0.5,0.1,0.2,0,data_2020_train,0.7275638267874293,0.8484387908991599,0.5967594449031828,0.8042643090717667,0.8387096774193549,0.9629629629629629,0.9701436458729584,0.16129032258064516
gcn,A,4,50,gcn_stabilized_lowtail_s0_4,0.3,0.5,0.1,0.2,0,data_2020_val,0.19084429824561402,0.5379699248120301,1.5566551168540999,-0.09043173862310394,0.0,0.0,0.15021365793555633,1.0
gcn,A,4,50,gcn_stabilized_lowtail_s0_4,0.3,0.5,0.1,0.2,0,data_2021_test,0.34232270369214557,0.6291647429833762,1.2495613555717942,0.2182034730156287,0.17647058823529413,0.5294117647058824,0.36342850752147676,0.8235294117647058
gcn,B,0,50,gcn_stabilized_lowtail_s0_4,0.3,0.5,0.1,0.2,0,data_2020_train,0.5572642856862791,0.7650098474195056,0.8869078153145158,0.5793180782169325,0.55,0.9166666666666666,0.8938540942162493,0.45
gcn,B,0,50,gcn_stabilized_lowtail_s0_4,0.3,0.5,0.1,0.2,0,data_2021_train,0.6339763975765744,0.8122485320237485,0.7371328391675567,0.7035287255759697,0.68,0.9444444444444444,0.957019423710023,0.32
gcn,B,0,50,gcn_stabilized_lowtail_s0_4,0.3,0.5,0.1,0.2,0,data_2021_test,0.3167844005174226,0.6312223999405664,1.2274157850079976,0.1870092790863669,0.15384615384615385,0.4,0.4066508466704872,0.8461538461538461
gcn,B,1,50,gcn_stabilized_lowtail_s0_4,0.3,0.5,0.1,0.2,0,data_2020_train,0.5271313090453573,0.7536271102816969,0.808058362397893,0.6883703976915233,0.7,0.8235294117647058,0.8515848745318809,0.3
gcn,B,1,50,gcn_stabilized_lowtail_s0_4,0.3,0.5,0.1,0.2,0,data_2021_train,0.6466369664504203,0.7881075544827083,0.6758380625204413,0.7227715917933324,0.76,0.8636363636363636,0.9289175616441407,0.24
gcn,B,1,50,gcn_stabilized_lowtail_s0_4,0.3,0.5,0.1,0.2,0,data_2021_test,0.28825646620260764,0.618417615523725,1.3002425276079854,0.2528058001794248,0.23076923076923078,0.5,0.3477914340179178,0.7692307692307693
gcn,B,2,50,gcn_stabilized_lowtail_s0_4,0.3,0.5,0.1,0.2,0,data_2020_train,0.5961828233679932,0.76848243516525,0.8757507848321504,0.6659787970616265,0.725,0.7837837837837838,0.8351925368701577,0.275
gcn,B,2,50,gcn_stabilized_lowtail_s0_4,0.3,0.5,0.1,0.2,0,data_2021_train,0.7267579943276539,0.8166690684320933,0.7016302556577929,0.7642545403350697,0.8,0.8695652173913043,0.9064629973472484,0.2
gcn,B,2,50,gcn_stabilized_lowtail_s0_4,0.3,0.5,0.1,0.2,0,data_2021_test,0.3114825296747494,0.6567543656788507,1.2515552250122088,0.33126494877927704,0.3076923076923077,0.42105263157894735,0.40595787389281807,0.6923076923076923
gcn,B,3,50,gcn_stabilized_lowtail_s0_4,0.3,0.5,0.1,0.2,0,data_2020_train,0.5568934714871993,0.7725275878030715,0.7964920770517738,0.6624393719343435,0.625,0.8620689655172413,0.8935938875525777,0.375
gcn,B,3,50,gcn_stabilized_lowtail_s0_4,0.3,0.5,0.1,0.2,0,data_2021_train,0.6847381150353711,0.8255752736025334,0.6084774069068635,0.7853719519416773,0.8,0.8333333333333334,0.9429702830902233,0.2
