beta,lambda_concentration,seed,is_feasible,pyvrp_cost,num_routes,routes,global_risk,global_cvar90,max_vehicle_risk,max_vehicle_cvar90,vehicle_risk_gini,risk_variance,edge_burden_gini_used,top10_burden_share,max_edge_burden
0.0,0.0,0,True,145999,5,"[[0, 44, 14, 3, 15, 41, 11, 1, 37, 38, 50, 0], [0, 42, 7, 8, 34, 17, 9, 47, 43, 26, 33, 0], [0, 45, 12, 13, 24, 32, 46, 23, 10, 18, 19, 0], [0, 40, 25, 20, 35, 4, 16, 28, 30, 21, 29, 0], [0, 36, 31, 6, 22, 2, 48, 5, 39, 49, 27, 0]]",9.064793472120073,0.24982908612582833,3.2444338015047833,0.4834553947051366,0.2593742825513383,0.7243942098445453,0.8380113359472052,0.8762041328677673,0.8567607402801514
0.0,0.0,1,True,145999,5,"[[0, 6, 22, 5, 2, 48, 43, 9, 47, 31, 36, 0], [0, 12, 45, 13, 24, 32, 46, 23, 10, 18, 19, 0], [0, 27, 49, 39, 17, 34, 8, 7, 30, 21, 29, 0], [0, 33, 26, 28, 16, 4, 35, 20, 25, 40, 44, 0], [0, 14, 3, 15, 42, 41, 11, 1, 37, 38, 50, 0]]",10.060547859000508,0.26456459261038723,2.8861118322238326,0.5142292112112046,0.22842163962159456,0.7449375267289478,0.8516550504397218,0.8897802121930056,1.7135214805603027
0.0,0.0,2,True,146664,5,"[[0, 27, 49, 39, 17, 34, 8, 7, 16, 12, 45, 0], [0, 35, 4, 6, 22, 5, 43, 47, 9, 31, 36, 0], [0, 33, 26, 28, 30, 48, 2, 20, 25, 40, 19, 0], [0, 14, 3, 15, 42, 41, 11, 1, 37, 38, 50, 0], [0, 29, 21, 18, 10, 23, 46, 32, 24, 13, 44, 0]]",8.349245347373653,0.24314452291776736,3.423996541649103,0.5700028359889984,0.2915859760013928,0.8974992995186029,0.8373652026585436,0.8715490168113044,0.8567607402801514
0.0,0.0,3,True,146664,5,"[[0, 44, 50, 38, 37, 1, 41, 11, 15, 3, 14, 0], [0, 19, 18, 21, 29, 10, 23, 46, 32, 24, 13, 0], [0, 45, 12, 42, 7, 8, 34, 17, 39, 49, 27, 0], [0, 16, 35, 4, 6, 22, 5, 30, 28, 26, 33, 0], [0, 40, 25, 20, 2, 48, 43, 47, 9, 31, 36, 0]]",9.839247239811812,0.24424246093258262,3.4187055237125605,0.5056954870621363,0.29723967726907685,1.2720048199348475,0.8394957248775736,0.883844725119548,0.8567607402801514
0.0,0.0,4,True,147330,5,"[[0, 36, 31, 9, 47, 43, 48, 2, 20, 25, 40, 0], [0, 45, 12, 13, 24, 32, 46, 23, 10, 29, 44, 0], [0, 14, 3, 15, 42, 11, 41, 1, 37, 38, 50, 0], [0, 21, 35, 4, 6, 22, 5, 30, 28, 26, 33, 0], [0, 27, 49, 39, 17, 34, 8, 7, 16, 18, 19, 0]]",9.035150404612068,0.2349918922957252,3.4178352060262114,0.43679169317086536,0.2923108326265911,0.915498901692114,0.8387279216747907,0.8794767372112205,0.8567607402801514
1.0,0.0,0,True,179422,5,"[[0, 14, 3, 15, 11, 41, 42, 1, 37, 38, 50, 0], [0, 27, 49, 39, 17, 34, 20, 25, 40, 31, 36, 0], [0, 2, 48, 9, 47, 43, 35, 4, 18, 21, 29, 0], [0, 44, 13, 24, 32, 46, 5, 22, 6, 45, 12, 0], [0, 19, 10, 23, 8, 7, 16, 28, 30, 26, 33, 0]]",5.329686849552672,0.1163013443552159,1.9712226949632168,0.20956498221494257,0.28331916239083466,0.3069199168896643,0.7942408172359581,0.8041690156105481,0.8440956473350525
1.0,0.0,1,True,179092,5,"[[0, 29, 43, 47, 9, 48, 2, 3, 14, 38, 50, 0], [0, 33, 26, 30, 28, 16, 7, 42, 41, 11, 15, 0], [0, 44, 19, 10, 18, 21, 20, 25, 40, 31, 36, 0], [0, 12, 45, 13, 23, 8, 34, 17, 39, 49, 27, 0], [0, 1, 37, 24, 32, 46, 5, 22, 6, 4, 35, 0]]",5.138131178158801,0.11750824195998055,1.9451591663528234,0.23518777745110647,0.2651619056036256,0.2718568219423857,0.7843606984738862,0.7966840697482902,0.8440956473350525
1.0,0.0,2,True,179667,5,"[[0, 14, 3, 15, 11, 42, 41, 1, 37, 38, 50, 0], [0, 13, 24, 32, 46, 5, 20, 25, 40, 31, 36, 0], [0, 2, 48, 9, 47, 43, 35, 4, 18, 21, 29, 0], [0, 33, 26, 30, 28, 16, 7, 8, 23, 10, 19, 0], [0, 12, 45, 6, 22, 34, 17, 39, 49, 27, 44, 0]]",5.506492894317489,0.11806407404181204,1.9712226949632168,0.20956498221494257,0.24033183562047733,0.24291851638233677,0.795694777161245,0.809447147230971,0.8440956473350525
1.0,0.0,3,True,180338,5,"[[0, 44, 11, 41, 1, 37, 24, 32, 46, 31, 36, 0], [0, 45, 12, 13, 23, 8, 34, 17, 39, 49, 27, 0], [0, 15, 3, 2, 48, 9, 47, 28, 30, 26, 33, 0], [0, 29, 43, 35, 4, 6, 22, 5, 16, 7, 42, 0], [0, 19, 10, 18, 21, 20, 25, 40, 14, 38, 50, 0]]",4.607425705064088,0.10130660054939133,1.5652747354470193,0.18822235108486243,0.2035675293772714,0.13016620357879977,0.7647876835761036,0.7689435286396411,0.8440956473350525
1.0,0.0,4,True,179074,5,"[[0, 12, 13, 23, 8, 7, 16, 28, 30, 26, 33, 0], [0, 48, 2, 47, 9, 43, 29, 21, 18, 10, 19, 0], [0, 45, 42, 41, 11, 15, 3, 14, 38, 50, 44, 0], [0, 35, 4, 6, 22, 5, 46, 32, 24, 37, 1, 0], [0, 36, 31, 40, 25, 20, 34, 17, 39, 49, 27, 0]]",5.009600587829482,0.11051928034673135,1.6420296137221158,0.19493107950048788,0.18606148782180143,0.1272028876403795,0.780332315272642,0.7915209789359062,0.8440956473350525
