rank,node_id,label,pred_label,S_i,S_i_norm,P_high
1,3721,8,8,7.646322250366211,0.9494746327400208,0.9716112017631531
2,3475,8,8,7.293820381164551,0.8991171717643738,0.8965277075767517
3,2795,0,7,7.1593804359436035,0.879911482334137,0.9965797662734985
4,3487,8,8,7.043108940124512,0.8633012771606445,0.8898305892944336
5,3335,7,7,7.009970188140869,0.8585671782493591,0.9970548748970032
6,3367,0,7,7.003071308135986,0.857581615447998,0.9999595880508423
7,3208,7,7,7.000191688537598,0.8571702241897583,0.9999122619628906
8,4091,7,7,6.971977233886719,0.8531395792961121,0.9875237345695496
9,3375,0,7,6.919293403625488,0.8456133604049683,0.9864910840988159
10,3448,7,7,6.916252613067627,0.8451789617538452,0.9735885262489319
11,3439,0,7,6.9085164070129395,0.8440737724304199,0.9323215484619141
12,3410,7,7,6.908308982849121,0.8440441489219666,0.9666094183921814
13,3772,8,8,6.897534370422363,0.8425049185752869,0.8622385263442993
14,3300,7,7,6.891002178192139,0.8415717482566833,0.9785167574882507
15,3086,7,7,6.832955837249756,0.8332794308662415,0.9268316030502319
16,3250,0,7,6.812049865722656,0.830292820930481,0.9631152749061584
17,3100,0,7,6.747488498687744,0.8210697770118713,0.9525076150894165
18,4058,8,8,6.652293682098389,0.8074705004692078,0.8155239820480347
19,3198,7,7,6.3673858642578125,0.7667694091796875,0.8510332107543945
20,3901,7,7,6.258479595184326,0.7512113451957703,0.788245439529419
