rank,edge_id,src,dst,R_ij,w_norm,severity,P_level,C_level,RiskLevel
1,6056,3777,4238,0.8581410050392151,0.9999998807907104,7.006988048553467,5,8,40
2,6058,3777,4260,0.8581410050392151,0.9999998807907104,7.006988048553467,5,8,40
3,1040,3777,4886,0.8581410050392151,0.9999998807907104,7.006988048553467,5,8,40
4,837,3739,3777,0.8581410050392151,0.9999998807907104,7.006988048553467,5,8,40
5,3079,3794,4113,0.8561296463012695,0.9999998807907104,6.992908477783203,5,7,35
6,3080,3794,4369,0.8561296463012695,0.9999998807907104,6.992908477783203,5,7,35
7,3077,3794,4699,0.8561296463012695,0.9999998807907104,6.992908477783203,5,7,35
8,372,3477,3862,0.8544902205467224,0.9999998807907104,6.9814324378967285,5,7,35
9,2373,3477,4202,0.8544902205467224,0.9999998807907104,6.9814324378967285,5,7,35
10,451,3477,3873,0.8544902205467224,0.9999998807907104,6.9814324378967285,5,7,35
11,4165,4485,5102,0.845212459564209,0.9999998807907104,6.916488170623779,5,7,35
12,4170,4485,4620,0.845212459564209,0.9999998807907104,6.916488170623779,5,7,35
13,2288,3701,4144,0.7667357325553894,0.9999998807907104,6.367150783538818,5,7,35
14,2286,3701,4109,0.7667357325553894,0.9999998807907104,6.367150783538818,5,7,35
15,1639,3698,4158,0.7321308851242065,0.9999998807907104,6.1249165534973145,5,7,35
16,3060,5028,5029,0.7297557592391968,0.9999998807907104,6.108290672302246,5,7,35
17,3064,4114,5028,0.7297557592391968,0.9999998807907104,6.108290672302246,5,7,35
18,3070,3721,5029,0.7205538153648376,0.9999998807907104,6.043877124786377,5,7,35
19,6602,3584,5220,0.7088273763656616,0.9999998807907104,5.9617919921875,5,6,30
20,4246,3584,5118,0.7088273763656616,0.9999998807907104,5.9617919921875,5,6,30
