edge_id,src,dst,w_raw,w_norm,severity,severity_norm,R_ij,P_level,C_level,RiskLevel
0,3494,3574,0.0,0.009999999776482582,2.65485672239447,0.23640810319921002,0.0023640809791507715,1,3,3
1,0,3494,0.0,0.009999999776482582,3.047835609409958,0.2925479442014226,0.002925479376624665,1,4,4
2,0,3780,0.0,0.009999999776482582,3.047835609409958,0.2925479442014226,0.002925479376624665,1,4,4
3,1,3780,0.0,0.009999999776482582,3.2327582535799593,0.31896546479713705,0.0031896545766770335,1,4,4
4,1,3494,0.0,0.009999999776482582,3.2327582535799593,0.31896546479713705,0.0031896545766770335,1,4,4
5,3494,3780,0.9999998807907104,0.9999998807907104,2.536733309738338,0.2195333299626197,0.2195333037922074,5,3,15
6,2,3573,0.0,0.009999999776482582,3.3096772346179932,0.3299538906597133,0.0032995388328466916,1,4,4
7,2,3494,0.0,0.009999999776482582,3.3096772346179932,0.3299538906597133,0.0032995388328466916,1,4,4
8,3,4,0.0,0.009999999776482582,1.937366002923227,0.1339094289890324,0.0013390942599592344,1,2,2
9,4,5,0.0,0.009999999776482582,1.937366002923227,0.1339094289890324,0.0013390942599592344,1,2,2
10,5,6,0.0,0.009999999776482582,4.030515331658535,0.432930761665505,0.004329307519887484,1,5,5
11,7,3780,0.0,0.009999999776482582,3.3467972588259727,0.33525675126085325,0.003352567437672809,1,4,4
12,7,3494,0.0,0.009999999776482582,3.3467972588259727,0.33525675126085325,0.003352567437672809,1,4,4
13,8,3497,0.0,0.009999999776482582,2.009582433849573,0.14422606197851046,0.0014422605875480676,1,3,3
14,8,9,0.0,0.009999999776482582,3.145995591369683,0.3065707987670976,0.0030657079191470627,1,4,4
15,9,10,0.0,0.009999999776482582,3.162610486499034,0.3089443552141477,0.0030894434830870325,1,4,4
16,10,3497,0.0,0.009999999776482582,3.162610486499034,0.3089443552141477,0.0030894434830870325,1,4,4
17,11,3782,0.0,0.009999999776482582,2.8346252504270524,0.2620893214895789,0.0026208931563142606,1,3,3
18,11,12,0.0,0.009999999776482582,2.8346252504270524,0.2620893214895789,0.0026208931563142606,1,3,3
19,12,13,0.0,0.009999999776482582,2.098044202877645,0.15686345755394931,0.0015686345404777782,1,3,3
20,13,14,0.0,0.009999999776482582,3.5676039376849076,0.36680056252641535,0.0036680055432778387,1,4,4
21,14,15,0.0,0.009999999776482582,3.5676039376849076,0.36680056252641535,0.0036680055432778387,1,4,4
22,16,17,0.0,0.009999999776482582,3.637137009645812,0.3767338585208303,0.003767338501001724,1,4,4
23,17,3181,0.0,0.009999999776482582,3.637137009645812,0.3767338585208303,0.003767338501001724,1,4,4
24,18,3181,0.0,0.009999999776482582,3.3735347558977082,0.33907639369967263,0.0033907638612072463,1,4,4
25,19,3181,0.0,0.009999999776482582,2.2481777525681537,0.17831110750973625,0.0017831110352417242,1,3,3
26,19,20,0.0,0.009999999776482582,2.2481777525681537,0.17831110750973625,0.0017831110352417242,1,3,3
