rank,node_id,label,pred_label,S_i,S_i_norm,P_high
1,3721,8,8,7.583625793457031,0.9405179619789124,0.9427934885025024
2,2795,0,7,7.140288829803467,0.8771840929985046,0.9816457629203796
3,3439,0,7,7.068833351135254,0.8669762015342712,0.925521731376648
4,3475,8,8,7.061135292053223,0.8658764958381653,0.838254988193512
5,3335,7,7,7.008941173553467,0.858420193195343,0.9944710731506348
6,3367,0,7,7.000643253326416,0.85723477602005,0.9998458027839661
7,3208,7,7,6.9938764572143555,0.856268048286438,0.9983406066894531
8,4091,7,7,6.9432573318481445,0.8490367531776428,0.9892733693122864
9,3448,7,7,6.86719274520874,0.8381704092025757,0.9439066052436829
10,3250,0,7,6.745168209075928,0.8207383155822754,0.9657278656959534
11,3300,7,7,6.626411437988281,0.803773045539856,0.9335934519767761
12,3410,7,7,6.584708213806152,0.7978154420852661,0.8823220133781433
13,2412,0,7,6.583331108093262,0.7976187467575073,0.894331157207489
14,3772,8,8,6.450498580932617,0.7786426544189453,0.7698246240615845
15,3086,7,7,6.3363728523254395,0.7623389959335327,0.7981012463569641
16,4058,8,8,6.316779613494873,0.7595399618148804,0.7517598867416382
17,3100,0,7,6.263620853424072,0.7519458532333374,0.862905740737915
18,3487,8,8,5.931306838989258,0.7044724225997925,0.6505884528160095
19,3901,7,7,5.7807087898254395,0.6829584240913391,0.6668697595596313
20,3223,7,7,5.765203952789307,0.680743396282196,0.7166868448257446
