rank,node_id,label,pred_label,S_i,S_i_norm,P_high
1,3721,8,8,7.328455448150635,0.9040650725364685,0.906709611415863
2,3475,8,8,7.272826671600342,0.8961181044578552,0.9101614952087402
3,3439,0,8,7.142012119293213,0.8774303197860718,0.8944632411003113
4,3335,7,7,7.096790313720703,0.8709700703620911,0.9566181302070618
5,4091,7,7,7.042210102081299,0.8631728887557983,0.9677297472953796
6,3300,7,7,7.030488014221191,0.8614982962608337,0.9866874814033508
7,3772,8,8,6.993626117706299,0.8562322854995728,0.8502370119094849
8,3208,7,7,6.9783854484558105,0.8540550470352173,0.9958463311195374
9,3250,0,7,6.923894882202148,0.8462706804275513,0.9768901467323303
10,3367,0,7,6.921774387359619,0.8459677696228027,0.9864841103553772
11,3448,7,7,6.8845109939575195,0.8406444191932678,0.9155301451683044
12,3100,0,7,6.783353805541992,0.8261933922767639,0.9539018869400024
13,4258,4,7,6.778204441070557,0.825457751750946,0.8577284216880798
14,3410,7,7,6.750268936157227,0.8214669823646545,0.8550798892974854
15,3901,7,7,6.733389854431152,0.8190556764602661,0.8306452035903931
16,3487,8,7,6.6797685623168945,0.811395525932312,0.8385336399078369
17,4357,7,7,6.595326900482178,0.7993324398994446,0.8272130489349365
18,3198,7,7,6.5915093421936035,0.7987870573997498,0.8637318015098572
19,3537,8,8,6.556405067443848,0.7937721610069275,0.785314679145813
20,4058,8,8,6.528440475463867,0.7897772192955017,0.7723695039749146
