edge_id,src,dst,w_raw,w_norm,severity,severity_norm,R_ij,P_level,C_level,RiskLevel
0,3392,4348,0.0,0.009999999776482582,3.08302640914917,0.2975752055644989,0.0029757518786937,1,4,4
1,3391,4348,0.0,0.009999999776482582,2.8095169067382812,0.25850242376327515,0.002585024107247591,1,3,3
2,3391,4255,0.0,0.009999999776482582,4.801199436187744,0.5430284738540649,0.005430284421890974,1,5,5
3,3391,3395,0.4999999701976776,0.5049999952316284,2.8045570850372314,0.2577938735485077,0.13018590211868286,5,3,15
4,3395,4255,0.4999999701976776,0.5049999952316284,4.801199436187744,0.5430284738540649,0.27422937750816345,5,5,25
5,3398,4255,0.0,0.009999999776482582,4.801199436187744,0.5430284738540649,0.005430284421890974,1,5,5
6,3398,4348,0.0,0.009999999776482582,3.118055582046509,0.3025793731212616,0.0030257937032729387,1,4,4
7,3399,4255,0.0,0.009999999776482582,4.801199436187744,0.5430284738540649,0.005430284421890974,1,5,5
8,3399,3401,0.0,0.009999999776482582,2.594864845275879,0.22783783078193665,0.0022783782333135605,1,3,3
9,3401,4246,0.4999999701976776,0.5049999952316284,2.862335681915283,0.26604795455932617,0.13435421884059906,5,3,15
10,0,4255,0.0,0.009999999776482582,4.801199436187744,0.5430284738540649,0.005430284421890974,1,5,5
11,0,1,0.0,0.009999999776482582,2.053985357284546,0.15056933462619781,0.0015056933043524623,1,3,3
12,1,3401,0.0,0.009999999776482582,2.457376480102539,0.20819664001464844,0.002081966260448098,1,3,3
13,3396,3401,0.0,0.009999999776482582,2.457376480102539,0.20819664001464844,0.002081966260448098,1,3,3
14,2,4255,0.0,0.009999999776482582,4.801199436187744,0.5430284738540649,0.005430284421890974,1,5,5
15,2,3401,0.0,0.009999999776482582,2.457376480102539,0.20819664001464844,0.002081966260448098,1,3,3
16,3,4246,0.0,0.009999999776482582,2.862335681915283,0.26604795455932617,0.0026604793965816498,1,3,3
17,3,4,0.0,0.009999999776482582,1.9783180952072144,0.13975973427295685,0.001397597254253924,1,2,2
18,4,4246,0.0,0.009999999776482582,2.862335681915283,0.26604795455932617,0.0026604793965816498,1,3,3
19,3391,4246,0.0,0.009999999776482582,2.862335681915283,0.26604795455932617,0.0026604793965816498,1,3,3
20,3395,3396,0.0,0.009999999776482582,2.402536392211914,0.20036233961582184,0.002003623405471444,1,3,3
21,5,4246,0.0,0.009999999776482582,2.862335681915283,0.26604795455932617,0.0026604793965816498,1,3,3
22,5,6,0.0,0.009999999776482582,1.643294334411621,0.09189919382333755,0.0009189919219352305,1,2,2
23,6,3394,0.0,0.009999999776482582,1.643294334411621,0.09189919382333755,0.0009189919219352305,1,2,2
24,7,3394,0.0,0.009999999776482582,2.052048683166504,0.15029266476631165,0.0015029265778139234,1,3,3
25,3390,4255,0.0,0.009999999776482582,4.801199436187744,0.5430284738540649,0.005430284421890974,1,5,5
