rank,node_id,label,pred_label,S_i,S_i_norm,P_high
1,2794,0,8,7.934559345245361,0.9906513094902039,0.9997243285179138
2,3637,8,8,7.876012325286865,0.9822874665260315,0.9700477719306946
3,89,0,8,7.663449764251709,0.9519214034080505,0.9758281707763672
4,2409,0,8,7.287265777587891,0.8981808423995972,0.9123982191085815
5,3794,7,7,7.029228687286377,0.8613184094429016,0.9609473943710327
6,3593,0,7,6.999480247497559,0.8570685982704163,0.9998833537101746
7,3777,7,7,6.989287853240967,0.855612576007843,0.9934285879135132
8,3477,0,7,6.9763407707214355,0.8537629842758179,0.9938099384307861
9,3484,0,7,6.962534427642822,0.8517906069755554,0.9911468625068665
10,5157,7,7,6.945062637329102,0.8492946624755859,0.9892683625221252
11,3901,0,7,6.937209129333496,0.8481727242469788,0.9849464893341064
12,3816,8,8,6.921788692474365,0.8459697961807251,0.8428828716278076
13,4485,7,7,6.904098987579346,0.8434427380561829,0.9685079455375671
14,3756,6,8,6.82504415512085,0.8321491479873657,0.7768857479095459
15,4632,1,8,6.625523090362549,0.8036461472511292,0.728276252746582
16,3651,7,7,6.4124979972839355,0.7732139825820923,0.8565869927406311
17,2163,0,7,6.345305442810059,0.763615071773529,0.7016932964324951
18,4370,6,7,6.345247745513916,0.76360684633255,0.7856093645095825
19,3974,7,7,6.289857387542725,0.7556939125061035,0.783717155456543
20,4437,0,8,6.26483154296875,0.7521187663078308,0.7634024620056152
