rank,node_id,label,pred_label,S_i,S_i_norm,P_high
1,2795,0,7,7.209564208984375,0.8870806097984314,0.9967516660690308
2,3537,8,7,7.108887195587158,0.872698187828064,0.9364089965820312
3,3367,0,7,6.997901916503906,0.856843113899231,0.9990814328193665
4,4636,0,7,6.990825653076172,0.8558322191238403,0.9757230281829834
5,3335,7,7,6.980526447296143,0.8543609380722046,0.9921088218688965
6,2412,0,7,6.976966857910156,0.853852391242981,0.9923078417778015
7,3439,0,7,6.96626615524292,0.8523237109184265,0.9226833581924438
8,2910,0,7,6.9609694480896,0.8515670895576477,0.9827457666397095
9,3208,7,7,6.954279899597168,0.8506113886833191,0.9897592663764954
10,3300,7,7,6.945043563842773,0.8492919206619263,0.9888326525688171
11,3448,7,7,6.8993449211120605,0.8427635431289673,0.9527339935302734
12,3487,8,8,6.8616414070129395,0.8373773694038391,0.8588942289352417
13,1099,0,7,6.8556342124938965,0.836519181728363,0.9363564252853394
14,1983,0,7,6.815662384033203,0.8308089375495911,0.9478216767311096
15,4091,7,7,6.803987979888916,0.8291411399841309,0.9622988700866699
16,3100,0,7,6.771657943725586,0.8245225548744202,0.9529927968978882
17,1317,0,7,6.765783309936523,0.8236833214759827,0.9287184476852417
18,3198,7,7,6.726100921630859,0.8180144429206848,0.9386470317840576
19,2657,0,7,6.648933410644531,0.8069905042648315,0.9006537199020386
20,2000,0,7,6.6429243087768555,0.8061320185661316,0.8814916610717773
