Model,Set,beta,model_seeds,Risk Reduction mean,Risk Reduction std,Global Risk mean,Global Risk std,CVaR90 mean,CVaR90 std,Edge Burden Gini mean,Edge Burden Gini std,Top10 Share mean,Top10 Share std,Risk Reduction mean?std (%)
GCN,A,0.0,10,0.0,0.0,7.795773243499634,0.0,0.22536744437092188,2.925694557147251e-17,0.8504429564771069,0.0,0.8815259771712872,0.0,0.00 ? 0.00
GCN,A,0.5,10,0.40994820217446604,0.011111457135819772,4.599910017767153,0.08662240023571686,0.1294449558445549,0.004705182602510784,0.8128521710025076,0.004312424130093046,0.8288126363044475,0.004061819233131141,40.99 ? 1.11
GCN,A,1.0,10,0.5964753821983788,0.009220529518121086,3.1457864185512947,0.07188115730826711,0.07938481847474459,0.0059738855454978855,0.74850093777424,0.004439414607050615,0.7472645515331029,0.005953171612699912,59.65 ? 0.92
GCN,A,1.5,10,0.6292983881173045,0.012631200972209213,2.889905707237303,0.09846997857241521,0.06284532833354105,0.007502052285515102,0.7327804476785571,0.00792106444780857,0.7259405946046243,0.010303619511479407,62.93 ? 1.26
GCN,A,2.0,10,0.6542410878052987,0.021271444148592118,2.6954580763889933,0.16582735514419147,0.053376681785957544,0.005955070651267675,0.7144794044010367,0.016823789074214387,0.7021078286462703,0.020735119797659605,65.42 ? 2.13
GCN,A,3.0,10,0.7041668009275062,0.016458007101092593,2.3062485378682487,0.12830289140002493,0.04055471191442465,0.0031337767987930742,0.6751752442159565,0.01360151555689842,0.6522112308293129,0.01651304558588712,70.42 ? 1.65
TEG-low,A,0.0,10,0.0,0.0,7.812177609258077,0.051875159367158766,0.22639774951477554,0.0032581109395649634,0.8506476431514081,0.0006472760974768175,0.8817499117305696,0.000708143254158355,0.00 ? 0.00
TEG-low,A,0.5,10,0.4167459699094752,0.011055033094557168,4.556151159195662,0.07094691584281716,0.12743339165635187,0.008009268995728328,0.8079589963141671,0.002755691052994773,0.825065952555339,0.0030513966567441877,41.67 ? 1.11
TEG-low,A,1.0,10,0.5918947117659468,0.0157984004819664,3.188699816231289,0.13985082223921272,0.07760577600654968,0.00554206763643206,0.7504662426222846,0.008525797251329651,0.7499727776728777,0.011631514498066082,59.19 ? 1.58
TEG-low,A,1.5,10,0.6199518119598272,0.014086609850339627,2.9692891477155543,0.12020096228397069,0.06616010458792303,0.004821820264113188,0.7360015068571641,0.009657137902267422,0.7303052729753775,0.012354744729663535,62.00 ? 1.41
TEG-low,A,2.0,10,0.6652237409002802,0.022404115644589828,2.6153440109669224,0.1757280302388043,0.05173777245639131,0.00554616339561228,0.7051596252210784,0.01866771237218045,0.6908469824247933,0.02303366077138243,66.52 ? 2.24
TEG-low,A,3.0,10,0.6923433209669164,0.015533944356854455,2.4039267328904055,0.13278307677636908,0.04394223015482547,0.005041468804848965,0.6837981833554024,0.01572075223256809,0.6634571085554127,0.019897741207081383,69.23 ? 1.55
Stable-Tail GNN,A,0.0,10,0.0,0.0,7.959816901084077,1.8724445165742407e-15,0.23567049580945837,2.925694557147251e-17,0.8524898232201188,0.0,0.8837653227641111,0.0,0.00 ? 0.00
Stable-Tail GNN,A,0.5,10,0.42927587697402825,0.015129486735102015,4.542859520318517,0.12042794421879235,0.12712022579654386,0.006455372533552205,0.8092144215105487,0.0026320463140337225,0.8258173062778237,0.004551907724458091,42.93 ? 1.51
Stable-Tail GNN,A,1.0,10,0.5895199289933925,0.01791483612284587,3.267346206756586,0.14259881535078003,0.08292899686449343,0.005547086151430451,0.7546828411770974,0.007006266435651535,0.756064248818104,0.009691163137728956,58.95 ? 1.79
Stable-Tail GNN,A,1.5,10,0.6310570248600003,0.0222185808409929,2.9367185290556113,0.17685583529623805,0.0629409799108919,0.011404707907824154,0.7352887114779482,0.01093296791101031,0.7292087529869111,0.014893201845729053,63.11 ? 2.22
Stable-Tail GNN,A,2.0,10,0.6544850922991363,0.01952143963244543,2.75023540189384,0.1553870851198316,0.05416498064128953,0.006616281261998443,0.7208611788645117,0.013487031194929819,0.7101507317011688,0.01720959048328103,65.45 ? 1.95
Stable-Tail GNN,A,3.0,10,0.6901373391579024,0.012573731863666743,2.4664500447858098,0.10008460339811398,0.04579928174772679,0.0031635603874251403,0.691332872456688,0.011820341241898558,0.672627415614423,0.015080759077952064,69.01 ? 1.26
GCN,B,0.0,10,0.0,0.0,8.39809784146732,0.0,0.25918567434636797,5.851389114294502e-17,0.8477540592052198,0.0,0.8813086851131514,0.0,0.00 ? 0.00
GCN,B,0.5,10,0.30576191299782896,0.029094273369118864,5.830279379917334,0.24433655438025734,0.1413164635095018,0.00581226921722711,0.8268285842527601,0.004321083830059157,0.8469250755255763,0.005619549380688352,30.58 ? 2.91
GCN,B,1.0,10,0.5154480175801612,0.022841421082816463,4.069314957638758,0.1918244890916472,0.09767274020592845,0.007230494343510673,0.7820803733715597,0.008061356335114001,0.7857019394816542,0.010282184462439158,51.54 ? 2.28
GCN,B,1.5,10,0.589045157006636,0.01863524173089798,3.4512389798831125,0.15650058335547617,0.08011405253573171,0.004508944110701854,0.7549377155682222,0.006971147615960435,0.7482830833150913,0.01015043664877076,58.90 ? 1.86
