method,runs,hop_mean,hop_std,mean_risk_mean,mean_risk_std,max_risk_mean,max_risk_std,cvar80_mean,cvar80_std,cvar90_mean,cvar90_std,re_mean,re_std,hhi_mean,hhi_std,gini_mean,gini_std,total_risk_mean,total_risk_std,hop_increase_pct_mean,hop_increase_pct_std,risk_reduction_pct_mean,risk_reduction_pct_std,cvar90_reduction_pct_mean,cvar90_reduction_pct_std,total_risk_mean_baseline,total_risk_mean_method,total_risk_aggregate_reduction,total_risk_mean_per_od_reduction,total_risk_median_per_od_reduction,total_risk_wilcoxon_p,max_risk_mean_baseline,max_risk_mean_method,max_risk_aggregate_reduction,max_risk_mean_per_od_reduction,max_risk_median_per_od_reduction,max_risk_wilcoxon_p,cvar80_mean_baseline,cvar80_mean_method,cvar80_aggregate_reduction,cvar80_mean_per_od_reduction,cvar80_median_per_od_reduction,cvar80_wilcoxon_p,cvar90_mean_baseline,cvar90_mean_method,cvar90_aggregate_reduction,cvar90_mean_per_od_reduction,cvar90_median_per_od_reduction,cvar90_wilcoxon_p,re_mean_baseline,re_mean_method,re_aggregate_reduction,re_mean_per_od_reduction,re_median_per_od_reduction,re_wilcoxon_p,gini_mean_baseline,gini_mean_method,gini_aggregate_reduction,gini_mean_per_od_reduction,gini_median_per_od_reduction,gini_wilcoxon_p,path_overlap_with_cvar,selected_path_changed_rate,risk_source
CVaR-risk,150,9.973333333333333,2.618844118884448,0.004685350362918725,0.010614741392777958,0.01983583522339662,0.08147233820077028,0.012679959411228386,0.04235252427280729,0.018254972191320523,0.07996349837127997,0.0026200315506284743,0.0105426169435858,0.19468966991979839,0.1337165566474824,0.4007510349128298,0.14639031886438247,0.04337191201394868,0.08996083705544164,0.10637857512856143,0.11236988962940431,0.5357139373441603,0.4205420137707885,0.5958714004547768,0.4286382695475608,0.2769381514047344,0.04337191201394868,0.8433877319004499,0.5357139373441603,0.71544191810166,2.301384198721804e-20,0.19927087380938852,0.01983583522339662,0.9004579302278217,0.5875101868748975,0.8623835541528309,2.794925243656376e-20,0.11241889681528683,0.012679959411228386,0.8872079359313605,0.5748774571599233,0.8024274481611937,8.981357724063318e-21,0.17355957913729878,0.018254972191320523,0.8948201402483565,0.5958714004547768,0.8818635983302845,4.1987984906568744e-21,0.029525430913805467,0.0026200315506284743,0.9112618691598955,0.6640590474718396,0.9619825592970673,1.6193355229250216e-20,0.6109798929090636,0.4007510349128298,0.3440847406531258,0.2151575476091096,0.3368741591186748,3.1407921404998547e-16,1.0,0.0,Stable-Tail-EdgeTail-a030_seed0
Hop-shortest,150,9.093333333333334,2.5733446928612973,0.03194976692321708,0.04438585518983391,0.19927087380938852,0.2552626172261701,0.11241889681528683,0.16463973748970262,0.17355957913729878,0.23775497022298003,0.029525430913805467,0.04414935699844547,0.47417565723283206,0.2807490332362135,0.6109798929090636,0.23409434757451178,0.2769381514047344,0.35946010801102274,0.0,0.0,0.0,0.0,0.0,0.0,0.2769381514047344,0.2769381514047344,0.0,0.0,0.0,1.0,0.19927087380938852,0.19927087380938852,0.0,0.0,0.0,1.0,0.11241889681528683,0.11241889681528683,0.0,0.0,0.0,1.0,0.17355957913729878,0.17355957913729878,0.0,0.0,0.0,1.0,0.029525430913805467,0.029525430913805467,0.0,0.0,0.0,1.0,0.6109798929090636,0.6109798929090636,0.0,0.0,0.0,1.0,0.21333333333333335,0.7866666666666666,Stable-Tail-EdgeTail-a030_seed0
CVaR-risk,150,9.886666666666667,2.6203556976301727,0.005602890247225137,0.012097394624483053,0.022809659220899146,0.08971577204291444,0.014350602181641282,0.046197310000996764,0.02120720408546428,0.08839855319575829,0.0029324280597862414,0.01206604388147881,0.1906118002561092,0.13739520339943231,0.3791135603553706,0.1364708124829127,0.051194045765396,0.09658546467602885,0.09617660117658873,0.10996789778028708,0.5346120525626907,0.43315156091458007,0.5898564088757371,0.44312671382480395,0.35333525156354884,0.051194045765396,0.8551119778179177,0.5346120525626907,0.7546533694339352,2.204272029501144e-19,0.2511868968086007,0.022809659220899146,0.9091924797367563,0.5902087554032256,0.8743742009798775,1.2776015925930462e-19,0.14057316445781745,0.014350602181641282,0.8979136434902876,0.5748392676601335,0.7985150628410217,1.2783902941957056e-19,0.21618516660424775,0.02120720408546428,0.9019025938759783,0.5898564088757371,0.8945662170761908,4.094700747503043e-20,0.037035027393159496,0.0029324280597862414,0.9208201460315731,0.6531364146582217,0.9541962147522698,4.096357955947718e-20,0.6072265446021848,0.3791135603553706,0.3756637226652918,0.2566747056726203,0.34943698126161715,9.910892484534597e-17,1.0,0.0,Stable-Tail-EdgeTail-a030_seed1
Hop-shortest,150,9.093333333333334,2.5733446928612973,0.040067396949209785,0.04720167544868228,0.2511868968086007,0.2731288263675521,0.14057316445781745,0.17624330301379829,0.21618516660424775,0.24988215705920994,0.037035027393159496,0.04700316343430329,0.48117806700172383,0.29274860646803613,0.6072265446021848,0.23805574513533156,0.35333525156354884,0.39564135465074546,0.0,0.0,0.0,0.0,0.0,0.0,0.35333525156354884,0.35333525156354884,0.0,0.0,0.0,1.0,0.2511868968086007,0.2511868968086007,0.0,0.0,0.0,1.0,0.14057316445781745,0.14057316445781745,0.0,0.0,0.0,1.0,0.21618516660424775,0.21618516660424775,0.0,0.0,0.0,1.0,0.037035027393159496,0.037035027393159496,0.0,0.0,0.0,1.0,0.6072265446021848,0.6072265446021848,0.0,0.0,0.0,1.0,0.25333333333333335,0.7466666666666666,Stable-Tail-EdgeTail-a030_seed1
CVaR-risk,150,9.86,2.6036371049930604,0.005318651450631528,0.011755394842956244,0.022125222741160543,0.09240002718975025,0.013668826113894786,0.04643907588927108,0.020672188411311555,0.09094264186332399,0.0028066445032354113,0.011747874383799796,0.1873414930433383,0.14236256612543813,0.3622308986403136,0.14226504779932786,0.048706168771558776,0.09743388312397183,0.09366534391533171,0.11259283835985161,0.5479551491918578,0.4090666408175871,0.6001067767446783,0.43478931421384814,0.33197011925859743,0.048706168771558776,0.8532814673766738,0.5479551491918578,0.7380352360257476,1.0034917279751604e-19,0.2501026131802549,0.022125222741160543,0.9115354195594674,0.6004361225430381,0.9240016272824548,1.2779655511299613e-19,0.13195404352516765,0.013668826113894786,0.8964122223948056,0.5844207144835417,0.8499499882136132,1.2783902941957056e-19,0.21460518384973207,0.020672188411311555,0.9036733966934833,0.6001067767446783,0.8929500681999666,8.746847984597943e-20,0.03476026109817192,0.0028066445032354113,0.9192570937189459,0.6627896255790211,0.9558241730887994,1.8686821759772635e-19,0.6084309946294314,0.3622308986403136,0.4046475248005122,0.28717072949284367,0.409366164537184,3.0564050574020075e-17,1.0,0.0,Stable-Tail-EdgeTail-a030_seed2
Hop-shortest,150,9.093333333333334,2.5733446928612973,0.03762495107022903,0.04687468929926898,0.2501026131802549,0.30407412414650553,0.13195404352516765,0.17641951293807662,0.21460518384973207,0.2707971565343029,0.03476026109817192,0.046695289813265976,0.4831113291786352,0.2881014275181306,0.6084309946294314,0.23711321903200813,0.33197011925859743,0.39129324751174593,0.0,0.0,0.0,0.0,0.0,0.0,0.33197011925859743,0.33197011925859743,0.0,0.0,0.0,1.0,0.2501026131802549,0.2501026131802549,0.0,0.0,0.0,1.0,0.13195404352516765,0.13195404352516765,0.0,0.0,0.0,1.0,0.21460518384973207,0.21460518384973207,0.0,0.0,0.0,1.0,0.03476026109817192,0.03476026109817192,0.0,0.0,0.0,1.0,0.6084309946294314,0.6084309946294314,0.0,0.0,0.0,1.0,0.26666666666666666,0.7333333333333334,Stable-Tail-EdgeTail-a030_seed2
CVaR-risk,150,10.006666666666666,2.5945132262973276,0.004176889218803366,0.00976729241693742,0.01673460242493699,0.07441063036627035,0.010984514246875833,0.04033746108618815,0.015568923664589724,0.0738336830694313,0.0021537650622047814,0.009765654647577515,0.19080510690791475,0.1326719512200458,0.3866311328301984,0.144879672299306,0.038598782514319814,0.08124878735611901,0.11242908017906539,0.12958925489352377,0.5450032302348463,0.43367067513603663,0.6135791911420723,0.4211542181145634,0.28689147607838095,0.038598782514319814,0.8654585941596963,0.5450032302348463,0.7942980209340803,4.4110387044827494e-20,0.20518688849949587,0.01673460242493699,0.9184421453620486,0.6022401645393494,0.9148086769988517,5.970131336968854e-20,0.11715722505404201,0.010984514246875833,0.906241256203233,0.5881710484918182,0.8160780393648848,3.859608705644389e-20,0.1790073889010172,0.015568923664589724,0.9130263629837556,0.6135791911420723,0.9093792466521802,4.199138632978078e-21,0.030375635200472005,0.0021537650622047814,0.9290956370485906,0.6723003361033622,0.9711219558947655,1.1063430998601944e-20,0.6124775620888989,0.3866311328301984,0.3687423723541255,0.2644218931375942,0.34937602971949266,9.137096599347786e-17,1.0,0.0,Stable-Tail-EdgeTail-a030_seed3
Hop-shortest,150,9.093333333333334,2.5733446928612973,0.03270448881310222,0.043507318829319866,0.20518688849949587,0.25585378914638657,0.11715722505404201,0.16734484930005894,0.1790073889010172,0.23849310990913317,0.030375635200472005,0.043329314044928735,0.48240228474545366,0.29171619241320945,0.6124775620888989,0.23330101262620517,0.28689147607838095,0.36301908145124545,0.0,0.0,0.0,0.0,0.0,0.0,0.28689147607838095,0.28689147607838095,0.0,0.0,0.0,1.0,0.20518688849949587,0.20518688849949587,0.0,0.0,0.0,1.0,0.11715722505404201,0.11715722505404201,0.0,0.0,0.0,1.0,0.1790073889010172,0.1790073889010172,0.0,0.0,0.0,1.0,0.030375635200472005,0.030375635200472005,0.0,0.0,0.0,1.0,0.6124775620888989,0.6124775620888989,0.0,0.0,0.0,1.0,0.21333333333333335,0.7866666666666666,Stable-Tail-EdgeTail-a030_seed3
CVaR-risk,150,9.893333333333333,2.5910187332519694,0.004978369411232831,0.011741479427312082,0.01899796656643351,0.08113546304622068,0.012967491347135771,0.04688682656295332,0.017845091558475464,0.08032099619016389,0.002627624442656522,0.011730309000638863,0.18661826771593137,0.13088106484029005,0.3649245676739989,0.14208465196916178,0.045691538647530595,0.09452637378619544,0.09737674362673102,0.10933780630668473,0.5319601970735135,0.42403816526202925,0.592551520712236,0.43646719315618737,0.3114925296279277,0.045691538647530595,0.8533141751329907,0.5319601970735135,0.7587365561006594,9.552498148638765e-20,0.23273402207220595,0.01899796656643351,0.9183704797510965,0.5872664844491974,0.912296441008688,5.9805258011235e-20,0.125527857942248,0.012967491347135771,0.8966963066158711,0.5686846034927923,0.8432852500824948,2.802837240474118e-20,0.197867616348279,0.017845091558475464,0.9098129755200819,0.592551520712236,0.8814757459785958,8.981357724063318e-21,0.033102483389107956,0.002627624442656522,0.9206215312401083,0.6612647125790808,0.9554017225873819,1.3128050198846233e-20,0.5997795884874156,0.3649245676739989,0.39156887850302835,0.26584367043309265,0.36866942266291225,3.3764450192807e-17,1.0,0.0,Stable-Tail-EdgeTail-a030_seed4
Hop-shortest,150,9.093333333333334,2.5733446928612973,0.03574697459637965,0.046860589165823356,0.23273402207220595,0.2903105380977247,0.125527857942248,0.1796593162435049,0.197867616348279,0.25638071473803126,0.033102483389107956,0.046704015943075806,0.4782081315969965,0.28760991780539,0.5997795884874156,0.24415924992051577,0.3114925296279277,0.3796406179463443,0.0,0.0,0.0,0.0,0.0,0.0,0.3114925296279277,0.3114925296279277,0.0,0.0,0.0,1.0,0.23273402207220595,0.23273402207220595,0.0,0.0,0.0,1.0,0.125527857942248,0.125527857942248,0.0,0.0,0.0,1.0,0.197867616348279,0.197867616348279,0.0,0.0,0.0,1.0,0.033102483389107956,0.033102483389107956,0.0,0.0,0.0,1.0,0.5997795884874156,0.5997795884874156,0.0,0.0,0.0,1.0,0.22666666666666666,0.7733333333333333,Stable-Tail-EdgeTail-a030_seed4
