method,runs,hop_mean,hop_std,mean_risk_mean,mean_risk_std,max_risk_mean,max_risk_std,cvar80_mean,cvar80_std,cvar90_mean,cvar90_std,re_mean,re_std,hhi_mean,hhi_std,gini_mean,gini_std,total_risk_mean,total_risk_std,hop_increase_pct_mean,hop_increase_pct_std,risk_reduction_pct_mean,risk_reduction_pct_std,cvar90_reduction_pct_mean,cvar90_reduction_pct_std,total_risk_mean_baseline,total_risk_mean_method,total_risk_aggregate_reduction,total_risk_mean_per_od_reduction,total_risk_median_per_od_reduction,total_risk_wilcoxon_p,max_risk_mean_baseline,max_risk_mean_method,max_risk_aggregate_reduction,max_risk_mean_per_od_reduction,max_risk_median_per_od_reduction,max_risk_wilcoxon_p,cvar80_mean_baseline,cvar80_mean_method,cvar80_aggregate_reduction,cvar80_mean_per_od_reduction,cvar80_median_per_od_reduction,cvar80_wilcoxon_p,cvar90_mean_baseline,cvar90_mean_method,cvar90_aggregate_reduction,cvar90_mean_per_od_reduction,cvar90_median_per_od_reduction,cvar90_wilcoxon_p,re_mean_baseline,re_mean_method,re_aggregate_reduction,re_mean_per_od_reduction,re_median_per_od_reduction,re_wilcoxon_p,gini_mean_baseline,gini_mean_method,gini_aggregate_reduction,gini_mean_per_od_reduction,gini_median_per_od_reduction,gini_wilcoxon_p,path_overlap_with_cvar,selected_path_changed_rate,risk_source
CVaR-risk,150,9.973333333333333,2.618844118884448,0.004672229510885567,0.010568433233565095,0.019697708189487458,0.08084754060041745,0.012643452038173564,0.04227587878475781,0.018109156969520777,0.0792997289159064,0.00260691069817826,0.010497385990552999,0.1946232338878435,0.13340352650515014,0.4007244433292342,0.14631255803109866,0.04324518099541289,0.08943556665738363,0.10637857512856143,0.11236988962940431,0.5350553612342629,0.42022557979026326,0.5957932449448216,0.4284401255653847,0.2674406044762653,0.04324518099541289,0.8382998681859132,0.5350553612342629,0.7155096647270766,2.301384198721804e-20,0.19199073132826017,0.019697708189487458,0.8974028170312748,0.587241800313512,0.8623840632659622,2.795419118708521e-20,0.10826137689962828,0.012643452038173564,0.8832136409018811,0.5743738623264266,0.8075309737788041,8.981357724063318e-21,0.16663475361549193,0.018109156969520777,0.8913242491287333,0.5957932449448216,0.8819134044651448,4.198968558525793e-21,0.02843440055008097,0.00260691069817826,0.9083184224511759,0.6637125390443372,0.9601822913561634,1.6193355229250216e-20,0.6104336403310185,0.4007244433292342,0.34354135019118914,0.21484794628113288,0.3369089893285795,3.1407921404998547e-16,1.0,0.0,Stable-Tail-EdgeTailRaw-a005_seed0
Hop-shortest,150,9.093333333333334,2.5733446928612973,0.03085873656004694,0.04192391795029037,0.19199073132826017,0.24248173726893363,0.10826137689962828,0.15595444083683602,0.16663475361549193,0.2244228698900134,0.02843440055008097,0.04168706779127471,0.4730678761163036,0.2798318958012448,0.6104336403310185,0.23367354979884475,0.2674406044762653,0.33763479778545313,0.0,0.0,0.0,0.0,0.0,0.0,0.2674406044762653,0.2674406044762653,0.0,0.0,0.0,1.0,0.19199073132826017,0.19199073132826017,0.0,0.0,0.0,1.0,0.10826137689962828,0.10826137689962828,0.0,0.0,0.0,1.0,0.16663475361549193,0.16663475361549193,0.0,0.0,0.0,1.0,0.02843440055008097,0.02843440055008097,0.0,0.0,0.0,1.0,0.6104336403310185,0.6104336403310185,0.0,0.0,0.0,1.0,0.21333333333333335,0.7866666666666666,Stable-Tail-EdgeTailRaw-a005_seed0
CVaR-risk,150,9.886666666666667,2.6203556976301727,0.005539739947529144,0.01180258181368442,0.022332072410111627,0.0875427581527143,0.014163997978191926,0.04554083489578084,0.02072649228593542,0.08617629363275955,0.0028692777600902485,0.01177166406235408,0.19050892276862869,0.1368411432628897,0.37908204924376604,0.1363589040615063,0.05073384721894666,0.09472510767044406,0.09617660117658873,0.10996789778028708,0.5335667141857632,0.4323830263853705,0.5898075026507221,0.4427823113994585,0.34236820606888313,0.05073384721894666,0.8518149573456859,0.5335667141857632,0.7549299054432186,2.204272029501144e-19,0.2425389359681867,0.022332072410111627,0.9079237635727535,0.5899802631702277,0.8750675699719275,1.2776622454947196e-19,0.13589574051995038,0.014163997978191926,0.8957730542186616,0.5741766759802674,0.7996949988471513,1.2783902941957056e-19,0.2083485342709658,0.02072649228593542,0.9005200955247408,0.5898075026507221,0.8951471182069348,4.094700747503043e-20,0.035800811620780325,0.0028692777600902485,0.9198543934868602,0.6527770779519847,0.9516699572645803,4.096357955947718e-20,0.6064478152689623,0.37908204924376604,0.37491398319900554,0.2562277882546737,0.34951231700769897,1.0156188689149884e-16,1.0,0.0,Stable-Tail-EdgeTailRaw-a005_seed1
Hop-shortest,150,9.093333333333334,2.5733446928612973,0.03883318117683063,0.04559884899667072,0.2425389359681867,0.26474966490380664,0.13589574051995038,0.17049886768418246,0.2083485342709658,0.24133485716895733,0.035800811620780325,0.04539825537235796,0.47935982083361495,0.29100481842106485,0.6064478152689623,0.23739553550496958,0.34236820606888313,0.38080439202689065,0.0,0.0,0.0,0.0,0.0,0.0,0.34236820606888313,0.34236820606888313,0.0,0.0,0.0,1.0,0.2425389359681867,0.2425389359681867,0.0,0.0,0.0,1.0,0.13589574051995038,0.13589574051995038,0.0,0.0,0.0,1.0,0.2083485342709658,0.2083485342709658,0.0,0.0,0.0,1.0,0.035800811620780325,0.035800811620780325,0.0,0.0,0.0,1.0,0.6064478152689623,0.6064478152689623,0.0,0.0,0.0,1.0,0.25333333333333335,0.7466666666666666,Stable-Tail-EdgeTailRaw-a005_seed1
CVaR-risk,150,9.866666666666667,2.6027003701928964,0.0052271786838802275,0.011251658505240044,0.021425846649799497,0.08773676140585314,0.013373278130182168,0.04454218190841711,0.019965006710909724,0.08616400469619226,0.002715498859494089,0.011245139204074649,0.1870676925293551,0.14118104509640475,0.3621765096424033,0.14208768468053176,0.04803138148985681,0.09311587966277389,0.09440608465607236,0.11233769183019805,0.5467241087485458,0.4082975514913755,0.5996538262195894,0.4344229604682109,0.3166894815920144,0.04803138148985681,0.8483328803683379,0.5467241087485458,0.7385451906954809,1.0034917279751604e-19,0.23658560034818948,0.021425846649799497,0.909437232785191,0.5997372478856918,0.9241788364864852,1.2780262204831837e-19,0.12528493475893304,0.013373278130182168,0.8932570930670346,0.5835925931851588,0.8503782108448306,1.2783902941957056e-19,0.20208398656298718,0.019965006710909724,0.9012044098526922,0.5996538262195894,0.8930714480968143,8.746847984597943e-20,0.032983401924409204,0.002715498859494089,0.9176707464367959,0.6622802720795022,0.9543254961088301,1.8686821759772635e-19,0.6074241492842513,0.3621765096424033,0.40375022944087413,0.28658627589593894,0.40936619150201503,3.2164461776739935e-17,1.0,0.0,Stable-Tail-EdgeTailRaw-a005_seed2
Hop-shortest,150,9.093333333333334,2.5733446928612973,0.03584809189646631,0.04385700134778604,0.23658560034818948,0.2849034064997311,0.12528493475893304,0.16529594426256142,0.20208398656298718,0.25024824063703044,0.032983401924409204,0.04367871528352497,0.48055236059080203,0.28627616902853364,0.6074241492842513,0.2362926461329923,0.3166894815920144,0.3667188242760976,0.0,0.0,0.0,0.0,0.0,0.0,0.3166894815920144,0.3166894815920144,0.0,0.0,0.0,1.0,0.23658560034818948,0.23658560034818948,0.0,0.0,0.0,1.0,0.12528493475893304,0.12528493475893304,0.0,0.0,0.0,1.0,0.20208398656298718,0.20208398656298718,0.0,0.0,0.0,1.0,0.032983401924409204,0.032983401924409204,0.0,0.0,0.0,1.0,0.6074241492842513,0.6074241492842513,0.0,0.0,0.0,1.0,0.26666666666666666,0.7333333333333334,Stable-Tail-EdgeTailRaw-a005_seed2
CVaR-risk,150,10.006666666666666,2.5945132262973276,0.004092409861607255,0.008974414730689368,0.01595306701802959,0.06547953381340264,0.010599671758375027,0.03630976050498106,0.014786315738326975,0.06480736369129578,0.002069285705008671,0.008967437692295605,0.19078328100518369,0.13251388017589735,0.38662807707325586,0.14486265455840916,0.03783018489160737,0.07336630953349475,0.11242908017906539,0.12958925489352377,0.5445351389047479,0.4332288945390452,0.6134128110158317,0.42100976888301345,0.27702934111883226,0.03783018489160737,0.8634434001117468,0.5445351389047479,0.7943699186846824,4.4110387044827494e-20,0.19708054766524583,0.01595306701802959,0.9190530612587602,0.6020712951914161,0.9148244467349405,5.970131336968854e-20,0.11212568176897345,0.010599671758375027,0.9054661555492671,0.5879428136174562,0.816091056966151,3.859608705644389e-20,0.1712665482271566,0.014786315738326975,0.9136648931604024,0.6134128110158317,0.9094009996472072,4.199138632978078e-21,0.029158175594807774,0.002069285705008671,0.9290324012485136,0.6721606067955527,0.9700904496131594,1.1063430998601944e-20,0.6119230927414905,0.38662807707325586,0.3681753774947717,0.26405621392546197,0.3497442166697398,8.732383336402565e-17,1.0,0.0,Stable-Tail-EdgeTailRaw-a005_seed3
Hop-shortest,150,9.093333333333334,2.5733446928612973,0.031487029207438004,0.04069715038599818,0.19708054766524583,0.24174349412768703,0.11212568176897345,0.15563839554512077,0.1712665482271566,0.22327962803455265,0.029158175594807774,0.04051552273223889,0.481321188803441,0.29088339404344365,0.6119230927414905,0.23288602067258146,0.27702934111883226,0.3429150866198381,0.0,0.0,0.0,0.0,0.0,0.0,0.27702934111883226,0.27702934111883226,0.0,0.0,0.0,1.0,0.19708054766524583,0.19708054766524583,0.0,0.0,0.0,1.0,0.11212568176897345,0.11212568176897345,0.0,0.0,0.0,1.0,0.1712665482271566,0.1712665482271566,0.0,0.0,0.0,1.0,0.029158175594807774,0.029158175594807774,0.0,0.0,0.0,1.0,0.6119230927414905,0.6119230927414905,0.0,0.0,0.0,1.0,0.21333333333333335,0.7866666666666666,Stable-Tail-EdgeTailRaw-a005_seed3
CVaR-risk,150,9.893333333333333,2.5910187332519694,0.004935565162090253,0.011386555996683236,0.018855393559982378,0.08053834020599548,0.012817234946000908,0.04579442519297301,0.017699539967191716,0.07970892693307237,0.002584820193513944,0.011373175910217205,0.18663288348756985,0.13093983728239708,0.3649295968039197,0.14209971901981733,0.04539416145107957,0.09241598927153595,0.09737674362673102,0.10933780630668473,0.5310348481448647,0.42315276983780503,0.5921114585600279,0.4361275216691399,0.2980141306172421,0.04539416145107957,0.847677821994858,0.5310348481448647,0.7590893371886307,9.552498148638765e-20,0.22135328725601236,0.018855393559982378,0.9148176483185024,0.5868536589468185,0.9123482895915411,5.981347150839442e-20,0.11935351193339254,0.012817234946000908,0.8926111620909284,0.56816075338063,0.8435533134947596,2.802837240474118e-20,0.18793736695570665,0.017699539967191716,0.9058221350293313,0.5921114585600279,0.8815157806318159,8.981357724063318e-21,0.03151827906116514,0.002584820193513944,0.9179898055532865,0.6609080926204763,0.9541204738598932,1.3128050198846233e-20,0.5989825150271452,0.3649295968039197,0.3907508355435513,0.2653276907920287,0.3687235787459259,3.4568891636884803e-17,1.0,0.0,Stable-Tail-EdgeTailRaw-a005_seed4
Hop-shortest,150,9.093333333333334,2.5733446928612973,0.034162770270853834,0.04435119629608626,0.22135328725601236,0.2742029201534402,0.11935351193339254,0.16927653978068385,0.18793736695570665,0.24169411327736542,0.03151827906116514,0.04419383912719406,0.47602144304226746,0.2858782790981697,0.5989825150271452,0.24346507370495388,0.2980141306172421,0.3585165129877373,0.0,0.0,0.0,0.0,0.0,0.0,0.2980141306172421,0.2980141306172421,0.0,0.0,0.0,1.0,0.22135328725601236,0.22135328725601236,0.0,0.0,0.0,1.0,0.11935351193339254,0.11935351193339254,0.0,0.0,0.0,1.0,0.18793736695570665,0.18793736695570665,0.0,0.0,0.0,1.0,0.03151827906116514,0.03151827906116514,0.0,0.0,0.0,1.0,0.5989825150271452,0.5989825150271452,0.0,0.0,0.0,1.0,0.22666666666666666,0.7733333333333333,Stable-Tail-EdgeTailRaw-a005_seed4
