method,runs,hop_mean,hop_std,mean_risk_mean,mean_risk_std,max_risk_mean,max_risk_std,cvar80_mean,cvar80_std,cvar90_mean,cvar90_std,re_mean,re_std,hhi_mean,hhi_std,gini_mean,gini_std,total_risk_mean,total_risk_std,hop_increase_pct_mean,hop_increase_pct_std,risk_reduction_pct_mean,risk_reduction_pct_std,cvar90_reduction_pct_mean,cvar90_reduction_pct_std,total_risk_mean_baseline,total_risk_mean_method,total_risk_aggregate_reduction,total_risk_mean_per_od_reduction,total_risk_median_per_od_reduction,total_risk_wilcoxon_p,max_risk_mean_baseline,max_risk_mean_method,max_risk_aggregate_reduction,max_risk_mean_per_od_reduction,max_risk_median_per_od_reduction,max_risk_wilcoxon_p,cvar80_mean_baseline,cvar80_mean_method,cvar80_aggregate_reduction,cvar80_mean_per_od_reduction,cvar80_median_per_od_reduction,cvar80_wilcoxon_p,cvar90_mean_baseline,cvar90_mean_method,cvar90_aggregate_reduction,cvar90_mean_per_od_reduction,cvar90_median_per_od_reduction,cvar90_wilcoxon_p,re_mean_baseline,re_mean_method,re_aggregate_reduction,re_mean_per_od_reduction,re_median_per_od_reduction,re_wilcoxon_p,gini_mean_baseline,gini_mean_method,gini_aggregate_reduction,gini_mean_per_od_reduction,gini_median_per_od_reduction,gini_wilcoxon_p,path_overlap_with_cvar,selected_path_changed_rate,risk_source
CVaR-risk,150,9.973333333333333,2.618844118884448,0.00468223903394337,0.010607216424455794,0.0197677547732989,0.0810654264297522,0.012676335746849267,0.042378585486134185,0.018171515415112176,0.07949881670623193,0.0026169202208190055,0.010536001286700855,0.19466137158893634,0.1335591820615183,0.4007407388988645,0.14635511568748938,0.04332662344558609,0.0897209814958611,0.10637857512856143,0.11236988962940431,0.5353726565290461,0.4204804823486761,0.5958839279867889,0.4285446197435175,0.2706746685376152,0.04332662344558609,0.8399310002649732,0.5353726565290461,0.7155773623693917,2.301384198721804e-20,0.1945963318591627,0.0197677547732989,0.8984166115294299,0.587334157166053,0.8623845723753266,2.795419118708521e-20,0.10964678079517194,0.012676335746849267,0.8843893486356524,0.5745687813807422,0.8066138461651208,8.981357724063318e-21,0.1689520061719749,0.018171515415112176,0.892445696101957,0.5958839279867889,0.8819631282986702,4.198968558525793e-21,0.028805071385978244,0.0026169202208190055,0.909150712155429,0.6638044339609053,0.9604740763821968,1.6193355229250216e-20,0.6106913106760635,0.4007407388988645,0.34379164744366547,0.2149932441110513,0.33694379222663584,3.1407921404998547e-16,1.0,0.0,Stable-Tail-EdgeTailRaw-a010_seed0
Hop-shortest,150,9.093333333333334,2.5733446928612973,0.03122940739649857,0.042559278083584055,0.1945963318591627,0.24641377251634342,0.10964678079517194,0.15818863562868266,0.1689520061719749,0.22814579133296142,0.028805071385978244,0.04232231134220775,0.47363805877140275,0.2803524153876176,0.6106913106760635,0.23387571593033799,0.2706746685376152,0.3433267822175901,0.0,0.0,0.0,0.0,0.0,0.0,0.2706746685376152,0.2706746685376152,0.0,0.0,0.0,1.0,0.1945963318591627,0.1945963318591627,0.0,0.0,0.0,1.0,0.10964678079517194,0.10964678079517194,0.0,0.0,0.0,1.0,0.1689520061719749,0.1689520061719749,0.0,0.0,0.0,1.0,0.028805071385978244,0.028805071385978244,0.0,0.0,0.0,1.0,0.6106913106760635,0.6106913106760635,0.0,0.0,0.0,1.0,0.21333333333333335,0.7866666666666666,Stable-Tail-EdgeTailRaw-a010_seed0
CVaR-risk,150,9.886666666666667,2.6203556976301727,0.005559046240545461,0.011896707471304219,0.022456192451839645,0.088033922442945,0.014224763531043814,0.045785428792395534,0.02084748727269471,0.08667043847147989,0.0028885840531065656,0.011865804846249689,0.19054760310736954,0.1370040085961286,0.37909755604362677,0.13640472258066055,0.0508753553263307,0.09531168248731618,0.09617660117658873,0.10996789778028708,0.5340074953073259,0.43272457909212136,0.589928243934695,0.4429241366996386,0.34637109927585696,0.0508753553263307,0.8531189367890488,0.5340074953073259,0.7552051277051479,2.204272029501144e-19,0.24559777894755824,0.022456192451839645,0.9085651647625722,0.5901295372934873,0.8759047519922263,1.2776622454947196e-19,0.137556768746167,0.014224763531043814,0.8965898685931674,0.5744474329834603,0.8008493902366671,1.2783902941957056e-19,0.2108981001069252,0.02084748727269471,0.9011490038884836,0.589928243934695,0.895714168252115,4.094700747503043e-20,0.036239774788329036,0.0028885840531065656,0.9202924391528746,0.6529058570172145,0.9522867554752306,4.096357955947718e-20,0.6067382775077301,0.37909755604362677,0.3751876713610308,0.25638829846574784,0.34958628165063244,1.0156188689149884e-16,1.0,0.0,Stable-Tail-EdgeTailRaw-a010_seed1
Hop-shortest,150,9.093333333333334,2.5733446928612973,0.039272144344379326,0.04608579699700536,0.24559777894755824,0.2675726056294406,0.137556768746167,0.1723849315441812,0.2108981001069252,0.2436588163455342,0.036239774788329036,0.04588555141671585,0.48005018627030543,0.2916534867126703,0.6067382775077301,0.2376419135999793,0.34637109927585696,0.3857047684800512,0.0,0.0,0.0,0.0,0.0,0.0,0.34637109927585696,0.34637109927585696,0.0,0.0,0.0,1.0,0.24559777894755824,0.24559777894755824,0.0,0.0,0.0,1.0,0.137556768746167,0.137556768746167,0.0,0.0,0.0,1.0,0.2108981001069252,0.2108981001069252,0.0,0.0,0.0,1.0,0.036239774788329036,0.036239774788329036,0.0,0.0,0.0,1.0,0.6067382775077301,0.6067382775077301,0.0,0.0,0.0,1.0,0.25333333333333335,0.7466666666666666,Stable-Tail-EdgeTailRaw-a010_seed1
CVaR-risk,150,9.866666666666667,2.6027003701928964,0.005274054105199092,0.011590988905809488,0.021818580996089926,0.09100021529919215,0.013562878464581445,0.04611525883522239,0.020349935439880937,0.08946734751030955,0.002762374280812954,0.011585614506238035,0.1871201344252809,0.14142668127648209,0.3621956874043679,0.14214972870624465,0.04843534753672657,0.09625057035601423,0.09440608465607236,0.11233769183019805,0.5472009224557222,0.4086357781995304,0.599902621580982,0.4345393236590756,0.3219936871089885,0.04843534753672657,0.8495767169460633,0.5472009224557222,0.7390525770520187,1.0034917279751604e-19,0.2413321068479369,0.021818580996089926,0.9095910557365358,0.6000079815273913,0.9243547577267283,1.2780262204831837e-19,0.12771495278821224,0.013562878464581445,0.893803519718115,0.5838758348554988,0.8508037373230657,1.2783902941957056e-19,0.20630715830251578,0.020349935439880937,0.9013609822934866,0.599902621580982,0.8931922477014542,8.746847984597943e-20,0.03362531124926329,0.002762374280812954,0.917848365439552,0.6624620699974131,0.9546411315486505,1.8686821759772635e-19,0.6078100217868122,0.3621956874043679,0.40409721060537035,0.2868001871837304,0.4093662184668121,3.135418419672447e-17,1.0,0.0,Stable-Tail-EdgeTailRaw-a010_seed2
Hop-shortest,150,9.093333333333334,2.5733446928612973,0.03649000122132039,0.045096327089544724,0.2413321068479369,0.29234529063556364,0.12771495278821224,0.17002064138504086,0.20630715830251578,0.2577483820485865,0.03362531124926329,0.04491875622314047,0.4814938997700057,0.28694326773023016,0.6078100217868122,0.23659745794746279,0.3219936871089885,0.3753213187225868,0.0,0.0,0.0,0.0,0.0,0.0,0.3219936871089885,0.3219936871089885,0.0,0.0,0.0,1.0,0.2413321068479369,0.2413321068479369,0.0,0.0,0.0,1.0,0.12771495278821224,0.12771495278821224,0.0,0.0,0.0,1.0,0.20630715830251578,0.20630715830251578,0.0,0.0,0.0,1.0,0.03362531124926329,0.03362531124926329,0.0,0.0,0.0,1.0,0.6078100217868122,0.6078100217868122,0.0,0.0,0.0,1.0,0.26666666666666666,0.7333333333333334,Stable-Tail-EdgeTailRaw-a010_seed2
CVaR-risk,150,10.006666666666666,2.5945132262973276,0.0041146199114529235,0.00916152887470289,0.01613173621241003,0.06730966703423578,0.010694931587074985,0.037198563617805526,0.01496391244646576,0.06665751752781031,0.00209149575485434,0.009155910281599124,0.1908012271973744,0.13259011946432378,0.3866356427102167,0.14488207341764414,0.03802179187018275,0.07510202657116807,0.11242908017906539,0.12958925489352377,0.5447567688056023,0.43342474321032143,0.613489677948911,0.42108009045200967,0.2802305199775098,0.03802179187018275,0.8643195899072715,0.5447567688056023,0.7944417007872845,4.4110387044827494e-20,0.19961889405269176,0.01613173621241003,0.9191873279837375,0.602134972107024,0.9148402073519558,5.970131336968854e-20,0.11367353398546887,0.010694931587074985,0.9059153770186466,0.5880580785157817,0.8161040649862503,3.859608705644389e-20,0.17368418001802638,0.01496391244646576,0.9138441253208754,0.613489677948911,0.9094227388724901,4.199138632978078e-21,0.029544384241308983,0.00209149575485434,0.9292083484055418,0.6722139249060666,0.9702532710313134,1.1063430998601944e-20,0.6121114203951706,0.3866356427102167,0.3683574103862031,0.2641663516516646,0.35006578952720235,8.732383336402565e-17,1.0,0.0,Stable-Tail-EdgeTailRaw-a010_seed3
Hop-shortest,150,9.093333333333334,2.5733446928612973,0.03187323785393922,0.04149921638620146,0.19961889405269176,0.24615520358960655,0.11367353398546887,0.1589101600597911,0.17368418001802638,0.22796397514688832,0.029544384241308983,0.04131843659657037,0.4817241368157147,0.2912277191408712,0.6121114203951706,0.23302793716996845,0.2802305199775098,0.34908039489267795,0.0,0.0,0.0,0.0,0.0,0.0,0.2802305199775098,0.2802305199775098,0.0,0.0,0.0,1.0,0.19961889405269176,0.19961889405269176,0.0,0.0,0.0,1.0,0.11367353398546887,0.11367353398546887,0.0,0.0,0.0,1.0,0.17368418001802638,0.17368418001802638,0.0,0.0,0.0,1.0,0.029544384241308983,0.029544384241308983,0.0,0.0,0.0,1.0,0.6121114203951706,0.6121114203951706,0.0,0.0,0.0,1.0,0.21333333333333335,0.7866666666666666,Stable-Tail-EdgeTailRaw-a010_seed3
CVaR-risk,150,9.893333333333333,2.5910187332519694,0.004945836655082755,0.011459015036140158,0.018898585718125104,0.08067917525303654,0.012852743634954094,0.04601493184572162,0.017739753515666555,0.07984506808796116,0.002595091686506445,0.011446040717379195,0.1866517092840324,0.1310084530239849,0.36493826900638615,0.14212362565766076,0.045468314447222276,0.09285163376162091,0.09737674362673102,0.10933780630668473,0.5313708373907543,0.4234538220770248,0.592259620874924,0.43624455380470956,0.30167810401109213,0.045468314447222276,0.8492820199957245,0.5313708373907543,0.7594399324147681,9.552498148638765e-20,0.22446503002817433,0.018898585718125104,0.9158061025511688,0.5869888593768915,0.9124000504434489,5.981347150839442e-20,0.12094552578171715,0.012852743634954094,0.8937311359574848,0.568358008025812,0.8438195017272347,2.802837240474118e-20,0.19053015005826537,0.017739753515666555,0.9068926702091583,0.592259620874924,0.8815557929882296,8.981357724063318e-21,0.03193610647918808,0.002595091686506445,0.9187411374296256,0.661018821226176,0.9545527472036432,1.3128050198846233e-20,0.599247057853129,0.36493826900638615,0.3910053220549632,0.26548914561107645,0.36877767529620087,3.3764450192807e-17,1.0,0.0,Stable-Tail-EdgeTailRaw-a010_seed4
Hop-shortest,150,9.093333333333334,2.5733446928612973,0.034580597691227254,0.0449664596292536,0.22446503002817433,0.27858157051829485,0.12094552578171715,0.17173751489857692,0.19053015005826537,0.24528981813923503,0.03193610647918808,0.04480958352449746,0.47671129667975787,0.28642338493877284,0.599247057853129,0.2436880674624233,0.30167810401109213,0.36403864896703125,0.0,0.0,0.0,0.0,0.0,0.0,0.30167810401109213,0.30167810401109213,0.0,0.0,0.0,1.0,0.22446503002817433,0.22446503002817433,0.0,0.0,0.0,1.0,0.12094552578171715,0.12094552578171715,0.0,0.0,0.0,1.0,0.19053015005826537,0.19053015005826537,0.0,0.0,0.0,1.0,0.03193610647918808,0.03193610647918808,0.0,0.0,0.0,1.0,0.599247057853129,0.599247057853129,0.0,0.0,0.0,1.0,0.22666666666666666,0.7733333333333333,Stable-Tail-EdgeTailRaw-a010_seed4
