group,src,dst,method,path,hop,mean_risk,max_risk,cvar80,cvar90,cvar95,re,hhi,gini,total_risk,hop_increase_pct,risk_reduction_pct,cvar90_reduction_pct,risk_source,risk_dir
high_high,3142,1367,Hop-shortest,3142 3143 4625 1391 1392 3680 4429 3636 4787 3477 5018 3946 1368 1367,13,0.034938453701145664,0.4182991683483124,0.10988900531083345,0.2132590040564537,0.4182991683483124,0.03286626580386208,0.8491258498735502,0.8796709443029742,0.4541998981148936,0.0,0.0,0.0,Stable-Tail-MatrixEnsRaw-r005_seed0,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\stable_tail_matrix_ens_raw_r005_splitB_seed0_floor_0p01
high_high,3142,1367,CVaR-risk,3142 3143 4625 3379 2386 3535 3712 4295 3566 3777 5018 3946 1368 1367,13,0.0036539629822632726,0.008172509260475636,0.007161231711506844,0.008172509260475636,0.008172509260475636,0.001500801004182834,0.12868020307266975,0.4364491369397434,0.047501518769422546,0.0,0.8954171522990918,0.9616780107475608,Stable-Tail-MatrixEnsRaw-r005_seed0,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\stable_tail_matrix_ens_raw_r005_splitB_seed0_floor_0p01
high_high,3414,1456,Hop-shortest,3414 4295 3703 5211 4381 1456,5,0.004077760191285052,0.006149954162538052,0.006149954162538052,0.006149954162538052,0.006149954162538052,0.0012118877843022347,0.25842345641779574,0.27914977470187163,0.020388800956425257,0.0,0.0,0.0,Stable-Tail-MatrixEnsRaw-r005_seed0,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\stable_tail_matrix_ens_raw_r005_splitB_seed0_floor_0p01
high_high,3414,1456,CVaR-risk,3414 2732 3969 3561 1553 1552 4381 1456,7,0.0020537979268868056,0.003985581919550896,0.003985581919550896,0.003985581919550896,0.003985581919550896,0.0001236210311097758,0.19646384653530363,0.313458037045923,0.014376585488207638,0.39999999999992,0.29487832466323,0.3519330690006311,Stable-Tail-MatrixEnsRaw-r005_seed0,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\stable_tail_matrix_ens_raw_r005_splitB_seed0_floor_0p01
high_high,183,858,Hop-shortest,183 3858 3900 3636 3508 3456 3643 858,7,0.09604832367040217,0.3314652442932129,0.3314652442932129,0.3314652442932129,0.3314652442932129,0.09368923885215606,0.4861510312738333,0.7024496902100221,0.6723382656928152,0.0,0.0,0.0,Stable-Tail-MatrixEnsRaw-r005_seed0,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\stable_tail_matrix_ens_raw_r005_splitB_seed0_floor_0p01
high_high,183,858,CVaR-risk,183 3858 3859 3920 3760 4103 3514 1298 3643 858,9,0.0019025128179540236,0.002800917951390147,0.0025033721855531135,0.002800917951390147,0.002800917951390147,0.0,0.1270378584618563,0.19473089094942453,0.017122615361586213,0.2857142857142449,0.9745327371112567,0.9915498894662271,Stable-Tail-MatrixEnsRaw-r005_seed0,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\stable_tail_matrix_ens_raw_r005_splitB_seed0_floor_0p01
high_high,1764,1679,Hop-shortest,1764 5093 1762 3703 4295 3566 3777 5018 3477 1681 1680 1679,11,0.004626906208365902,0.008218839764595032,0.008195674512535334,0.008218839764595032,0.008218839764595032,0.002160468773747032,0.1375812729376248,0.39300990550042436,0.05089596829202492,0.0,0.0,0.0,Stable-Tail-MatrixEnsRaw-r005_seed0,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\stable_tail_matrix_ens_raw_r005_splitB_seed0_floor_0p01
high_high,1764,1679,CVaR-risk,1764 5093 1762 3703 4295 3566 3777 5018 3477 1681 1680 1679,11,0.004626906208365902,0.008218839764595032,0.008195674512535334,0.008218839764595032,0.008218839764595032,0.002160468773747032,0.1375812729376248,0.39300990550042436,0.05089596829202492,0.0,0.0,0.0,Stable-Tail-MatrixEnsRaw-r005_seed0,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\stable_tail_matrix_ens_raw_r005_splitB_seed0_floor_0p01
high_high,4808,4597,Hop-shortest,4808 4461 3697 4381 3734 4597,5,0.08204183201305568,0.40055322647094727,0.40055322647094727,0.40055322647094727,0.40055322647094727,0.07948659835383295,0.9536364883997867,0.7803661569708455,0.4102091600652784,0.0,0.0,0.0,Stable-Tail-MatrixEnsRaw-r005_seed0,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\stable_tail_matrix_ens_raw_r005_splitB_seed0_floor_0p01
high_high,4808,4597,CVaR-risk,4808 4461 3697 1976 4381 3734 4597,6,0.0025293141758690276,0.003985581919550896,0.003985581919550896,0.003985581919550896,0.003985581919550896,0.00014422453629473844,0.19646224849473978,0.222566026075818,0.015175885055214167,0.19999999999996,0.9630045193194561,0.9900498069740801,Stable-Tail-MatrixEnsRaw-r005_seed0,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\stable_tail_matrix_ens_raw_r005_splitB_seed0_floor_0p01
high_high,3056,3681,Hop-shortest,3056 3057 5255 3058 3059 3060 3061 3934 3777 3566 4370 3681,11,0.002877168550846611,0.008172509260475636,0.007547431159764528,0.008172509260475636,0.008172509260475636,0.0014525537633083084,0.2295772635878665,0.6185524670038269,0.031648854059312725,0.0,0.0,0.0,Stable-Tail-MatrixEnsRaw-r005_seed0,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\stable_tail_matrix_ens_raw_r005_splitB_seed0_floor_0p01
high_high,3056,3681,CVaR-risk,3056 3057 5255 3058 3059 3060 3061 3934 3777 3566 4370 3681,11,0.002877168550846611,0.008172509260475636,0.007547431159764528,0.008172509260475636,0.008172509260475636,0.0014525537633083084,0.2295772635878665,0.6185524670038269,0.031648854059312725,0.0,0.0,0.0,Stable-Tail-MatrixEnsRaw-r005_seed0,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\stable_tail_matrix_ens_raw_r005_splitB_seed0_floor_0p01
high_high,1651,1264,Hop-shortest,1651 4336 3934 5088 3677 3674 1264,6,0.02698198502184823,0.15087248384952545,0.0769215211039409,0.15087248384952545,0.15087248384952545,0.024553262589809794,0.8694958221770175,0.7734170674867076,0.1618919101310894,0.0,0.0,0.0,Stable-Tail-MatrixEnsRaw-r005_seed0,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\stable_tail_matrix_ens_raw_r005_splitB_seed0_floor_0p01
high_high,1651,1264,CVaR-risk,1651 4336 3934 4901 3610 2297 2298 3674 1264,8,0.0012788260937668383,0.002400364028289914,0.002400364028289914,0.002400364028289914,0.002400364028289914,0.0,0.17559179000226963,0.3363121123560626,0.010230608750134706,0.33333333333327775,0.9368059296923025,0.9840901139291374,Stable-Tail-MatrixEnsRaw-r005_seed0,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\stable_tail_matrix_ens_raw_r005_splitB_seed0_floor_0p01
high_high,4546,735,Hop-shortest,4546 4872 4697 3047 3675 4438 1637 4887 4115 735,9,0.051312955380934805,0.2760952115058899,0.21776923537254333,0.2760952115058899,0.2760952115058899,0.0479816569843226,0.47711626400547325,0.755473676663472,0.46181659842841327,0.0,0.0,0.0,Stable-Tail-MatrixEnsRaw-r005_seed0,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\stable_tail_matrix_ens_raw_r005_splitB_seed0_floor_0p01
high_high,4546,735,CVaR-risk,4546 4872 3049 4102 3663 2036 4607 4887 1831 4115 735,10,0.002084686211310327,0.003145484020933509,0.003145484020933509,0.003145484020933509,0.003145484020933509,0.0,0.11820009210621377,0.23434464128749322,0.02084686211310327,0.11111111111109877,0.9548590020692173,0.9886072489096575,Stable-Tail-MatrixEnsRaw-r005_seed0,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\stable_tail_matrix_ens_raw_r005_splitB_seed0_floor_0p01
