method,runs,hop_mean,hop_std,mean_risk_mean,mean_risk_std,max_risk_mean,max_risk_std,cvar80_mean,cvar80_std,cvar90_mean,cvar90_std,re_mean,re_std,hhi_mean,hhi_std,gini_mean,gini_std,total_risk_mean,total_risk_std,hop_increase_pct_mean,hop_increase_pct_std,risk_reduction_pct_mean,risk_reduction_pct_std,cvar90_reduction_pct_mean,cvar90_reduction_pct_std,total_risk_mean_baseline,total_risk_mean_method,total_risk_aggregate_reduction,total_risk_mean_per_od_reduction,total_risk_median_per_od_reduction,total_risk_wilcoxon_p,max_risk_mean_baseline,max_risk_mean_method,max_risk_aggregate_reduction,max_risk_mean_per_od_reduction,max_risk_median_per_od_reduction,max_risk_wilcoxon_p,cvar80_mean_baseline,cvar80_mean_method,cvar80_aggregate_reduction,cvar80_mean_per_od_reduction,cvar80_median_per_od_reduction,cvar80_wilcoxon_p,cvar90_mean_baseline,cvar90_mean_method,cvar90_aggregate_reduction,cvar90_mean_per_od_reduction,cvar90_median_per_od_reduction,cvar90_wilcoxon_p,re_mean_baseline,re_mean_method,re_aggregate_reduction,re_mean_per_od_reduction,re_median_per_od_reduction,re_wilcoxon_p,gini_mean_baseline,gini_mean_method,gini_aggregate_reduction,gini_mean_per_od_reduction,gini_median_per_od_reduction,gini_wilcoxon_p,path_overlap_with_cvar,selected_path_changed_rate,risk_source
CVaR-risk,150,9.973333333333333,2.618844118884448,0.0033235165616925686,0.007734131019227929,0.014203515609260649,0.05957453577099962,0.009058455242937068,0.031071765220841704,0.013063129552950461,0.0584804482769196,0.001877793207221054,0.007686207916010888,0.19482192681645571,0.1341117413467308,0.4008158935017349,0.14653383563983785,0.030724256387723727,0.06556548366422356,0.10637857512856143,0.11236988962940431,0.5360555436642741,0.4209796438706792,0.5962606156245865,0.4287530940098393,0.1925276185157337,0.030724256387723727,0.84041636921794,0.5360555436642741,0.714931453587343,2.301384198721804e-20,0.13870903159646938,0.014203515609260649,0.8976020851224819,0.5876389880111649,0.8623972977459213,2.795419118708521e-20,0.07817839164378046,0.009058455242937068,0.8841309592924856,0.5750071638535931,0.810253635436132,8.981357724063318e-21,0.12042413220275193,0.013063129552950461,0.891523988465632,0.5962606156245865,0.8821341866207024,4.198968558525793e-21,0.020536980516307497,0.001877793207221054,0.9085652729407545,0.6639867433230587,0.9609061483814133,1.6193355229250216e-20,0.6111839262870744,0.4008158935017349,0.3441975872352785,0.21525758301338796,0.3373515826512137,3.283692013063629e-16,1.0,0.0,Stable-Tail-MatrixEnsRaw-r030_seed0
Hop-shortest,150,9.093333333333334,2.5733446928612973,0.022234016078362152,0.0305093051364095,0.13870903159646938,0.1765844016239096,0.07817839164378046,0.11367639415490488,0.12042413220275193,0.16340820894248878,0.020536980516307497,0.030343937271173575,0.47472940275516007,0.2811909741575264,0.6111839262870744,0.23422581057220748,0.1925276185157337,0.2452088661871498,0.0,0.0,0.0,0.0,0.0,0.0,0.1925276185157337,0.1925276185157337,0.0,0.0,0.0,1.0,0.13870903159646938,0.13870903159646938,0.0,0.0,0.0,1.0,0.07817839164378046,0.07817839164378046,0.0,0.0,0.0,1.0,0.12042413220275193,0.12042413220275193,0.0,0.0,0.0,1.0,0.020536980516307497,0.020536980516307497,0.0,0.0,0.0,1.0,0.6111839262870744,0.6111839262870744,0.0,0.0,0.0,1.0,0.21333333333333335,0.7866666666666666,Stable-Tail-MatrixEnsRaw-r030_seed0
CVaR-risk,150,9.886666666666667,2.6203556976301727,0.0039200861631346765,0.008518985804178729,0.015947882562953358,0.06337677908456354,0.010074320114541076,0.03294866789159788,0.014810541558157031,0.062436683678242254,0.0020507626186773748,0.008498627100303106,0.190664574172351,0.13732456919131214,0.3791569707131858,0.13654916618015805,0.035859277739109574,0.06846263693118039,0.09617660117658873,0.10996789778028708,0.534405857024667,0.4329299888803822,0.5901513591513795,0.44299891143177206,0.24466394759447818,0.035859277739109574,0.8534345656868151,0.534405857024667,0.7569390608045419,2.204272029501144e-19,0.17369518294115552,0.015947882562953358,0.9081846583548355,0.5903244018450772,0.8753095062704945,1.2777229011380544e-19,0.09732005200760127,0.010074320114541076,0.8964825859869999,0.5747163447883916,0.8005376467730627,1.2783902941957056e-19,0.14935949285734545,0.014810541558157031,0.9008396368002967,0.5901513591513795,0.8950639304108482,4.094884850204825e-20,0.025649918138591334,0.0020507626186773748,0.9200479857862796,0.653035987929573,0.9528514190612059,4.096357955947718e-20,0.6069927320752324,0.3791569707131858,0.37535171233884335,0.25650255171107317,0.34962800185783316,1.0156188689149884e-16,1.0,0.0,Stable-Tail-MatrixEnsRaw-r030_seed1
Hop-shortest,150,9.093333333333334,2.5733446928612973,0.027772576848399132,0.032858473571387534,0.17369518294115552,0.19063906206555187,0.09732005200760127,0.12281526909920584,0.14935949285734545,0.17407409918502612,0.025649918138591334,0.03271819252194031,0.4805431501212981,0.2920080829650127,0.6069927320752324,0.23778059066190946,0.24466394759447818,0.27359945446926864,0.0,0.0,0.0,0.0,0.0,0.0,0.24466394759447818,0.24466394759447818,0.0,0.0,0.0,1.0,0.17369518294115552,0.17369518294115552,0.0,0.0,0.0,1.0,0.09732005200760127,0.09732005200760127,0.0,0.0,0.0,1.0,0.14935949285734545,0.14935949285734545,0.0,0.0,0.0,1.0,0.025649918138591334,0.025649918138591334,0.0,0.0,0.0,1.0,0.6069927320752324,0.6069927320752324,0.0,0.0,0.0,1.0,0.25333333333333335,0.7466666666666666,Stable-Tail-MatrixEnsRaw-r030_seed1
CVaR-risk,150,9.866666666666667,2.6027003701928964,0.003671317746503652,0.00791147185064263,0.015073793133875977,0.06144250158380616,0.009397163802964821,0.03119970534601676,0.014036537285945897,0.06030332096294674,0.0019131418693147295,0.007906883004231887,0.18716024595462866,0.14150837282762285,0.36222281152751296,0.1422053691873787,0.03371506700282206,0.06532674062566339,0.09440608465607236,0.11233769183019805,0.5473023837651989,0.4087259295800258,0.5998146760128632,0.4346078196188355,0.22406999162569263,0.03371506700282206,0.8495333232305717,0.5473023837651989,0.7408116761428518,1.0034917279751604e-19,0.16748043198992188,0.015073793133875977,0.9099966906241738,0.5998833565564438,0.9253274656806454,1.2780262204831837e-19,0.08865233413137806,0.009397163802964821,0.8939998151663697,0.5839508397255256,0.8522836575326713,1.2783902941957056e-19,0.14301209240298096,0.014036537285945897,0.9018506963222701,0.5998146760128632,0.8939766574420729,8.746847984597943e-20,0.023343174359287303,0.0019131418693147295,0.9180427716990596,0.6624072338649197,0.9547359426176091,1.8686821759772635e-19,0.6078160186574159,0.36222281152751296,0.4040584643885848,0.2867804542867151,0.4093664775534411,3.2164461776739935e-17,1.0,0.0,Stable-Tail-MatrixEnsRaw-r030_seed2
Hop-shortest,150,9.093333333333334,2.5733446928612973,0.025348457339293296,0.030950213570096394,0.16748043198992188,0.2016387267051503,0.08865233413137806,0.11667919221452897,0.14301209240298096,0.176649546027199,0.023343174359287303,0.03082508058063019,0.48140412842303715,0.2869596869698395,0.6078160186574159,0.23656225300627956,0.22406999162569263,0.25968069826931783,0.0,0.0,0.0,0.0,0.0,0.0,0.22406999162569263,0.22406999162569263,0.0,0.0,0.0,1.0,0.16748043198992188,0.16748043198992188,0.0,0.0,0.0,1.0,0.08865233413137806,0.08865233413137806,0.0,0.0,0.0,1.0,0.14301209240298096,0.14301209240298096,0.0,0.0,0.0,1.0,0.023343174359287303,0.023343174359287303,0.0,0.0,0.0,1.0,0.6078160186574159,0.6078160186574159,0.0,0.0,0.0,1.0,0.26666666666666666,0.7333333333333334,Stable-Tail-MatrixEnsRaw-r030_seed2
CVaR-risk,150,10.006666666666666,2.5945132262973276,0.0028767136730429477,0.006356177953260539,0.011237819269299508,0.04618569206610854,0.0074634672594968135,0.025680934281036974,0.010413586136419326,0.04571024412883657,0.0014605267810482074,0.006351742436537291,0.19087708557289806,0.13278809648373802,0.3866773534079278,0.14497336843312258,0.026575122136525808,0.05188057910550058,0.11242908017906539,0.12958925489352377,0.5449849508266207,0.4335846962748765,0.6135696143163055,0.42117363743038844,0.19645755952850474,0.026575122136525808,0.8647284319261095,0.5449849508266207,0.794722670790664,4.4110387044827494e-20,0.1398971428636772,0.011237819269299508,0.9196708450209746,0.6021749285336317,0.9150168475945308,5.970131336968854e-20,0.07959381684321366,0.0074634672594968135,0.9062305646793543,0.5882127772681326,0.8163010929197807,3.859608705644389e-20,0.12160487706850594,0.010413586136419326,0.9143653906950853,0.6135696143163055,0.9099053318501962,4.199138632978078e-21,0.020700157515295324,0.0014605267810482074,0.9294436875227413,0.67225447805172,0.970613910714828,1.1063430998601944e-20,0.6122567269388022,0.3866773534079278,0.3684391916090023,0.26421015915004953,0.35042095659475303,8.536708358712157e-17,1.0,0.0,Stable-Tail-MatrixEnsRaw-r030_seed3
Hop-shortest,150,9.093333333333334,2.5733446928612973,0.022330355017700646,0.0289614473261092,0.1398971428636772,0.17220613922119601,0.07959381684321366,0.11077265780474571,0.12160487706850594,0.15896919678821164,0.020700157515295324,0.02883370517091591,0.48206000962103257,0.2914921062210384,0.6122567269388022,0.23312128516427852,0.19645755952850474,0.24431975374432036,0.0,0.0,0.0,0.0,0.0,0.0,0.19645755952850474,0.19645755952850474,0.0,0.0,0.0,1.0,0.1398971428636772,0.1398971428636772,0.0,0.0,0.0,1.0,0.07959381684321366,0.07959381684321366,0.0,0.0,0.0,1.0,0.12160487706850594,0.12160487706850594,0.0,0.0,0.0,1.0,0.020700157515295324,0.020700157515295324,0.0,0.0,0.0,1.0,0.6122567269388022,0.6122567269388022,0.0,0.0,0.0,1.0,0.21333333333333335,0.7866666666666666,Stable-Tail-MatrixEnsRaw-r030_seed3
CVaR-risk,150,9.893333333333333,2.5910187332519694,0.003483142920913733,0.008166452567956551,0.013385537719198813,0.057681490579495544,0.009080080683989866,0.0328366317539553,0.012563984656396012,0.05709213134944463,0.0018376214354667549,0.00815775714066704,0.1867594639995314,0.13139408977434447,0.3649913892569336,0.14226195854798943,0.03200484664812223,0.06624843143374193,0.09737674362673102,0.10933780630668473,0.5317138644456217,0.42366777911182557,0.5924076017990251,0.4363324299161424,0.2119603532880865,0.03200484664812223,0.8490055043196132,0.5317138644456217,0.760861932414785,9.552498148638765e-20,0.15758081351950143,0.013385537719198813,0.9150560438091827,0.5871073837706521,0.9129552963730765,5.981620957965961e-20,0.08502691864268855,0.009080080683989866,0.8932093408789679,0.5685958716195653,0.8448957242077287,2.802837240474118e-20,0.13386721228740903,0.012563984656396012,0.9061459154738529,0.5924076017990251,0.8818933309505165,8.98173413768158e-21,0.022450630568234892,0.0018376214354667549,0.9181483374910223,0.6611063713109796,0.9548888460116888,1.3128050198846233e-20,0.5994441277567077,0.3649913892569336,0.39111691589468495,0.2655662877646651,0.36976236770476045,3.4568891636884803e-17,1.0,0.0,Stable-Tail-MatrixEnsRaw-r030_seed4
Hop-shortest,150,9.093333333333334,2.5733446928612973,0.02430177506766925,0.031633624417674616,0.15758081351950143,0.1952033888485575,0.08502691864268855,0.12080166895506032,0.13386721228740903,0.1721637618473623,0.022450630568234892,0.03152382595938252,0.4770588551245577,0.2866964923444753,0.5994441277567077,0.24379605787066252,0.2119603532880865,0.25567569150984815,0.0,0.0,0.0,0.0,0.0,0.0,0.2119603532880865,0.2119603532880865,0.0,0.0,0.0,1.0,0.15758081351950143,0.15758081351950143,0.0,0.0,0.0,1.0,0.08502691864268855,0.08502691864268855,0.0,0.0,0.0,1.0,0.13386721228740903,0.13386721228740903,0.0,0.0,0.0,1.0,0.022450630568234892,0.022450630568234892,0.0,0.0,0.0,1.0,0.5994441277567077,0.5994441277567077,0.0,0.0,0.0,1.0,0.22666666666666666,0.7733333333333333,Stable-Tail-MatrixEnsRaw-r030_seed4
