set,seed,customer_count,high_risk_ratio,high_exposure_ratio,mean_risk,risk_p90,risk_p95,mean_exposure,Q1_count,Q2_count,Q3_count,Q4_count,Q5_count,risk_source,instance_meta
A,0,50,0.42,0.4,0.17896735815979942,0.47426840960979466,0.5296026587486267,0.013132673923027091,8,10,4,7,21,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\stable_tail_gnn_splitB_seed0_epochs50_paper_comparison_10seed_floor_0p01,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\fixed_instances_10seed\setA\pyvrp_cvrp_meta.json
B,0,50,0.3,0.36,0.14962873898362886,0.39540387690067297,0.5296026587486267,0.00944158470538256,9,7,6,13,15,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\stable_tail_gnn_splitB_seed0_epochs50_paper_comparison_10seed_floor_0p01,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\fixed_instances_10seed\setB\pyvrp_cvrp_meta.json
A,1,50,0.36,0.4,0.17213516850955785,0.34166005551815043,0.4634564176201817,0.013132673923027091,6,7,9,10,18,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\stable_tail_gnn_splitB_seed1_epochs50_paper_comparison_10seed_floor_0p01,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\fixed_instances_10seed\setA\pyvrp_cvrp_meta.json
B,1,50,0.26,0.36,0.14282557284808717,0.31168276667594913,0.40091196447610855,0.00944158470538256,9,9,9,10,13,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\stable_tail_gnn_splitB_seed1_epochs50_paper_comparison_10seed_floor_0p01,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\fixed_instances_10seed\setB\pyvrp_cvrp_meta.json
A,2,50,0.4,0.4,0.19616908561438323,0.4607992768287659,0.5107260733842849,0.013132673923027091,4,6,8,12,20,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\stable_tail_gnn_splitB_seed2_epochs50_paper_comparison_10seed_floor_0p01,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\fixed_instances_10seed\setA\pyvrp_cvrp_meta.json
B,2,50,0.3,0.36,0.1672793434909545,0.37590284645557415,0.5107260733842849,0.00944158470538256,7,7,9,12,15,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\stable_tail_gnn_splitB_seed2_epochs50_paper_comparison_10seed_floor_0p01,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\fixed_instances_10seed\setB\pyvrp_cvrp_meta.json
A,3,50,0.42,0.4,0.1769905188586563,0.39461903572082524,0.4686787396669387,0.013132673923027091,4,8,10,7,21,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\stable_tail_gnn_splitB_seed3_epochs50_paper_comparison_10seed_floor_0p01,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\fixed_instances_10seed\setA\pyvrp_cvrp_meta.json
B,3,50,0.28,0.36,0.144739406418812,0.3613166838884354,0.4686787396669387,0.00944158470538256,9,5,10,12,14,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\stable_tail_gnn_splitB_seed3_epochs50_paper_comparison_10seed_floor_0p01,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\fixed_instances_10seed\setB\pyvrp_cvrp_meta.json
A,4,50,0.36,0.4,0.21847064968198537,0.46402291655540473,0.7269995808601377,0.013132673923027091,7,6,8,11,18,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\stable_tail_gnn_splitB_seed4_epochs50_paper_comparison_10seed_floor_0p01,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\fixed_instances_10seed\setA\pyvrp_cvrp_meta.json
B,4,50,0.26,0.36,0.17371420720548486,0.33286408185958866,0.6600999116897581,0.00944158470538256,10,6,10,11,13,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\stable_tail_gnn_splitB_seed4_epochs50_paper_comparison_10seed_floor_0p01,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\fixed_instances_10seed\setB\pyvrp_cvrp_meta.json
A,5,50,0.38,0.4,0.18510688664325115,0.5100045323371888,0.6265408813953398,0.013132673923027091,7,6,9,9,19,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\stable_tail_gnn_splitB_seed5_epochs50_paper_comparison_10seed_floor_0p01,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\fixed_instances_10seed\setA\pyvrp_cvrp_meta.json
B,5,50,0.26,0.36,0.1550265189493075,0.4261581957340242,0.6366591185331342,0.00944158470538256,8,7,13,9,13,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\stable_tail_gnn_splitB_seed5_epochs50_paper_comparison_10seed_floor_0p01,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\fixed_instances_10seed\setB\pyvrp_cvrp_meta.json
A,6,50,0.48,0.4,0.22956192639656364,0.42508886456489564,0.5160472363233564,0.013132673923027091,5,7,6,8,24,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\stable_tail_gnn_splitB_seed6_epochs50_paper_comparison_10seed_floor_0p01,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\fixed_instances_10seed\setA\pyvrp_cvrp_meta.json
B,6,50,0.36,0.36,0.19091029248549604,0.37793067097663885,0.48992632627487165,0.00944158470538256,8,7,10,7,18,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\stable_tail_gnn_splitB_seed6_epochs50_paper_comparison_10seed_floor_0p01,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\fixed_instances_10seed\setB\pyvrp_cvrp_meta.json
A,7,50,0.48,0.4,0.2211919114179909,0.5234588384628298,0.7239697903394697,0.013132673923027091,5,6,7,8,24,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\stable_tail_gnn_splitB_seed7_epochs50_paper_comparison_10seed_floor_0p01,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\fixed_instances_10seed\setA\pyvrp_cvrp_meta.json
B,7,50,0.38,0.36,0.17610720267253782,0.4600933998823167,0.6812517434358596,0.00944158470538256,10,8,5,8,19,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\stable_tail_gnn_splitB_seed7_epochs50_paper_comparison_10seed_floor_0p01,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\fixed_instances_10seed\setB\pyvrp_cvrp_meta.json
A,8,50,0.46,0.4,0.21035398936714045,0.476374113559723,0.6392098605632777,0.013132673923027091,7,9,5,6,23,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\stable_tail_gnn_splitB_seed8_epochs50_paper_comparison_10seed_floor_0p01,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\fixed_instances_10seed\setA\pyvrp_cvrp_meta.json
