beta,lambda_concentration,runs,pyvrp_cost_mean,pyvrp_cost_std,global_risk_mean,global_risk_std,global_cvar90_mean,global_cvar90_std,max_vehicle_risk_mean,max_vehicle_risk_std,max_vehicle_cvar90_mean,max_vehicle_cvar90_std,vehicle_risk_gini_mean,vehicle_risk_gini_std,risk_variance_mean,risk_variance_std,edge_burden_gini_used_mean,edge_burden_gini_used_std,top10_burden_share_mean,top10_burden_share_std,max_edge_burden_mean,max_edge_burden_std,cost_increase_pct,risk_reduction_pct,risk_source,risk_dir,customer_set,run_name
0.0,0.0,10,133997.5,0.7071067811865476,8.803669332258869,0.8685633431502675,0.27818803981058576,0.044009148843466545,2.639760039251996,0.5260547248027416,0.4520146373442063,0.1170208444807035,0.1554800230812416,0.06073568881914833,0.33431289120606855,0.30037491539737593,0.8758259907475493,0.007553468997012519,0.9010643272310194,0.005903926006756479,1.324266242980957,0.3670649869468256,0.0,0.0,Stable-Tail-GNN_seed4,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\gcn_teg_concat_splitB_seed4_epochs50_10seed_floor_0p01,A,extension_beta_sensitivity_10seed_Stable-Tail-GNN_seed4_A_Stable-Tail-GNN_seed4
0.5,0.0,10,150377.9,131.73749149982578,4.832241054426413,0.3489927915895582,0.12981232093045086,0.03072285504361681,1.310033098672284,0.14152939137100745,0.21683571143075825,0.007351191105433828,0.19136804958480322,0.043465785632929715,0.13625155598617267,0.06765001815409959,0.8474653510170418,0.0037334969941906003,0.8466811879746814,0.00863569740491005,0.8753786087036133,0.0,0.12224407171775588,0.45111056855346526,Stable-Tail-GNN_seed4,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\gcn_teg_concat_splitB_seed4_epochs50_10seed_floor_0p01,A,extension_beta_sensitivity_10seed_Stable-Tail-GNN_seed4_A_Stable-Tail-GNN_seed4
1.0,0.0,10,160054.1,256.0830811366585,3.4099757550284266,0.11498266026947748,0.07506752607249999,0.005051731610546643,1.1601483413600362,0.10358517101069609,0.14887797301302533,0.015273205783898581,0.29472392991920754,0.04410691294178197,0.13485642637292453,0.04425652310325109,0.8116521981225346,0.004949208137363652,0.7895175941141901,0.00607640701193478,0.8629770874977112,0.0,0.19445586671393128,0.6126642623282059,Stable-Tail-GNN_seed4,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\gcn_teg_concat_splitB_seed4_epochs50_10seed_floor_0p01,A,extension_beta_sensitivity_10seed_Stable-Tail-GNN_seed4_A_Stable-Tail-GNN_seed4
1.5,0.0,10,167896.8,107.10721523574196,2.8964884350571083,0.06625560622920372,0.057036414324096466,0.0013365639907243901,1.0823340604954865,0.01787709291825208,0.1450459843135572,0.012056901204685819,0.33203764950076314,0.01707800856244807,0.11865541435716757,0.010240877208394738,0.7877224259529263,0.003363958490307023,0.7556741602106392,0.005147396027689733,0.8629770874977112,0.0,0.2529845706076605,0.6709907737624454,Stable-Tail-GNN_seed4,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\gcn_teg_concat_splitB_seed4_epochs50_10seed_floor_0p01,A,extension_beta_sensitivity_10seed_Stable-Tail-GNN_seed4_A_Stable-Tail-GNN_seed4
2.0,0.0,10,175033.4,305.6374758871475,2.7178720499301563,0.18963104127826583,0.05393570417790074,0.004912313586097952,1.0872391426470132,0.015717150847715123,0.14299548666458578,0.022325443049582363,0.33174196265991135,0.028595193476357236,0.11048400980739563,0.011657853922350319,0.7731697230312595,0.016756189118152257,0.7343784013920331,0.023457927148708646,0.8629770874977112,0.0,0.3062437732047239,0.6912796304182078,Stable-Tail-GNN_seed4,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\gcn_teg_concat_splitB_seed4_epochs50_10seed_floor_0p01,A,extension_beta_sensitivity_10seed_Stable-Tail-GNN_seed4_A_Stable-Tail-GNN_seed4
3.0,0.0,10,187188.6,405.906174161249,2.4763482366630343,0.022059603872284273,0.048497919356631156,0.0022915783037282516,1.1063664656423498,0.011328445719001682,0.15654415218159556,0.009823805414628024,0.35232666374626315,0.007770426618145284,0.1108109004429729,0.00411271533742366,0.7554240906862717,0.001996555252825403,0.7080583403347172,0.002199164677525228,0.8629770874977112,0.0,0.3969559133565925,0.7187140789591236,Stable-Tail-GNN_seed4,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\gcn_teg_concat_splitB_seed4_epochs50_10seed_floor_0p01,A,extension_beta_sensitivity_10seed_Stable-Tail-GNN_seed4_A_Stable-Tail-GNN_seed4
0.0,0.0,10,146730.9,582.7275807213293,9.275490823406267,0.690845394229281,0.2919173036967665,0.032638321440659354,3.0214392695619607,0.22840468854616325,0.42975468585533755,0.04904012343695053,0.20901896113610957,0.03673628868773554,0.5452269665600438,0.16867427074659977,0.8771108453190795,0.005478350594996758,0.8984824339939586,0.0075074339845464825,1.1844574332237243,0.3022662490930271,0.0,0.0,Stable-Tail-GNN_seed4,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\gcn_teg_concat_splitB_seed4_epochs50_10seed_floor_0p01,B,extension_beta_sensitivity_10seed_Stable-Tail-GNN_seed4_B_Stable-Tail-GNN_seed4
0.5,0.0,10,166195.3,519.6725571613981,5.48236624580893,0.5800444986068646,0.14327638849453486,0.01777647706789301,1.9441478778659076,0.36385500903171436,0.28960854070882003,0.05382561501441544,0.2676367289419157,0.07366596777906793,0.32208841582710485,0.20332198844277585,0.8495414944738175,0.008864333951599046,0.8467435418892697,0.013194933345006852,0.8677752017974854,0.007725697998811825,0.13265372188134875,0.4089405778964446,Stable-Tail-GNN_seed4,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\gcn_teg_concat_splitB_seed4_epochs50_10seed_floor_0p01,B,extension_beta_sensitivity_10seed_Stable-Tail-GNN_seed4_B_Stable-Tail-GNN_seed4
1.0,0.0,10,176937.1,210.08646368155712,3.9395160870014707,0.3471017218738567,0.09206979885053881,0.020066372764261316,1.6111529525136574,0.1766447415606497,0.1801791414791452,0.01815721906251873,0.3568675362395691,0.043433727459573745,0.2727972512603659,0.08199814553745681,0.8210666663299182,0.010978948037556637,0.7992862141360522,0.01579538380408529,0.8629770874977112,0.0,0.2058612057855572,0.5752768061544666,Stable-Tail-GNN_seed4,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\gcn_teg_concat_splitB_seed4_epochs50_10seed_floor_0p01,B,extension_beta_sensitivity_10seed_Stable-Tail-GNN_seed4_B_Stable-Tail-GNN_seed4
1.5,0.0,10,185059.8,249.53102679493256,3.1134607434372357,0.2059819424023745,0.06324802079818267,0.005661718865248024,1.3458610834626143,0.15043637678281427,0.169537610715876,0.010504835098744428,0.32314916776412456,0.05933814828926399,0.15961670590453905,0.04872665062610948,0.7965566599241367,0.012192542833369688,0.7570702190025377,0.016224645524723184,0.8629770874977112,0.0,0.26121900703941703,0.6643346640394245,Stable-Tail-GNN_seed4,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\gcn_teg_concat_splitB_seed4_epochs50_10seed_floor_0p01,B,extension_beta_sensitivity_10seed_Stable-Tail-GNN_seed4_B_Stable-Tail-GNN_seed4
