model,model_seed,customer_set,beta,lambda_concentration,cost_increase_pct,common_global_risk,common_global_cvar90,common_max_vehicle_risk,common_edge_burden_gini_used,common_top10_burden_share,common_risk_reduction_pct
GCN,0,A,1.0,0.0,0.17240993302113847,3.096481229512281,0.06773440901125914,0.941033676945891,0.7466954453187494,0.743755046756698,nan
GCN,0,A,1.0,1.0,0.24916882777663762,2.80372266853802,0.053205194720788454,0.83863515433964,0.7258618342483361,0.7146606884486023,nan
GCN,1,A,1.0,0.0,0.1727121774659975,3.215265478128038,0.08262961862931019,0.8940753460372498,0.7511113381687724,0.7527224664819469,nan
GCN,1,A,1.0,1.0,0.2479076102166085,2.4404183293594484,0.04558863727651391,0.8203825379993717,0.6883968243121038,0.6696577685366464,nan
GCN,2,A,1.0,0.0,0.1948827403496333,3.1744532774341003,0.08526956333689335,1.1217591843610335,0.7501321774773675,0.7492872810234358,nan
GCN,2,A,1.0,1.0,0.2964077688016567,2.8160472985339604,0.057254034026056354,0.9407795587764272,0.7281302459091503,0.7188942148938025,nan
GCN,3,A,1.0,0.0,0.17292262915352907,3.0861673175659123,0.07213341354084643,0.9383827421091944,0.7448855462115811,0.7426594043141247,nan
GCN,3,A,1.0,1.0,0.2438052948749043,2.6545566678164523,0.04948577952192677,0.7848114477617101,0.710926853763012,0.6963549285307218,nan
GCN,4,A,1.0,0.0,0.20532547249015845,3.036974250481823,0.07838073703872608,1.116347188727091,0.741955577065605,0.7394326207325298,nan
GCN,4,A,1.0,1.0,0.30256609265098233,2.783909232646301,0.053648095017019934,0.7927836820144274,0.721499404398928,0.7105408269273814,nan
GCN,5,A,1.0,0.0,0.1691956939495139,3.239777417131016,0.08497315816336805,1.1716223404580124,0.7547271211447867,0.7553493858118765,nan
GCN,5,A,1.0,1.0,0.24589339353346149,2.7624027769817205,0.04997710984714819,0.9183470390378787,0.724582337115331,0.7134236402078433,nan
GCN,6,A,1.0,0.0,0.18753708091568871,3.1158776585096897,0.07992823309293504,1.1057127000464861,0.7488395840164814,0.7466931390522398,nan
GCN,6,A,1.0,1.0,0.28058956323812,2.7442174359207314,0.05695301356315043,0.8967135475416168,0.7188348771573105,0.7083885012334801,nan
GCN,7,A,1.0,0.0,0.20100822776544344,3.11522759189524,0.07565281446151426,1.0169572353274914,0.746232954975549,0.7432145988292348,nan
GCN,7,A,1.0,1.0,0.2896680908225899,2.2916640271744897,0.0397172946993237,0.7457265731828945,0.672951871424649,0.6507573959271346,nan
GCN,8,A,1.0,0.0,0.1958693259202597,3.2137326739867262,0.08425092186138379,1.2399704327135617,0.7530663398346835,0.7540179609901945,nan
GCN,8,A,1.0,1.0,0.29194350640870176,2.504306407397,0.045890601044568324,0.7925764415970006,0.6941875174456351,0.6763715655897854,nan
GCN,9,A,1.0,0.0,0.17188815322065473,3.1465695868104575,0.0820797558466107,1.040188299184728,0.7462484867053342,0.7452948967837217,nan
GCN,9,A,1.0,1.0,0.2505291139542797,2.851954998941422,0.057486986924357844,0.8866986564887258,0.7310114501784136,0.7211890182360271,nan
Stable-Tail-GNN,0,A,1.0,0.0,0.1703069087109835,3.1032603155499645,0.07341564573821906,0.8953588662199892,0.74651646889124,0.7450257265239122,nan
Stable-Tail-GNN,0,A,1.0,0.5,0.2068031119983582,2.856405511288919,0.062415788815575635,0.8993865843193734,0.7285315452000338,0.7214532387173944,nan
Stable-Tail-GNN,0,A,1.0,1.0,0.22697811526334447,2.4555281751762017,0.047306339299502745,0.8738403048646017,0.6870262083386851,0.6666121552026981,nan
Stable-Tail-GNN,0,A,1.0,2.0,0.2612078583555664,2.2711501321676293,0.03768155822802735,0.779475094027269,0.6669398193983067,0.6412890444384176,nan
Stable-Tail-GNN,1,A,1.0,0.0,0.15679471631933437,3.2164388634653207,0.08184947477832097,1.0878216720969416,0.7566361444442737,0.7574327735004295,nan
Stable-Tail-GNN,1,A,1.0,0.5,0.19005653090542737,2.8525746276675945,0.05890846651954672,0.902555447690639,0.7340184063785712,0.7279964073277652,nan
Stable-Tail-GNN,1,A,1.0,1.0,0.21710031903580287,2.764525868887811,0.051803990684456944,0.9599360850317249,0.729744902088824,0.7202347477230973,nan
Stable-Tail-GNN,1,A,1.0,2.0,0.2666012425604955,2.460115687935834,0.045300287878704174,0.8091215900504866,0.6879972382187383,0.6689941105505051,nan
Stable-Tail-GNN,2,A,1.0,0.0,0.17967275508871444,3.1485253829789714,0.08045285708951751,1.0465396282638193,0.7472522191622272,0.746092581887037,nan
Stable-Tail-GNN,2,A,1.0,0.5,0.22461314576764496,2.9921155732521454,0.06906928208606823,0.9616236377523038,0.7365835752196435,0.7320245858011719,nan
Stable-Tail-GNN,2,A,1.0,1.0,0.26785648985988547,2.9157496163396694,0.062025267049858945,0.8965991865910604,0.7309864954396085,0.7240564812494712,nan
Stable-Tail-GNN,2,A,1.0,2.0,0.3411630814007724,2.4199558428856625,0.04302687629037906,0.7801079663134693,0.6870296299479974,0.6670329739559162,nan
Stable-Tail-GNN,3,A,1.0,0.0,0.15438422358626097,3.474319845096595,0.0899144263822978,0.9938602406430833,0.7613374081650792,0.7670455170205445,nan
Stable-Tail-GNN,3,A,1.0,0.5,0.18901770555420805,3.217111569179262,0.07615341983223115,0.9382154355848085,0.7497377168352461,0.7505716478173134,nan
Stable-Tail-GNN,3,A,1.0,1.0,0.22150338625720625,3.057917488597334,0.06935778709087304,0.922744661091761,0.7395731393657623,0.7364407745313274,nan
Stable-Tail-GNN,3,A,1.0,2.0,0.26380566801619426,2.313945004532484,0.04135999769510566,0.7657272600909744,0.6723191947334557,0.6483117843259963,nan
Stable-Tail-GNN,4,A,1.0,0.0,0.19445586671393128,3.127943189366833,0.07869690516729604,1.085615557052281,0.7499136583964521,0.7472581810027051,nan
Stable-Tail-GNN,4,A,1.0,0.5,0.23921267187820663,2.7035377191217984,0.04880729846929259,0.9599360850317249,0.7237992693741232,0.7127436652111673,nan
Stable-Tail-GNN,4,A,1.0,1.0,0.27829250545719136,2.5381159375193323,0.046954285433847796,0.8621707783583146,0.7019426384963819,0.6861783554077329,nan
Stable-Tail-GNN,4,A,1.0,2.0,0.344095971939775,2.4296812035290505,0.0442244607260579,0.8388660236298715,0.6879862903993559,0.6674316636492904,nan
Stable-Tail-GNN,5,A,1.0,0.0,0.16073210321088088,3.4035472293808224,0.09224926657018813,1.139782004490541,0.7607909338436842,0.7645885718645735,nan
Stable-Tail-GNN,5,A,1.0,0.5,0.19368719565663542,2.8788559529150497,0.05582825669159412,0.9493291257967964,0.732349124529575,0.7269131507531865,nan
Stable-Tail-GNN,5,A,1.0,1.0,0.2182197429056512,2.7882726093820187,0.05403510493181777,0.9509047204419312,0.7250166181293038,0.7170380973534705,nan
Stable-Tail-GNN,5,A,1.0,2.0,0.2665131812160675,2.566677862784531,0.045233451092840084,0.8489455276208107,0.7020570498545239,0.6860149682083753,nan
Stable-Tail-GNN,6,A,1.0,0.0,0.1865766152353588,3.349052067190931,0.08615890898040506,1.098363092143356,0.7624965746817652,0.7639486451612699,nan
