risk_source,customer_set,beta,lambda_concentration,runs,common_global_risk_mean,common_global_risk_std,common_global_cvar90_mean,common_global_cvar90_std,common_max_vehicle_risk_mean,common_max_vehicle_risk_std,common_max_vehicle_cvar90_mean,common_max_vehicle_cvar90_std,common_vehicle_risk_gini_mean,common_vehicle_risk_gini_std,common_edge_burden_gini_used_mean,common_edge_burden_gini_used_std,common_top10_burden_share_mean,common_top10_burden_share_std,common_max_edge_burden_mean,common_max_edge_burden_std
A_Stable-Tail-eta0.3_seed0,A,0.0,0.0,10,7.959816901084075,0.7658979944201808,0.23567049580945842,0.05127880147298579,2.428080332212452,0.48264264768863535,0.41230505239088855,0.11131733715375688,0.16179987701502715,0.061296232864304204,0.8524898232201188,0.00983743893682244,0.8837653227641111,0.01080064670692477,1.183652349085785,0.4310658753796155
A_Stable-Tail-eta0.3_seed0,A,1.0,0.0,10,3.0695769956921586,0.16311528490388488,0.0782357072261249,0.006833966003248966,0.9678665397279765,0.20253355340889242,0.11073909622252287,0.0332999026922672,0.23411705916748726,0.06271564643694373,0.7446902977999651,0.010386124789138777,0.7435719799399216,0.013319475647318738,0.5313090438090153,0.0
A_Stable-Tail-eta0.3_seed0,A,2.0,0.0,10,2.563520655248167,0.20915915756609813,0.051036707700260996,0.011632064697340594,0.8294440497334723,0.07434827969017148,0.0912105289105153,0.022060976423861258,0.22815753347989057,0.06043750179666479,0.6997248302548323,0.02282347790734332,0.6840354453077111,0.02801354967126076,0.5313090438090153,0.0
A_Stable-Tail-eta0.3_seed1,A,0.0,0.0,10,7.959816901084075,0.7658979944201808,0.23567049580945842,0.05127880147298579,2.428080332212452,0.48264264768863535,0.41230505239088855,0.11131733715375688,0.16179987701502715,0.061296232864304204,0.8524898232201188,0.00983743893682244,0.8837653227641111,0.01080064670692477,1.183652349085785,0.4310658753796155
A_Stable-Tail-eta0.3_seed1,A,1.0,0.0,10,3.154443199034204,0.13911717848609467,0.07915519812762264,0.011202407006688736,1.0523805911726536,0.21107798829298668,0.13617370643563032,0.017441003627844988,0.25319278724713373,0.0798549767999844,0.7501204112863146,0.008171940999123899,0.7492702426658994,0.011099169877166788,0.5313090438090153,0.0
A_Stable-Tail-eta0.3_seed1,A,2.0,0.0,10,2.6893206908408827,0.16746606689831856,0.05047107479755808,0.008130668008784429,0.9144913038511945,0.09491229780101323,0.09364615337999153,0.00488858864313921,0.26901269705579434,0.0792821611758961,0.7200995544522648,0.017216695796352967,0.7089025090013099,0.020139168438701692,0.5313090438090153,0.0
A_Stable-Tail-eta0.3_seed2,A,0.0,0.0,10,7.959816901084075,0.7658979944201808,0.23567049580945842,0.05127880147298579,2.428080332212452,0.48264264768863535,0.41230505239088855,0.11131733715375688,0.16179987701502715,0.061296232864304204,0.8524898232201188,0.00983743893682244,0.8837653227641111,0.01080064670692477,1.183652349085785,0.4310658753796155
A_Stable-Tail-eta0.3_seed2,A,1.0,0.0,10,3.278247432929472,0.22154255258929573,0.0861552709840264,0.006397605987584811,1.0689902154327593,0.19517605318090708,0.13728237031967244,0.01735218325600041,0.2274360405424285,0.08955149254511695,0.754965206175458,0.0095708610388141,0.756915310253045,0.013894173053072497,0.5313090438090153,0.0
A_Stable-Tail-eta0.3_seed2,A,2.0,0.0,10,2.7763016145043675,0.17777856912804277,0.05909615950359739,0.012485754754839751,0.8970038846588528,0.11365884422930098,0.10413650807920312,0.014890780913483856,0.261244431198027,0.054009325673583485,0.7201602588741929,0.01569347662367589,0.7108634281108231,0.020493536424162566,0.5313090438090153,0.0
A_Stable-Tail-eta0.3_seed3,A,0.0,0.0,10,7.959816901084075,0.7658979944201808,0.23567049580945842,0.05127880147298579,2.428080332212452,0.48264264768863535,0.41230505239088855,0.11131733715375688,0.16179987701502715,0.061296232864304204,0.8524898232201188,0.00983743893682244,0.8837653227641111,0.01080064670692477,1.183652349085785,0.4310658753796155
A_Stable-Tail-eta0.3_seed3,A,1.0,0.0,10,3.3194551687198888,0.21745508938684777,0.08551644257038302,0.011041877366909904,1.1089437424967739,0.15797224044239985,0.127757353462905,0.025942276477010452,0.2486026998394133,0.07659094810239306,0.7571241978801843,0.009446138415070828,0.761216611269674,0.012690496735264,0.5313090438090153,0.0
