model,model_seed,customer_set,beta,lambda_concentration,cost_increase_pct,common_global_risk,common_global_cvar90,common_max_vehicle_risk,common_edge_burden_gini_used,common_top10_burden_share,common_risk_reduction_pct
Stable-Tail-combo-eta0.7-b2-l1,0,A,0.0,0.0,0.0,7.959816901084075,0.23567049580945842,2.428080332212452,0.8524898232201188,0.8837653227641111,0.0
Stable-Tail-combo-eta0.7-b2-l1,0,A,2.0,1.0,0.29526446388925176,2.2530499089180998,0.0389481391761716,0.7718789081447703,0.6675572809484586,0.6417635922936652,0.7169470181390772
Stable-Tail-combo-eta0.7-b2-l1,1,A,0.0,0.0,0.0,7.795773243499634,0.22536744437092193,2.29898810961542,0.8504429564771069,0.8815259771712872,0.0
Stable-Tail-combo-eta0.7-b2-l1,1,A,2.0,1.0,0.3123205191734776,2.311313418542694,0.03879648819977696,0.8810405157329397,0.6687252090175186,0.6446542820177168,0.703517105186372
Stable-Tail-combo-eta0.7-b2-l1,2,A,0.0,0.0,0.0,7.795773243499634,0.22536744437092193,2.29898810961542,0.8504429564771069,0.8815259771712872,0.0
Stable-Tail-combo-eta0.7-b2-l1,2,A,2.0,1.0,0.4188172026961677,2.2829097883291327,0.03920639213719923,0.9315380632811607,0.6690104594852546,0.6432842916077807,0.7071605706036405
Stable-Tail-combo-eta0.7-b2-l1,3,A,0.0,0.0,0.0,7.959816901084075,0.23567049580945842,2.428080332212452,0.8524898232201188,0.8837653227641111,0.0
Stable-Tail-combo-eta0.7-b2-l1,3,A,2.0,1.0,0.29472863299688423,2.254199261468254,0.03889890870057247,0.784502529436707,0.6676845593968002,0.6420706179381642,0.7168026237937755
Stable-Tail-combo-eta0.7-b2-l1,4,A,0.0,0.0,0.0,7.959816901084075,0.23567049580945842,2.428080332212452,0.8524898232201188,0.8837653227641111,0.0
Stable-Tail-combo-eta0.7-b2-l1,4,A,2.0,1.0,0.4054515942461613,2.266441815471408,0.03864403817372911,0.8348884564110234,0.6629105965984852,0.6364551229768992,0.7152645791182145
Stable-Tail-combo-eta0.7-b2-l1,5,A,0.0,0.0,0.0,7.795773243499634,0.22536744437092193,2.29898810961542,0.8504429564771069,0.8815259771712872,0.0
Stable-Tail-combo-eta0.7-b2-l1,5,A,2.0,1.0,0.3124078341701642,2.469256179087228,0.04471033471104563,0.8560557326778826,0.6908069080826007,0.6720037297146476,0.6832570545651959
Stable-Tail-combo-eta0.7-b2-l1,6,A,0.0,0.0,0.0,7.959816901084075,0.23567049580945842,2.428080332212452,0.8524898232201188,0.8837653227641111,0.0
Stable-Tail-combo-eta0.7-b2-l1,6,A,2.0,1.0,0.38020112315528276,2.4045072425197302,0.040821755213261514,0.9246426392515117,0.6873334266764164,0.6679953442953452,0.6979192772395367
Stable-Tail-combo-eta0.7-b2-l1,7,A,0.0,0.0,0.0,7.795773243499634,0.22536744437092193,2.29898810961542,0.8504429564771069,0.8815259771712872,0.0
Stable-Tail-combo-eta0.7-b2-l1,7,A,2.0,1.0,0.3806709970924852,2.3786248306552236,0.03999139292329295,0.9008277023569123,0.6762259414103122,0.6540609784588346,0.6948827580844155
Stable-Tail-combo-eta0.7-b2-l1,8,A,0.0,0.0,0.0,7.795773243499634,0.22536744437092193,2.29898810961542,0.8504429564771069,0.8815259771712872,0.0
Stable-Tail-combo-eta0.7-b2-l1,8,A,2.0,1.0,0.380656071452026,2.2983840045475943,0.039208439241930716,0.9250537799671203,0.6710548399519722,0.6459621676388064,0.7051756211015032
Stable-Tail-combo-eta0.7-b2-l1,9,A,0.0,0.0,0.0,7.795773243499634,0.22536744437092193,2.29898810961542,0.8504429564771069,0.8815259771712872,0.0
Stable-Tail-combo-eta0.7-b2-l1,9,A,2.0,1.0,0.30211660507352367,2.6068888923404954,0.046970609343530506,0.892871507809961,0.7041345722952663,0.689020498164935,0.6656022679321941
Stable-Tail-combo-eta0.7-b2-l2,0,A,0.0,0.0,0.0,7.795773243499634,0.22536744437092193,2.29898810961542,0.8504429564771069,0.8815259771712872,0.0
Stable-Tail-combo-eta0.7-b2-l2,0,A,2.0,2.0,0.32908275969121825,2.2625284096787555,0.03787885499744923,0.8290150421418078,0.6678140964968702,0.6420404756598996,0.7097749845961677
Stable-Tail-combo-eta0.7-b2-l2,1,A,0.0,0.0,0.0,7.795773243499634,0.22536744437092193,2.29898810961542,0.8504429564771069,0.8815259771712872,0.0
Stable-Tail-combo-eta0.7-b2-l2,1,A,2.0,2.0,0.35063314566828063,2.292637812831647,0.038311043672066294,0.9079580214981577,0.6660068431694126,0.6411854240241588,0.7059127117705702
Stable-Tail-combo-eta0.7-b2-l2,2,A,0.0,0.0,0.0,7.795773243499634,0.22536744437092193,2.29898810961542,0.8504429564771069,0.8815259771712872,0.0
Stable-Tail-combo-eta0.7-b2-l2,2,A,2.0,2.0,0.4832847752497059,2.3054847069210225,0.0393397612386659,0.9311597597163825,0.6720650365244925,0.646692443678106,0.7042647810665718
Stable-Tail-combo-eta0.7-b2-l2,3,A,0.0,0.0,0.0,7.795773243499634,0.22536744437092193,2.29898810961542,0.8504429564771069,0.8815259771712872,0.0
Stable-Tail-combo-eta0.7-b2-l2,3,A,2.0,2.0,0.32996486504235895,2.255844367942646,0.03869964041249933,0.7841711022112187,0.66737166942619,0.6416962306151567,0.7106323776381833
Stable-Tail-combo-eta0.7-b2-l2,4,A,0.0,0.0,0.0,7.959816901084075,0.23567049580945842,2.428080332212452,0.8524898232201188,0.8837653227641111,0.0
Stable-Tail-combo-eta0.7-b2-l2,4,A,2.0,2.0,0.46547584843000805,2.2602374709127924,0.03899736965177074,0.7931986194929627,0.6627797619240354,0.6350829109377853,0.7160440373187882
Stable-Tail-combo-eta0.7-b2-l2,5,A,0.0,0.0,0.0,7.959816901084075,0.23567049580945842,2.428080332212452,0.8524898232201188,0.8837653227641111,0.0
Stable-Tail-combo-eta0.7-b2-l2,5,A,2.0,2.0,0.3506475867087072,2.4413211430509056,0.043922454720252795,0.8344970322899752,0.6889097308667528,0.6686251568163231,0.6932943089785009
Stable-Tail-combo-eta0.7-b2-l2,6,A,0.0,0.0,0.0,7.959816901084075,0.23567049580945842,2.428080332212452,0.8524898232201188,0.8837653227641111,0.0
Stable-Tail-combo-eta0.7-b2-l2,6,A,2.0,2.0,0.4370260639191029,2.3355197888142216,0.04030310902584139,0.9243019416772229,0.6782847191043653,0.655750515978933,0.7065862421412173
Stable-Tail-combo-eta0.7-b2-l2,7,A,0.0,0.0,0.0,7.795773243499634,0.22536744437092193,2.29898810961542,0.8504429564771069,0.8815259771712872,0.0
Stable-Tail-combo-eta0.7-b2-l2,7,A,2.0,2.0,0.4350137614405033,2.1521848596140054,0.03626786709363537,0.8281022753158757,0.6489266761228525,0.6202099950350971,0.723929263667425
Stable-Tail-combo-eta0.7-b2-l2,8,A,0.0,0.0,0.0,7.795773243499634,0.22536744437092193,2.29898810961542,0.8504429564771069,0.8815259771712872,0.0
