model,customer_set,beta,lambda_concentration,model_seeds,cost_increase_pct_mean,cost_increase_pct_std,common_risk_reduction_pct_mean,common_risk_reduction_pct_std,common_global_risk_mean,common_global_risk_std,common_global_cvar90_mean,common_global_cvar90_std,common_max_vehicle_risk_mean,common_max_vehicle_risk_std,common_edge_burden_gini_used_mean,common_edge_burden_gini_used_std,common_top10_burden_share_mean,common_top10_burden_share_std
Stable-Tail-combo-eta0.7-b2-l1,A,0.0,0.0,10,0.0,0.0,0.0,0.0,7.861390706533411,0.08471178051673207,0.2294886649463365,0.005320472884876027,2.350624998654232,0.06666293709909404,0.8512617031743115,0.001056997441012126,0.8824217154084166,0.001156393091654661
Stable-Tail-combo-eta0.7-b2-l1,A,2.0,1.0,10,0.34826350439454246,0.04915935740176623,0.7006528875763925,0.01627114338419563,2.3525575341879863,0.11458135431187823,0.04061964978205107,0.002876622501439705,0.870329983506999,0.05750628600227381,0.6765443793863086,0.01322590981098692,0.6537270625106795,0.017037005953224826
Stable-Tail-combo-eta0.7-b2-l1,B,0.0,0.0,10,0.0,0.0,0.0,0.0,8.395030415896514,0.009700051356791417,0.25916896701517417,5.283322019518583e-05,2.7735839562178453,0.00014920681268226673,0.8476127955741483,0.0004467148247316296,0.8811877670801531,0.0003823763944621904
Stable-Tail-combo-eta0.7-b2-l1,B,2.0,1.0,10,0.41607366354046277,0.05978823052436858,0.6257024589391944,0.019739489881128922,3.1423009281469403,0.16703480169588394,0.06704571675496006,0.005478484467145441,1.1143952069178638,0.1035421735345985,0.7357542356757191,0.012424900629380252,0.7205325052615499,0.016139404143409863
Stable-Tail-combo-eta0.7-b2-l2,A,0.0,0.0,10,0.0,0.0,0.0,0.0,7.844986340774968,0.07924061482930085,0.22845835980248283,0.004976846667706712,2.3377157763945293,0.062357467755217964,0.8510570165000104,0.0009887305707410438,0.8821977808491344,0.0010817066883510047
Stable-Tail-combo-eta0.7-b2-l2,A,2.0,2.0,10,0.3957213601698462,0.060655659201079695,0.7069166953423405,0.010843634007728297,2.2993136809752284,0.0903909440542379,0.03942937255857129,0.0023017573022995163,0.8622189077758365,0.05626454218537362,0.6703730993949004,0.012174595144017104,0.6457599703426459,0.015077281786391441
Stable-Tail-combo-eta0.7-b2-l2,B,0.0,0.0,10,0.0,0.0,0.0,0.0,8.39809784146732,0.0,0.25918567434636797,0.0,2.7736311395548943,0.0,0.8477540592052198,0.0,0.8813086851131514,0.0
Stable-Tail-combo-eta0.7-b2-l2,B,2.0,2.0,10,0.48598297972683324,0.07364518576136397,0.6395854013899547,0.008781775047674361,3.0267970626196936,0.07375020607213452,0.0642029945120868,0.00422183762784534,1.1515448535345147,0.08098874586482463,0.728289016771458,0.006347552120763176,0.710562664908096,0.007844376800116131
Stable-Tail-combo-eta0.7-b3-l1,A,0.0,0.0,10,0.0,0.0,0.0,0.0,7.8285819750165215,0.0691668791562117,0.2274280546586292,0.004344147919419951,2.3248065541348266,0.05443006021601035,0.8508523298257094,0.0008630347966357566,0.8819738462898521,0.0009441910055444733
Stable-Tail-combo-eta0.7-b3-l1,A,3.0,1.0,10,0.42908089317949294,0.06420526206635392,0.7063382486821717,0.010830887666943859,2.2987904379671367,0.08196087718582919,0.03940554662799324,0.0019262580114750773,0.8601474351414733,0.07080608721165249,0.6710188871157956,0.010076964971606893,0.6461899873013044,0.0125525393507734
Stable-Tail-combo-eta0.7-b3-l1,B,0.0,0.0,10,0.0,0.0,0.0,0.0,8.39809784146732,0.0,0.25918567434636797,0.0,2.7736311395548943,0.0,0.8477540592052198,0.0,0.8813086851131514,0.0
Stable-Tail-combo-eta0.7-b3-l1,B,3.0,1.0,10,0.5188399989368293,0.0795899627450867,0.6381797573549883,0.008602982776216834,3.038601798755616,0.07224869108313571,0.0633024526201486,0.0038017767660635,1.1289460231282376,0.07587458928863612,0.7291559551511163,0.006527793105211633,0.7113307504971931,0.008494207076805848
