risk_source,customer_set,budget,selector,runs,value_mean,value_std,selected_cost_increase_mean
A_Stable-Tail-eta0.3_seed0,A,0.25,common_risk,10,2.685732850869709,0.2668641392447436,0.22204148538163032
A_Stable-Tail-eta0.3_seed0,A,0.25,cvar90,10,0.058837161043277866,0.016728102739681058,0.22204148538163032
A_Stable-Tail-eta0.3_seed0,A,0.25,cvar95,10,0.10845838430032699,0.027648001353746753,0.21371524170635156
A_Stable-Tail-eta0.3_seed0,A,0.25,edge_gini,10,0.7110793602687672,0.0253168291121067,0.22204148538163032
A_Stable-Tail-eta0.3_seed0,A,0.25,load_cvar90,10,0.033142224710792215,0.005839341691391509,0.2139539908854849
A_Stable-Tail-eta0.3_seed0,A,0.25,load_risk,10,1.3036865509355438,0.14786695653104867,0.2139539908854849
A_Stable-Tail-eta0.3_seed0,A,0.25,top10_share,10,0.6998703052490762,0.03251144574685563,0.22204148538163032
A_Stable-Tail-eta0.3_seed0,A,0.3,common_risk,10,2.563520655248167,0.20915915756609813,0.24795387775450933
A_Stable-Tail-eta0.3_seed0,A,0.3,cvar90,10,0.051036707700260996,0.011632064697340594,0.24795387775450933
A_Stable-Tail-eta0.3_seed0,A,0.3,cvar95,10,0.1010576701748592,0.022564281414442697,0.23962763407923063
A_Stable-Tail-eta0.3_seed0,A,0.3,edge_gini,10,0.69959820015294,0.02256054804245649,0.23920069671314273
A_Stable-Tail-eta0.3_seed0,A,0.3,load_cvar90,10,0.03087482399536402,0.005678446193582669,0.2398663832583639
A_Stable-Tail-eta0.3_seed0,A,0.3,load_risk,10,1.2415640181254395,0.14706932403978162,0.23111320221699727
A_Stable-Tail-eta0.3_seed0,A,0.3,top10_share,10,0.6840354453077111,0.02801354967126076,0.24795387775450933
A_Stable-Tail-eta0.3_seed1,A,0.25,common_risk,10,2.6893206908408827,0.16746606689831856,0.23231105647472172
A_Stable-Tail-eta0.3_seed1,A,0.25,cvar90,10,0.05047107479755808,0.008130668008784429,0.23231105647472172
A_Stable-Tail-eta0.3_seed1,A,0.25,cvar95,10,0.117208050475443,0.020764604766000287,0.23231105647472172
A_Stable-Tail-eta0.3_seed1,A,0.25,edge_gini,10,0.7200995544522648,0.017216695796352967,0.23231105647472172
A_Stable-Tail-eta0.3_seed1,A,0.25,load_cvar90,10,0.0319930878799888,0.0027707568310061216,0.23231105647472172
A_Stable-Tail-eta0.3_seed1,A,0.25,load_risk,10,1.2961296653613923,0.07549907530599663,0.23231105647472172
A_Stable-Tail-eta0.3_seed1,A,0.25,top10_share,10,0.7089025090013099,0.020139168438701692,0.23231105647472172
A_Stable-Tail-eta0.3_seed1,A,0.3,common_risk,10,2.6893206908408827,0.16746606689831856,0.23231105647472172
A_Stable-Tail-eta0.3_seed1,A,0.3,cvar90,10,0.05047107479755808,0.008130668008784429,0.23231105647472172
A_Stable-Tail-eta0.3_seed1,A,0.3,cvar95,10,0.117208050475443,0.020764604766000287,0.23231105647472172
A_Stable-Tail-eta0.3_seed1,A,0.3,edge_gini,10,0.7200995544522648,0.017216695796352967,0.23231105647472172
A_Stable-Tail-eta0.3_seed1,A,0.3,load_cvar90,10,0.0319930878799888,0.0027707568310061216,0.23231105647472172
A_Stable-Tail-eta0.3_seed1,A,0.3,load_risk,10,1.2961296653613923,0.07549907530599663,0.23231105647472172
A_Stable-Tail-eta0.3_seed1,A,0.3,top10_share,10,0.7089025090013099,0.020139168438701692,0.23231105647472172
A_Stable-Tail-eta0.3_seed2,A,0.25,common_risk,10,3.278247432929472,0.22154255258929573,0.17650552993883478
A_Stable-Tail-eta0.3_seed2,A,0.25,cvar90,10,0.0861552709840264,0.006397605987584811,0.17650552993883478
