method,customer_set,budget,value_mean,value_std,cost_increase_mean,model_seeds,metric
GCN,A,0.1,7.795773243499634,0.0,7.462853645977148e-07,10,CommonRisk
GCN,A,0.105,7.795773243499634,0.0,7.462853645977148e-07,10,CommonRisk
GCN,A,0.11,6.668737263432691,1.3633138305961374,0.03768816149925991,10,CommonRisk
GCN,A,0.115,6.183601801498238,1.6996814773737805,0.05441273161141348,10,CommonRisk
GCN,A,0.12,5.598119830756905,1.5214720012103151,0.07558893858325258,10,CommonRisk
GCN,A,0.125,4.9591806817802295,1.009447105665762,0.10113734846595197,10,CommonRisk
GCN,A,0.13,4.599910017767153,0.08662240023571696,0.11502445903655947,10,CommonRisk
GCN,A,0.135,4.599910017767153,0.08662240023571696,0.11502445903655947,10,CommonRisk
GCN,A,0.14,4.599910017767153,0.08662240023571696,0.11502445903655947,10,CommonRisk
GCN,A,0.145,4.599910017767153,0.08662240023571696,0.11502445903655947,10,CommonRisk
GCN,A,0.15,4.599910017767153,0.08662240023571696,0.11502445903655947,10,CommonRisk
GCN,A,0.155,4.599910017767153,0.08662240023571696,0.11502445903655947,10,CommonRisk
GCN,A,0.16,4.599910017767153,0.08662240023571696,0.11502445903655947,10,CommonRisk
GCN,A,0.165,4.599910017767153,0.08662240023571696,0.11502445903655947,10,CommonRisk
GCN,A,0.17,4.404194028279355,0.2907196968904071,0.12347686026675202,10,CommonRisk
GCN,A,0.175,3.96095182754649,0.712829618894276,0.14326759519818594,10,CommonRisk
GCN,A,0.18,3.8887049925000334,0.7847403905081674,0.1465848235660353,10,CommonRisk
GCN,A,0.185,3.874976612033189,0.7707008010918787,0.14726036107806914,10,CommonRisk
GCN,A,0.19,3.7336629194401114,0.766999020568685,0.15360017831748335,10,CommonRisk
GCN,A,0.195,3.598876018256964,0.6482801825485637,0.1609020839421127,10,CommonRisk
GCN,A,0.2,3.433618989987116,0.5863402403601367,0.1701192192236529,10,CommonRisk
GCN,A,0.205,3.2264594683901064,0.17328609204176668,0.18034792637691435,10,CommonRisk
GCN,A,0.21,3.1457864185512947,0.07188115730826716,0.1844560531045802,10,CommonRisk
GCN,A,0.215,3.1457864185512947,0.07188115730826716,0.1844560531045802,10,CommonRisk
GCN,A,0.22,3.113960832939822,0.0677032304057075,0.18908225566020742,10,CommonRisk
GCN,A,0.225,3.0405552666535867,0.12695988726239632,0.2002105268077846,10,CommonRisk
GCN,A,0.23,3.0301223406861406,0.13499893715113362,0.20233863010843298,10,CommonRisk
GCN,A,0.235,3.0301223406861406,0.13499893715113362,0.20233863010843298,10,CommonRisk
GCN,A,0.24,3.0301223406861406,0.13499893715113362,0.20233863010843298,10,CommonRisk
GCN,A,0.245,3.010791853401071,0.13519478628678216,0.2050619628878751,10,CommonRisk
GCN,A,0.25,3.0033114439631796,0.14249095658369157,0.20751029231291546,10,CommonRisk
GCN,A,0.255,3.0033114439631796,0.14249095658369157,0.20751029231291546,10,CommonRisk
GCN,A,0.26,2.924429584409636,0.06202540289260952,0.21851130557346785,10,CommonRisk
GCN,A,0.265,2.8713486913800113,0.09236265789522435,0.22490993354140873,10,CommonRisk
GCN,A,0.27,2.8043439177852263,0.12406280993005563,0.2388807871614734,10,CommonRisk
GCN,A,0.275,2.7557457039189477,0.1012428217813131,0.2489504676034897,10,CommonRisk
GCN,A,0.28,2.747851103186663,0.0994658515750039,0.2514589514639896,10,CommonRisk
GCN,A,0.285,2.747851103186663,0.0994658515750039,0.2514589514639896,10,CommonRisk
GCN,A,0.29,2.747851103186663,0.0994658515750039,0.2514589514639896,10,CommonRisk
GCN,A,0.295,2.747851103186663,0.0994658515750039,0.2514589514639896,10,CommonRisk
GCN,A,0.3,2.7422053820465466,0.09465002138038943,0.25308294304589063,10,CommonRisk
GCN,A,0.305,2.734553464892934,0.0933227305466129,0.2541466942714943,10,CommonRisk
GCN,A,0.31,2.734553464892934,0.0933227305466129,0.2541466942714943,10,CommonRisk
GCN,A,0.315,2.6970254073170414,0.12103246735271588,0.2622661092910102,10,CommonRisk
GCN,A,0.32,2.6841690152401734,0.11669708460302952,0.2683377851373886,10,CommonRisk
GCN,A,0.325,2.665828934956413,0.1494243800688144,0.2712559712333114,10,CommonRisk
GCN,A,0.33,2.6538409646141736,0.14680367250716742,0.2735022115940579,10,CommonRisk
GCN,A,0.335,2.6503040073158908,0.1479777575340873,0.2760174777704472,10,CommonRisk
GCN,A,0.34,2.6165762351662822,0.17774668210533334,0.28256849576132176,10,CommonRisk
GCN,A,0.345,2.544339926791523,0.23101095539890962,0.2985437038995166,10,CommonRisk
GCN,A,0.35,2.5305640063992856,0.2489247985941939,0.3021933254658205,10,CommonRisk
GCN,A,0.355,2.5000578708277197,0.22386217076986775,0.31250822026250746,10,CommonRisk
GCN,A,0.36,2.4759920469229133,0.2216740614694746,0.3213377152052251,10,CommonRisk
GCN,A,0.365,2.4759920469229133,0.2216740614694746,0.3213377152052251,10,CommonRisk
GCN,A,0.37,2.4759920469229133,0.2216740614694746,0.3213377152052251,10,CommonRisk
GCN,A,0.375,2.4759920469229133,0.2216740614694746,0.3213377152052251,10,CommonRisk
GCN,A,0.38,2.4759920469229133,0.2216740614694746,0.3213377152052251,10,CommonRisk
GCN,A,0.385,2.4759920469229133,0.2216740614694746,0.3213377152052251,10,CommonRisk
GCN,A,0.39,2.454333318646699,0.20575912352299783,0.3280096270477207,10,CommonRisk
GCN,A,0.395,2.454333318646699,0.20575912352299783,0.3280096270477207,10,CommonRisk
GCN,A,0.4,2.4404808519762513,0.20713573113407632,0.3319830516623704,10,CommonRisk
GCN,B,0.1,8.39809784146732,0.0,0.0,10,CommonRisk
GCN,B,0.105,8.39809784146732,0.0,0.0,10,CommonRisk
GCN,B,0.11,8.39809784146732,0.0,0.0,10,CommonRisk
GCN,B,0.115,8.39809784146732,0.0,0.0,10,CommonRisk
GCN,B,0.12,8.39809784146732,0.0,0.0,10,CommonRisk
GCN,B,0.125,8.304465158902925,0.296092540335024,0.004844973868187062,10,CommonRisk
GCN,B,0.13,7.985008140430058,0.5547653428443143,0.0200820185290646,10,CommonRisk
GCN,B,0.135,7.196920749738008,0.8039542841886715,0.06123913566992285,10,CommonRisk
GCN,B,0.14,6.659482083597915,0.7989076040479397,0.09000519273770972,10,CommonRisk
GCN,B,0.145,6.131763938512577,0.43585849278059363,0.12124610764307168,10,CommonRisk
GCN,B,0.15,5.915584845261368,0.26733121558685535,0.1315148750838546,10,CommonRisk
GCN,B,0.155,5.830279379917334,0.24433655438025717,0.1360428513028698,10,CommonRisk
GCN,B,0.16,5.830279379917334,0.24433655438025717,0.1360428513028698,10,CommonRisk
GCN,B,0.165,5.830279379917334,0.24433655438025717,0.1360428513028698,10,CommonRisk
GCN,B,0.17,5.830279379917334,0.24433655438025717,0.1360428513028698,10,CommonRisk
GCN,B,0.175,5.830279379917334,0.24433655438025717,0.1360428513028698,10,CommonRisk
GCN,B,0.18,5.830279379917334,0.24433655438025717,0.1360428513028698,10,CommonRisk
GCN,B,0.185,5.830279379917334,0.24433655438025717,0.1360428513028698,10,CommonRisk
GCN,B,0.19,5.830279379917334,0.24433655438025717,0.1360428513028698,10,CommonRisk
GCN,B,0.195,5.830279379917334,0.24433655438025717,0.1360428513028698,10,CommonRisk
GCN,B,0.2,5.7750279730932,0.26407508528548607,0.13836878627877422,10,CommonRisk
GCN,B,0.205,5.762227185781292,0.28420392506080316,0.13909527676041936,10,CommonRisk
GCN,B,0.21,5.56092634467492,0.5651082377253174,0.14702125065057897,10,CommonRisk
GCN,B,0.215,5.3630070276067165,0.7285075653009059,0.15516086109030974,10,CommonRisk
GCN,B,0.22,5.2468039014449905,0.8443341702960662,0.16201720783955245,10,CommonRisk
GCN,B,0.225,4.973196163645243,0.8105065454355768,0.17689657601220818,10,CommonRisk
GCN,B,0.23,4.698888748152589,0.6799092039197344,0.18990852925791998,10,CommonRisk
