set,budget,method,model_seed,solver_seed,cost_inc,common_risk,cvar90,load_risk,top10share,j_score,risk_source
A,20,J-reranking,0,0,16.742912154749735,2.8284050276732016,0.05446624061808245,1.4915657424774338,0.7241721676830248,1.1750559962183411,A_GCN_seed0
A,20,J-reranking,0,1,16.76007671813548,2.850962138239696,0.07366431794297466,1.203883179634179,0.7272962269446416,1.2508860185464556,A_Stable-Tail-GNN_seed0
A,20,J-reranking,0,2,17.32040776728011,2.991282308894286,0.06679805925482722,1.4558615311151721,0.7379306049404358,1.1884683034263246,A_GCN_seed0
A,20,J-reranking,0,3,16.9824697567856,3.183193357449521,0.07063279823443122,1.4611820254508083,0.7507551485513827,1.329460117505064,A_Stable-Tail-GNN_seed0
A,20,J-reranking,0,4,18.8765420121346,2.828890830522763,0.05446624061808244,1.4688685095407616,0.7269723351801453,1.2004799013448924,A_TEG-low_seed0
A,20,J-reranking,0,5,17.250128732303974,3.0185019547903353,0.07977595289792505,1.7209165556380972,0.7316840867702131,1.3268260113921035,A_Stable-Tail-GNN_seed0
A,20,J-reranking,0,6,17.271282192884915,2.917213937234666,0.05634058714452719,1.5233946142485792,0.7251019677060687,1.2178252008203612,A_GCN_seed0
A,20,J-reranking,0,7,17.677129509395662,2.9008756591477383,0.05900270148611702,1.417409773297415,0.7276953798246747,1.1985479707801214,A_GCN_seed0
A,20,J-reranking,0,8,17.19727160106867,3.1668612025470306,0.07215834397110793,1.1684860526435124,0.7493929582559089,1.1510908145024727,A_GCN_seed0
A,20,J-reranking,0,9,16.981723471421002,3.1827075545999586,0.07063279823443122,1.309626489924483,0.7508697424888505,1.5259644990060433,A_Stable-Tail-GNN_seed0
A,20,J-reranking,1,0,19.909400956737837,2.5855499008458027,0.045517673395857744,1.1489334100958146,0.7023308103879479,1.0226593420858772,A_Stable-Tail-GNN_seed1
A,20,J-reranking,1,1,19.90566952991485,2.78036708552165,0.04921673464379689,1.3711258130712634,0.717960417536955,1.0718366613691752,A_Stable-Tail-GNN_seed1
A,20,J-reranking,1,2,19.88313258406842,2.759550691651178,0.04993990828678932,1.4088761577588083,0.7222293187378661,1.0565716447580893,A_Stable-Tail-GNN_seed1
A,20,J-reranking,1,3,19.896714105539676,2.5728660437503645,0.04616454222846692,1.2987278328754952,0.6979956208193261,0.8564923105963177,A_Stable-Tail-GNN_seed1
A,20,J-reranking,1,4,19.884027254341515,2.7595506916511785,0.04993990828678932,1.3338241772887174,0.7222293187378661,1.1231580355836388,A_Stable-Tail-GNN_seed1
A,20,J-reranking,1,5,19.812088149911567,2.849304385234646,0.07366431794297466,1.3722697557822925,0.7286143917753536,1.2287038594537525,A_Stable-Tail-GNN_seed1
A,20,J-reranking,1,6,17.301879892833423,2.723608279368415,0.05269493139200951,1.330434119241728,0.7086944587576343,0.84277605370971,A_TEG-low_seed1
