customer_set,metric,target_model,reference_model,purpose,reference_minus_target_mean,relative_improvement,bootstrap_ci_low,bootstrap_ci_high,wilcoxon_p,effect_size_dz,holm_p,significant_0p05
A,common_risk_aubrc,SGFormer-TEG-Gate,SGFormer-TEG-Concat,Gate vs concat,-0.0011482406805696677,-0.0002594659867862276,-0.07695731600870236,0.08187497702361464,0.845703125,-0.008544307790970275,1.0,False
A,common_risk_aubrc,SGFormer-TEG-Gate,SGFormer-adapted,TEG gated enhancement over SGFormer,0.08528635729084195,0.018902812709868162,-0.0070617932797852655,0.18091435858881635,0.16015625,0.529939495406364,0.640625,False
A,common_risk_aubrc,SGFormer-TEG-Gate,Stable-Tail GNN,Gate vs current main model,-0.019183325868700328,-0.004352561649105398,-0.09653075749751694,0.05487037307639871,0.6953125,-0.14880184318244205,1.0,False
A,common_risk_aubrc,GraphSAGE-TEG-Gate,GraphSAGE-TEG-Concat,Gate vs concat,0.08299669192363872,0.018508054449922023,-0.009392110888531147,0.1714283236424222,0.10546875,0.5377772221877198,0.52734375,False
A,common_risk_aubrc,GraphSAGE-TEG-Gate,GraphSAGE,TEG gated enhancement over GraphSAGE,0.0508246685188249,0.011415673041430853,-0.003330972528600726,0.11728587198608739,0.064453125,0.49988691456867707,0.38671875,False
A,common_risk_aubrc,GraphSAGE-TEG-Gate,Stable-Tail GNN,Gate vs current main model,0.006005939174440833,0.001362705335688591,-0.059893023388286525,0.06994790608699814,0.76953125,0.054570456920076116,1.0,False
A,cvar90_aubrc,SGFormer-TEG-Gate,SGFormer-TEG-Concat,Gate vs concat,0.0005061757837690473,0.004303960496958017,-0.0026921075630254522,0.0037599207660557383,0.921875,0.09324978122402049,1.0,False
A,cvar90_aubrc,SGFormer-TEG-Gate,SGFormer-adapted,TEG gated enhancement over SGFormer,0.0025915061151555495,0.021651400745332842,-0.0001419709478201071,0.005648120392557968,0.275390625,0.5205845910075199,1.0,False
A,cvar90_aubrc,SGFormer-TEG-Gate,Stable-Tail GNN,Gate vs current main model,-7.813114872623483e-06,-6.67257279030674e-05,-0.003432241215218889,0.0033066482871218134,1.0,-0.0013762049988774567,1.0,False
A,cvar90_aubrc,GraphSAGE-TEG-Gate,GraphSAGE-TEG-Concat,Gate vs concat,0.004339395506423008,0.03609332635652222,0.00022920098996069983,0.00856385313594834,0.10546875,0.6126277023420671,0.52734375,False
