customer_set,baseline,comparison,baseline_minus_stable_aubrc_mean,relative_aubrc_reduction,bootstrap_ci_low,bootstrap_ci_high,wilcoxon_p,holm_p,significant_0p05
A,GCN,Stable-Tail GNN,0.09996055710488276,0.022177356849166992,0.02002730661522702,0.17135707064893738,0.037109375,0.111328125,False
A,GAT,Stable-Tail GNN,0.1979071193983745,0.042974038026959024,0.13056659983834426,0.25425108848565203,0.001953125,0.013671875,True
A,GraphSAGE,Stable-Tail GNN,0.044818729344384065,0.01006668563196564,-0.01126153890822603,0.1020172583282753,0.232421875,0.232421875,False
A,SGFormer-adapted,Stable-Tail GNN,0.10446968315954228,0.02315459256736419,0.013800219732437835,0.188290586149226,0.064453125,0.12890625,False
A,Gradformer-adapted,Stable-Tail GNN,0.31488412250522096,0.06668097024028485,0.2256148269138989,0.40714414658731884,0.001953125,0.013671875,True
A,TEG-only,Stable-Tail GNN,0.13065356517283605,0.028790886716682278,0.06903165569379041,0.18786970977818823,0.013671875,0.0546875,False
A,Stable-Tail w/o Tail Loss,Stable-Tail GNN,0.13150731456091655,0.02897356849594496,0.09888146584297922,0.16354784936490793,0.001953125,0.013671875,True
B,GCN,Stable-Tail GNN,0.19574184453752314,0.034057221707324475,0.08494609083437402,0.3173095156589513,0.009765625,0.048828125,True
B,GAT,Stable-Tail GNN,0.4884804449292662,0.08087185206016889,0.34609235968815044,0.6026748640030768,0.00390625,0.0234375,True
B,GraphSAGE,Stable-Tail GNN,0.10571019887748986,0.018685268739780894,-0.03314284824052615,0.253718656654508,0.275390625,0.55078125,False
B,SGFormer-adapted,Stable-Tail GNN,0.017206784613396663,0.0030897966898949377,-0.07674252194007296,0.11243039865454178,0.76953125,0.76953125,False
B,Gradformer-adapted,Stable-Tail GNN,0.33043965550138266,0.05617679419980884,0.17850306614113676,0.5042011994966522,0.001953125,0.013671875,True
B,TEG-only,Stable-Tail GNN,0.09825287640462577,0.017390039786289287,0.006038316656994613,0.18799274081869893,0.10546875,0.421875,False
B,Stable-Tail w/o Tail Loss,Stable-Tail GNN,0.08904072985252398,0.015785294938394433,-0.016219068622624136,0.18466295946129282,0.130859375,0.421875,False
