model,macro_f1,mae,qwk,pr_auc,recall_at_6_8,high_fn,od_hop_increase,od_total_risk_reduction,od_cvar90_reduction,set_a_risk20,set_a_cvar90_20,set_a_cvar95_20,set_a_max_edge_risk20,set_a_high_risk_edge_hits20,set_a_load_risk20,set_a_load_cvar90_20,set_a_load_cvar95_20,set_a_top10_share20,set_a_edge_gini20,set_a_max_vehicle_risk20,set_a_max_vehicle_cvar90_20,set_a_win_rate_10_40,set_a_average_risk_at_b,set_a_common_risk_aubrc,set_a_cvar90_aubrc,set_a_cvar95_aubrc,set_a_load_risk_aubrc,set_a_load_cvar90_aubrc,set_a_load_cvar95_aubrc,set_a_max_vehicle_risk_aubrc,set_a_max_vehicle_cvar90_aubrc,set_b_risk20,set_b_cvar90_20,set_b_cvar95_20,set_b_max_edge_risk20,set_b_high_risk_edge_hits20,set_b_load_risk20,set_b_load_cvar90_20,set_b_load_cvar95_20,set_b_top10_share20,set_b_edge_gini20,set_b_max_vehicle_risk20,set_b_max_vehicle_cvar90_20,set_b_win_rate_10_40,set_b_average_risk_at_b,set_b_common_risk_aubrc,set_b_cvar90_aubrc,set_b_cvar95_aubrc,set_b_load_risk_aubrc,set_b_load_cvar90_aubrc,set_b_load_cvar95_aubrc,set_b_max_vehicle_risk_aubrc,set_b_max_vehicle_cvar90_aubrc
GCN,0.2881,1.3739,0.2562,0.3495,0.2154,0.7846,0.10023857253855939,0.8416789131850788,0.9004317347185871,3.3070046736206167,0.07669989560932947,0.12043965623160632,0.4521620266797683,34.99,1.6802517464122317,0.048781728000411556,0.08001692450839441,0.7732252741987745,0.7739646847008882,1.0785118900105393,0.1441532497675075,0.014285714285714285,3.472480812300124,4.314241425413181,0.11625685002625137,0.20162430134109935,2.2577937531513346,0.0699983238809875,0.12423525357719387,1.368949452274879,0.20344390857117536,5.843346037913905,0.14993702571866863,0.2960022032191131,0.6916995942123507,41.6,2.8761735158887602,0.08501251202036507,0.1551653269820287,0.8582645583966523,0.8386955314567001,1.89913423388303,0.2740061942602892,0.08571428571428572,4.962290480494849,5.652285804220507,0.14414751416536978,0.2724902514027605,2.772042441214282,0.08042446400116296,0.1428435961709977,1.8761470755580258,0.25596284721213264
GAT,0.2546,1.3744,0.2032,0.3059,0.1769,0.8231,0.09581107596106353,0.8401926485520127,0.8980495197911749,3.3777304917559,0.07931539408994456,0.12550943906015424,0.4245054457783944,35.269999999999996,1.7462114111496707,0.05113574472507317,0.08398796147392217,0.7797858640434787,0.7795821353103829,1.0906565570631366,0.13534773513791384,0.014285714285714285,3.5854530437804746,4.410481760212004,0.11950589267963618,0.2071027644717746,2.2950088937572377,0.07160002498124644,0.12649669721340762,1.3972631163576212,0.2101953539500771,5.956370168085317,0.1512884456578031,0.3017402555386375,0.6885997998966122,42.31,3.0148382788625763,0.0900508969472895,0.16263179325508534,0.8597450450676712,0.8399750964465376,1.8771892657531786,0.2870809099024764,0.014285714285714285,5.320504903830127,5.928457280087882,0.15357635314145893,0.29014733167294077,2.9360740300912593,0.08634332667132602,0.1529613454765442,1.9171276201881209,0.2737465347676264
GraphSAGE,0.2960,1.2773,0.2992,0.3763,0.2808,0.7192,0.10388469493468136,0.8431308108011935,0.898447324746891,3.189729809991482,0.07212862294216228,0.11071737872110618,0.4112620754552263,35.00000000000001,1.654116102196681,0.04780781979270618,0.07921556609288927,0.7669985822253935,0.769308427585579,1.0771154418240845,0.13531566966511585,0.04285714285714286,3.4169975076067716,4.262517443383452,0.11366236796579063,0.19628551052715018,2.2028701284457135,0.06801733212108602,0.12046116285177629,1.3669494207829516,0.1997420427241546,5.080789145255105,0.1312344484884408,0.25139131135826726,0.6112817506024726,40.35000000000001,2.603745281621641,0.0753418585665244,0.13685796163018257,0.8352143148357284,0.8229025267322762,1.665937491254852,0.22742751276094686,0.02857142857142857,4.874581040626173,5.569925421524492,0.1422035100669591,0.26724275308736867,2.80223959834463,0.0812264518803095,0.14373388748329247,1.8297667385711485,0.25128746175822203
GraphSAGE-TEG-Concat,0.2335,1.2633,0.3205,0.3503,0.3538,0.6462,0.0951439162689039,0.8502862600530351,0.8985371743021899,3.3960627012992157,0.08004526770871007,0.12973053316272448,0.47553824844998716,35.5,1.7262904893754036,0.05017257001069908,0.08341418269281718,0.7788802261722358,0.7789096495690189,1.1193981826350812,0.14356124204757037,0.22857142857142856,3.3785789693167168,4.293028201576307,0.1159464062696767,0.19925094386840986,2.2206564999967027,0.06862114322845123,0.12114406657648491,1.3728912903551227,0.20146500776832887,5.44161147465293,0.14109163530143393,0.27278418439715624,0.6978827068792105,40.940000000000005,2.8030501366327125,0.08226526991273128,0.14948345724011397,0.8479031863750599,0.8320702965875686,1.7284877140952684,0.2433568861009628,0.14285714285714285,4.858845341737965,5.598018220659906,0.14227057179620847,0.26789182517567334,2.7951427357235317,0.08089851535185318,0.14299426974588275,1.8423685437674535,0.25160546990095045
GraphSAGE-TEG-Gate,0.2420,1.2325,0.2665,0.3675,0.2808,0.7192,0.09752317589816321,0.850206596454769,0.8994667517903693,3.239884992258127,0.07491671022444842,0.11970448240543333,0.4154367889755132,34.79,1.6161631179267193,0.046370973934310875,0.07761853300522151,0.7716404064420794,0.7725357831415918,1.082041367971844,0.1300066066178104,0.18571428571428572,3.2836965995612024,4.213597252672253,0.11128080067482152,0.19757678327560835,2.1812696335371133,0.06694275335032465,0.11932692312549227,1.3589559718924762,0.1940461242446555,5.370013043494726,0.13730052300884535,0.2651312415261988,0.6314330588279733,40.97,2.6938903261686504,0.07874870486669706,0.14217582952752603,0.8453822273694194,0.8288408583486367,1.7842917247851564,0.24990402969987197,0.11428571428571428,4.778952657805393,5.50003739111474,0.1399141001292885,0.258873155368248,2.6963014226161404,0.07786560791699468,0.13696905303723667,1.8167859021842307,0.24840699409745443
SGFormer-adapted,0.3217,1.2509,0.3717,0.3557,0.3692,0.6308,0.0975076765826641,0.8400139138321255,0.9033926296823412,3.4058637596454338,0.08057709069347616,0.13621500615878482,0.4511301027089602,36.06,1.7084580286756208,0.04934821464363753,0.08215052149536814,0.7803911728987962,0.7797664428511796,1.092213576587121,0.13959200493341156,0.08571428571428572,3.451894389817574,4.327995605835804,0.1154389573921033,0.2003020982702497,2.194323242538985,0.06743377924298066,0.11806177162444272,1.375691857485424,0.20390677091200207,4.954430056802791,0.126165533866814,0.24253722578130005,0.5605163084032017,40.410000000000004,2.5128829946187126,0.07175739410166157,0.1312183040432733,0.8337925910267723,0.822145305066182,1.6743826188262703,0.22385073391409338,0.17142857142857143,4.850352177323586,5.488322432474075,0.1399778660545514,0.2644066283761863,2.739026798734938,0.07908160604797093,0.14071357111541327,1.8357161114795453,0.24539844707762987
SGFormer-TEG-Concat,0.2668,1.2575,0.3515,0.3744,0.3615,0.6385,0.10142726440225122,0.8443363842410135,0.9017667680010834,3.267183851179065,0.07327114348911909,0.1172944398163488,0.4274854348296538,36.24999999999999,1.6558896237885974,0.047544957980165295,0.07744388208496339,0.7714726880333777,0.7725098585195606,1.0566133722716424,0.13605961350280055,0.08571428571428572,3.4013534898641056,4.248506101977933,0.11177265512748477,0.1924777063154252,2.180758651712484,0.06685236774412565,0.11784524066456259,1.3255846727515999,0.19052492970893836,5.139551405314224,0.12867635750576736,0.2499726959930088,0.6016145136575861,41.07,2.520233674278839,0.0718539503474547,0.12924039945039417,0.8361725581689894,0.8231250445937631,1.6923826452277584,0.22744624255006332,0.07142857142857142,4.772946651298599,5.511380537780122,0.13947399195285765,0.264268961415513,2.7150054318016688,0.07812318761110823,0.13838331584898353,1.8275836865461699,0.24393457117060988
SGFormer-TEG-Gate,0.3002,1.2776,0.3532,0.3701,0.3692,0.6308,0.10407463554962193,0.8369375709091235,0.9005016523597565,3.339733131119007,0.07886289828940751,0.12165984340481877,0.4552956421564887,35.33,1.6636709801989187,0.04828614177364078,0.07966900265321736,0.7758460692582225,0.7759517236229635,1.1201626046824689,0.13892736156008592,0.11428571428571428,3.4061332769688413,4.244380153995036,0.11120181800458209,0.19558594806639346,2.1997521154193396,0.06754020346922555,0.12017727092617445,1.3443690273770839,0.1947316111465773,4.861199105833537,0.12295387324386928,0.23811734609331378,0.5488334076461245,40.2,2.433036483350265,0.06900301945961126,0.12612237924093234,0.8278972761281491,0.8179239637798575,1.6046134758223125,0.20879632595549152,0.11428571428571428,4.700471344113337,5.440811241877588,0.1380056131094821,0.2620357171708595,2.683248552879396,0.0772767579886879,0.13690425206079032,1.8220874355009304,0.24600673829013955
Gradformer-adapted,0.2612,1.4125,0.2556,0.3242,0.2346,0.7654,0.09464440374439155,0.8428726206167477,0.906308776046569,3.826755235286803,0.09474597593479286,0.16940752607872314,0.6217930256402543,36.65,1.9320356635014833,0.05775958161977189,0.09607285149924571,0.8022415047486907,0.7950567846034755,1.1955400838991648,0.18441497570886256,0.07142857142857142,3.6819085279889854,4.536138397513158,0.12136699766764272,0.21719883088473863,2.3442373687950075,0.07298892220538114,0.12828523270002926,1.4070469781204562,0.2111358043315627,5.66825809319552,0.14599462237984345,0.2831303574579379,0.6608650932835741,41.26,2.8764822782422885,0.08545564040596237,0.1534308130741516,0.8536691556937436,0.8349515478750895,1.7711969011251647,0.25077058308867484,0.08571428571428572,5.06430925240697,5.796254043065046,0.1492245802730199,0.2807927153285843,2.863085565061863,0.08349754977730445,0.14785339346996762,1.8759214768976769,0.2632709972816644
TEG-only,0.2878,1.6617,0.2993,0.3455,0.3000,0.7000,0.11027397324895888,0.8061480316350422,0.8941501195359436,3.3568115200195523,0.07975888705016501,0.12973131710765368,0.4562373655428392,35.67,1.7190765189553445,0.05016702901014344,0.08321328798937647,0.7750131344649656,0.7744493445453624,1.0708377137761689,0.14079815073589613,0.05714285714285714,3.50557599338555,4.359595527720149,0.11685711802688273,0.2044248443743617,2.2540312117886105,0.06987801739013062,0.12331158396172541,1.40385740995445,0.20991768232034413,5.645898764404971,0.14122971740021334,0.27668338964288586,0.6195233946000381,42.29,2.922241858791737,0.08665381502628865,0.15428174096887365,0.8512763200482478,0.8320832114275973,1.8629641279798883,0.26545364564255713,0.05714285714285714,4.879833150005417,5.567739666462759,0.14161975944733785,0.26455514296561494,2.7728121244370967,0.0803007688049995,0.14159650708905183,1.8344117173733636,0.2513751927903052
