beta,lambda_concentration,runs,pyvrp_cost_mean,pyvrp_cost_std,global_risk_mean,global_risk_std,global_cvar90_mean,global_cvar90_std,max_vehicle_risk_mean,max_vehicle_risk_std,max_vehicle_cvar90_mean,max_vehicle_cvar90_std,vehicle_risk_gini_mean,vehicle_risk_gini_std,risk_variance_mean,risk_variance_std,edge_burden_gini_used_mean,edge_burden_gini_used_std,top10_burden_share_mean,top10_burden_share_std,max_edge_burden_mean,max_edge_burden_std,cost_increase_pct,risk_reduction_pct,risk_source,risk_dir,customer_set,run_name
0.0,0.0,10,134264.8,343.79218529028066,8.6350663856927,0.938198057196725,0.2894801738187711,0.04970143025427655,2.6338359670084173,0.651723571727599,0.40478848427922154,0.14987014413276734,0.17899629798706493,0.05570891946805403,0.39979088196627366,0.30490263740205553,0.8799706928931335,0.004582552519348019,0.9025985105294072,0.009006947871882158,1.242333221435547,0.31495494433404125,0.0,0.0,Stable-Tail w/o Tail Loss_seed7,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\stable_tail_gnn_splitB_seed7_epochs50_paper_no_tail_loss_10seed_floor_0p01,A,paper_model_pyvrp_budget_sweep_10seed__Stable-Tail_w_o_Tail_Loss_seed7_A_Stable-Tail_w/o_Tail_Loss_seed7
0.25,0.0,10,143244.7,455.98076226476434,5.842141683302543,0.6653729308026266,0.17926132521721774,0.018053391509416636,1.6952472339540692,0.20630555759144886,0.2797144308375816,0.06280467199438954,0.18456352115213656,0.056526603450885074,0.16569627886130273,0.1036244486620169,0.8770240264023617,0.00870960567989983,0.8881606952689138,0.012510733367775974,0.9595239162445068,0.08189509487219088,0.0668820122623355,0.32343986457560814,Stable-Tail w/o Tail Loss_seed7,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\stable_tail_gnn_splitB_seed7_epochs50_paper_no_tail_loss_10seed_floor_0p01,A,paper_model_pyvrp_budget_sweep_10seed__Stable-Tail_w_o_Tail_Loss_seed7_A_Stable-Tail_w/o_Tail_Loss_seed7
0.5,0.0,10,149935.6,493.98092630743906,4.717258682687316,0.40041798848487237,0.14356017899897125,0.01563546953012764,1.6325281703055226,0.313530918483157,0.23876798092018045,0.04965974888393991,0.20343101181241888,0.07286995453625031,0.1620721654269595,0.11096172576093322,0.8667912175599394,0.00381189883016632,0.8673283582211418,0.009641268699881318,0.8041388988494873,0.0,0.11671562464622164,0.4537090426422525,Stable-Tail w/o Tail Loss_seed7,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\stable_tail_gnn_splitB_seed7_epochs50_paper_no_tail_loss_10seed_floor_0p01,A,paper_model_pyvrp_budget_sweep_10seed__Stable-Tail_w_o_Tail_Loss_seed7_A_Stable-Tail_w/o_Tail_Loss_seed7
1.0,0.0,10,159826.3,453.39241036631586,3.491997670582714,0.21914308896454468,0.10121780900253127,0.009253177262432279,1.0482289134710299,0.165692972602585,0.12990185052234057,0.020663630654716558,0.20207904434377574,0.09041180834105658,0.07545245074654486,0.047011001438700906,0.8401590587835113,0.00874376127594822,0.8202280770129367,0.014311614128709663,0.6443458795547485,0.0,0.19038124661117437,0.5956026839157665,Stable-Tail w/o Tail Loss_seed7,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\stable_tail_gnn_splitB_seed7_epochs50_paper_no_tail_loss_10seed_floor_0p01,A,paper_model_pyvrp_budget_sweep_10seed__Stable-Tail_w_o_Tail_Loss_seed7_A_Stable-Tail_w/o_Tail_Loss_seed7
2.0,0.0,10,174395.0,244.1129064820439,2.5974554194221127,0.13929593183312242,0.06636214957452694,0.0036725464219936202,1.0126935235839483,0.21362600197927675,0.14102772556245327,0.03525211615433182,0.2751724989302981,0.09531159579450914,0.08674808240055855,0.05549825314707222,0.8114606574359116,0.012630242321261217,0.7641210076084664,0.017298037605824164,0.6443458795547485,0.0,0.298888465182237,0.6991968210312206,Stable-Tail w/o Tail Loss_seed7,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\stable_tail_gnn_splitB_seed7_epochs50_paper_no_tail_loss_10seed_floor_0p01,A,paper_model_pyvrp_budget_sweep_10seed__Stable-Tail_w_o_Tail_Loss_seed7_A_Stable-Tail_w/o_Tail_Loss_seed7
0.0,0.0,10,147264.0,377.9753078354899,9.482836905552631,0.9494045697461073,0.2841126450071487,0.04871024723867572,3.0051837352246364,0.4643592109546729,0.41107763494054483,0.04396527842509649,0.2029789682975201,0.04890135721361481,0.5301035476030596,0.23449333749780785,0.8807646558912721,0.003420139179352317,0.9165549949657714,0.006811154728711912,1.0428474068641662,0.1406493706455122,0.0,0.0,Stable-Tail w/o Tail Loss_seed7,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\stable_tail_gnn_splitB_seed7_epochs50_paper_no_tail_loss_10seed_floor_0p01,B,paper_model_pyvrp_budget_sweep_10seed__Stable-Tail_w_o_Tail_Loss_seed7_B_Stable-Tail_w/o_Tail_Loss_seed7
0.25,0.0,10,157836.3,539.9090561278713,7.764280813559071,0.6199856578901926,0.2317826003755604,0.014510185620431795,2.474715420811026,0.330011443782426,0.385290321083296,0.049714083493333214,0.21491577394103767,0.0666747942260046,0.4037011389600925,0.21945503538917635,0.883367925408194,0.0033843782043429488,0.9086686918511161,0.005274699942873488,0.9706902801990509,0.08753149902952218,0.07179147653194255,0.18122805539206163,Stable-Tail w/o Tail Loss_seed7,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\stable_tail_gnn_splitB_seed7_epochs50_paper_no_tail_loss_10seed_floor_0p01,B,paper_model_pyvrp_budget_sweep_10seed__Stable-Tail_w_o_Tail_Loss_seed7_B_Stable-Tail_w/o_Tail_Loss_seed7
0.5,0.0,10,167401.1,653.6777068590028,6.068139370188734,0.7975005068831381,0.17905306544223792,0.027625133537519834,2.0224892315972283,0.3806310066505065,0.26267278504336167,0.08340816836951015,0.239360442672469,0.0691098181458085,0.312474210762699,0.16140313256067756,0.8756735928983657,0.005090281750726216,0.8864413260163081,0.011490096001265743,0.7415286183357239,0.09345137462464745,0.13674149826162543,0.36009240371560924,Stable-Tail w/o Tail Loss_seed7,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\stable_tail_gnn_splitB_seed7_epochs50_paper_no_tail_loss_10seed_floor_0p01,B,paper_model_pyvrp_budget_sweep_10seed__Stable-Tail_w_o_Tail_Loss_seed7_B_Stable-Tail_w/o_Tail_Loss_seed7
1.0,0.0,10,179608.2,538.8349159683944,4.336581952450386,0.3171693114858285,0.11774423322685483,0.015053891548217846,1.691469206584177,0.3320300743965118,0.19882178639564368,0.03911589012011559,0.2995337122562971,0.05540791253073481,0.2698341179449862,0.16383109902618645,0.8579704712214656,0.004599453758653719,0.8454807073452025,0.011815709023568786,0.6443458795547485,0.0,0.21963412646675368,0.5426914966858005,Stable-Tail w/o Tail Loss_seed7,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\stable_tail_gnn_splitB_seed7_epochs50_paper_no_tail_loss_10seed_floor_0p01,B,paper_model_pyvrp_budget_sweep_10seed__Stable-Tail_w_o_Tail_Loss_seed7_B_Stable-Tail_w/o_Tail_Loss_seed7
2.0,0.0,10,198897.0,763.8497525328162,3.3654936375407396,0.12472450748207892,0.07958612021027375,0.010247486578805457,1.0505389290410676,0.07909493336691974,0.12441924251172516,0.01126781437626303,0.2511138204178621,0.0688868565397885,0.09904951928042369,0.049939778971949365,0.8414766786187613,0.006720229841367867,0.8008854509821358,0.010110500327913248,0.7205536365509033,0.0,0.35061522164276404,0.6450963281282698,Stable-Tail w/o Tail Loss_seed7,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\stable_tail_gnn_splitB_seed7_epochs50_paper_no_tail_loss_10seed_floor_0p01,B,paper_model_pyvrp_budget_sweep_10seed__Stable-Tail_w_o_Tail_Loss_seed7_B_Stable-Tail_w/o_Tail_Loss_seed7
