beta,lambda_concentration,seed,is_feasible,pyvrp_cost,num_routes,routes,global_risk,global_cvar90,max_vehicle_risk,max_vehicle_cvar90,vehicle_risk_gini,risk_variance,edge_burden_gini_used,top10_burden_share,max_edge_burden
0.0,0.0,0,True,133998,5,"[[0, 11, 45, 25, 2, 34, 33, 5, 43, 17, 13, 0], [0, 30, 23, 26, 28, 36, 8, 7, 22, 46, 39, 0], [0, 21, 47, 9, 31, 38, 50, 37, 10, 35, 27, 0], [0, 15, 3, 14, 49, 12, 42, 41, 1, 16, 48, 0], [0, 18, 32, 4, 29, 6, 19, 24, 40, 20, 44, 0]]",6.797151700826362,0.1789220641093219,2.0667523551965132,0.27532209429357735,0.18141021834320403,0.2013205548612671,0.8488564924941944,0.8786333716342529,0.855549156665802
0.0,0.0,1,True,133999,5,"[[0, 48, 44, 20, 34, 33, 43, 8, 7, 22, 46, 0], [0, 17, 13, 18, 32, 4, 29, 6, 19, 24, 40, 0], [0, 25, 2, 5, 36, 28, 26, 23, 30, 49, 12, 0], [0, 39, 11, 45, 15, 3, 14, 42, 41, 1, 16, 0], [0, 27, 35, 10, 37, 50, 38, 31, 9, 47, 21, 0]]",6.627130686829332,0.18474431111826561,1.8620892344042659,0.2855678969062865,0.15393926898070398,0.13639271231295685,0.8531020814625048,0.8856118809839878,0.855549156665802
0.0,0.0,2,True,133998,5,"[[0, 16, 3, 15, 45, 11, 1, 41, 42, 14, 48, 0], [0, 25, 2, 34, 33, 43, 8, 7, 22, 46, 39, 0], [0, 38, 31, 9, 47, 21, 27, 23, 30, 49, 12, 0], [0, 26, 28, 36, 5, 35, 10, 37, 50, 13, 17, 0], [0, 44, 20, 40, 24, 6, 19, 29, 4, 32, 18, 0]]",8.44390315929195,0.292213016261275,2.395062802475877,0.4142776906490326,0.21274887124850217,0.42429150783662867,0.859342757965524,0.8831606858377635,0.855549156665802
0.0,0.0,3,True,133999,5,"[[0, 16, 39, 11, 45, 15, 3, 14, 42, 41, 1, 0], [0, 49, 30, 23, 26, 28, 36, 33, 34, 20, 44, 0], [0, 25, 2, 5, 43, 22, 35, 10, 37, 13, 17, 0], [0, 46, 7, 8, 50, 38, 31, 9, 47, 21, 27, 0], [0, 40, 24, 6, 19, 29, 4, 32, 18, 12, 48, 0]]",8.13824144139653,0.28267824628318733,2.255998893000651,0.41154655953869224,0.13257718079382852,0.15036357517216054,0.859748208227745,0.8855687784481245,0.855549156665802
0.0,0.0,4,True,134664,5,"[[0, 16, 42, 41, 1, 25, 11, 45, 15, 3, 14, 0], [0, 21, 47, 9, 31, 38, 50, 37, 10, 35, 27, 0], [0, 44, 20, 2, 33, 34, 5, 43, 22, 46, 39, 0], [0, 12, 29, 32, 4, 6, 19, 24, 40, 18, 48, 0], [0, 17, 13, 8, 7, 36, 28, 26, 23, 30, 49, 0]]",8.762843727541622,0.3066202045346682,2.276839677884709,0.390794799849391,0.14752835691901467,0.23403510550418122,0.8668403638639222,0.8945226199943365,1.0530219078063965
0.0,0.0,5,True,133999,5,"[[0, 16, 3, 14, 42, 41, 1, 45, 39, 11, 15, 0], [0, 18, 32, 4, 29, 6, 19, 24, 40, 20, 44, 0], [0, 25, 2, 34, 33, 35, 10, 37, 50, 13, 17, 0], [0, 46, 22, 7, 8, 43, 5, 36, 28, 26, 12, 0], [0, 48, 38, 31, 9, 47, 21, 27, 23, 30, 49, 0]]",8.98871683498146,0.3130726285565358,2.1796569607104175,0.39048991119489074,0.09931593242919745,0.10576533892083231,0.858758129456128,0.8864208662222484,0.855549156665802
0.0,0.0,6,True,134664,5,"[[0, 49, 40, 24, 19, 6, 4, 32, 29, 12, 18, 0], [0, 14, 42, 41, 1, 45, 11, 25, 15, 3, 16, 0], [0, 48, 39, 46, 7, 8, 36, 28, 26, 23, 30, 0], [0, 21, 47, 9, 31, 38, 50, 37, 10, 13, 17, 0], [0, 44, 20, 2, 34, 33, 5, 43, 22, 35, 27, 0]]",7.887212490837555,0.2707280787424399,1.9140264625893906,0.3298562169075012,0.08207072485902378,0.06202796141554957,0.860127799145191,0.8845621377794562,1.0530219078063965
0.0,0.0,7,True,133999,5,"[[0, 17, 13, 30, 23, 26, 28, 36, 2, 25, 16, 0], [0, 1, 41, 42, 14, 3, 15, 45, 11, 39, 48, 0], [0, 21, 47, 9, 31, 38, 50, 37, 10, 35, 27, 0], [0, 46, 22, 7, 8, 43, 33, 34, 5, 20, 44, 0], [0, 49, 12, 29, 32, 4, 6, 19, 24, 40, 18, 0]]",7.622921710659284,0.19223722419701517,2.1259936783462763,0.3675757884979248,0.15635503968898323,0.18358952915600296,0.8633221629390504,0.8988863398774461,1.0530219078063965
0.0,0.0,8,True,134664,5,"[[0, 38, 31, 9, 43, 5, 34, 33, 47, 21, 27, 0], [0, 1, 41, 25, 2, 35, 10, 37, 50, 13, 17, 0], [0, 39, 45, 11, 15, 3, 14, 49, 18, 42, 16, 0], [0, 30, 23, 26, 28, 36, 8, 7, 22, 46, 48, 0], [0, 44, 20, 40, 24, 19, 6, 32, 4, 29, 12, 0]]",9.29982644302072,0.3063825915257136,2.5763583831721917,0.31270262598991394,0.11531276320484518,0.1621582351215188,0.8568405674467132,0.8656904708315906,1.0530219078063965
0.0,0.0,9,True,133998,5,"[[0, 48, 16, 3, 15, 45, 11, 1, 41, 42, 14, 0], [0, 39, 25, 2, 34, 33, 43, 8, 7, 22, 46, 0], [0, 21, 47, 9, 31, 38, 50, 37, 10, 35, 27, 0], [0, 44, 20, 5, 36, 28, 26, 23, 30, 49, 18, 0], [0, 17, 13, 12, 29, 32, 4, 6, 19, 24, 40, 0]]",8.041817906603683,0.20956981756857462,2.8381861083908007,0.5381305307149887,0.2853783705741406,0.6837780240886248,0.869232667547527,0.9046577554407533,1.0530219078063965
0.25,0.0,0,True,143162,5,"[[0, 12, 13, 17, 43, 8, 7, 22, 46, 39, 25, 0], [0, 35, 10, 37, 50, 38, 31, 9, 47, 21, 27, 0], [0, 1, 41, 42, 14, 3, 16, 15, 45, 11, 48, 0], [0, 20, 44, 29, 32, 4, 6, 19, 24, 40, 49, 0], [0, 18, 34, 33, 5, 36, 2, 28, 26, 23, 30, 0]]",4.601411544892471,0.1381122830456921,1.3483857159153558,0.2604897264391184,0.1983369839939353,0.1086788948250065,0.8343890695250289,0.8491409283432221,0.8298590183258057
0.25,0.0,1,True,143097,5,"[[0, 27, 21, 47, 9, 31, 38, 50, 37, 10, 35, 0], [0, 18, 34, 33, 5, 36, 2, 28, 26, 23, 30, 0], [0, 49, 40, 24, 6, 19, 4, 32, 29, 44, 20, 0], [0, 16, 3, 14, 42, 41, 1, 39, 11, 25, 48, 0], [0, 12, 13, 17, 43, 8, 7, 22, 46, 45, 15, 0]]",5.446684777212795,0.16833979998981313,2.197856296726968,0.2604897264391184,0.29295944990834943,0.37082110601601015,0.8518835715958841,0.8711846456819942,0.8549196720123291
0.25,0.0,2,True,143182,5,"[[0, 17, 13, 12, 49, 14, 3, 16, 1, 41, 42, 0], [0, 35, 10, 37, 50, 38, 31, 9, 47, 21, 27, 0], [0, 20, 44, 29, 32, 4, 19, 6, 24, 40, 48, 0], [0, 15, 45, 39, 11, 25, 2, 28, 26, 23, 30, 0], [0, 18, 34, 33, 36, 5, 43, 8, 7, 22, 46, 0]]",4.867767898947932,0.15212345306106187,1.9529001924674958,0.24705829990229436,0.24719050483418026,0.25273221669691215,0.8348492894110093,0.8502177071787616,0.8298590183258057
0.25,0.0,3,True,143098,5,"[[0, 12, 40, 24, 19, 6, 4, 32, 29, 44, 20, 0], [0, 48, 49, 13, 17, 43, 8, 7, 22, 46, 15, 0], [0, 18, 34, 33, 36, 5, 2, 28, 26, 23, 30, 0], [0, 35, 10, 37, 50, 38, 31, 9, 47, 21, 27, 0], [0, 16, 3, 14, 42, 41, 1, 25, 11, 39, 45, 0]]",5.446684777212795,0.16833979998981313,2.1869231735472567,0.2604897264391184,0.28980880062582526,0.3630734780055052,0.8518835715958841,0.8711846456819942,0.8549196720123291
0.25,0.0,4,True,143097,5,"[[0, 18, 34, 33, 36, 5, 2, 28, 26, 23, 30, 0], [0, 15, 45, 46, 22, 7, 8, 43, 17, 13, 12, 0], [0, 27, 21, 47, 9, 31, 38, 50, 37, 10, 35, 0], [0, 25, 11, 39, 1, 41, 42, 14, 3, 16, 48, 0], [0, 49, 40, 24, 6, 19, 4, 32, 29, 44, 20, 0]]",4.600314302777406,0.1381122830456921,1.351485822291579,0.2604897264391184,0.19967361709471776,0.11014876649389174,0.8343753666977429,0.8480235334941723,0.8298590183258057
0.25,0.0,5,True,143881,5,"[[0, 16, 3, 14, 42, 41, 1, 39, 11, 45, 15, 0], [0, 12, 49, 40, 24, 19, 6, 29, 4, 32, 18, 0], [0, 17, 13, 35, 10, 37, 50, 38, 44, 20, 48, 0], [0, 30, 23, 26, 28, 36, 31, 9, 47, 21, 27, 0], [0, 46, 22, 7, 8, 43, 5, 33, 34, 2, 25, 0]]",7.513150926621165,0.20629271424629472,2.1796569607104175,0.2713681757450104,0.1456477233335658,0.16420392777620652,0.8627118050569063,0.9004088102986074,0.855549156665802
