beta,lambda_concentration,runs,pyvrp_cost_mean,pyvrp_cost_std,global_risk_mean,global_risk_std,global_cvar90_mean,global_cvar90_std,max_vehicle_risk_mean,max_vehicle_risk_std,max_vehicle_cvar90_mean,max_vehicle_cvar90_std,vehicle_risk_gini_mean,vehicle_risk_gini_std,risk_variance_mean,risk_variance_std,edge_burden_gini_used_mean,edge_burden_gini_used_std,top10_burden_share_mean,top10_burden_share_std,max_edge_burden_mean,max_edge_burden_std,cost_increase_pct,risk_reduction_pct,risk_source,risk_dir,customer_set,run_name
0.0,0.0,10,134264.9,343.7060921452772,8.81641727512319,1.0054728436761287,0.29424168969879766,0.04340233739111832,2.6934937719270606,0.5973039186466493,0.48295298435326134,0.14401144882606537,0.18401643848790689,0.0779909377108848,0.4388162177910999,0.3699291816637752,0.8821986035385601,0.0057122010675514515,0.8968553199592337,0.0076140884521519615,1.3419129848480225,0.3926768091840355,0.0,0.0,SGFormer-adapted_seed1,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\sgformer_adapted_splitB_seed1_epochs50_paper_strong_baselines_10seed_floor_0p01,A,paper_strong_pyvrp_budget_sweep_10seed__SGFormer-adapted_seed1_A_SGFormer-adapted_seed1
0.25,0.0,10,142959.0,489.18344661736506,5.712982441634628,0.9107643079797645,0.18207714914826179,0.03433052118752943,1.7029584226336525,0.47412077736028524,0.27601288763754483,0.14816745384777472,0.19662278546876283,0.09391597514842927,0.20766478606514402,0.19465533757387893,0.8728850832870403,0.007763716563497264,0.8661827135375134,0.0149991422339258,1.043892240524292,0.23560608551042128,0.06475333463920956,0.35200634641522754,SGFormer-adapted_seed1,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\sgformer_adapted_splitB_seed1_epochs50_paper_strong_baselines_10seed_floor_0p01,A,paper_strong_pyvrp_budget_sweep_10seed__SGFormer-adapted_seed1_A_SGFormer-adapted_seed1
0.5,0.0,10,149066.1,642.7089284167963,4.1125016050614125,0.6990967302976794,0.11536913781000183,0.026620826708997576,1.4345835082734992,0.3949102009638246,0.17872558688079673,0.0758901189330461,0.2620009256786026,0.08448295368612257,0.1882700878587108,0.11703269574494853,0.8418172206425135,0.028585520443706672,0.818276009486983,0.041307335599932334,0.8275813102722168,0.1882944558588696,0.11023878913997637,0.5335404987391,SGFormer-adapted_seed1,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\sgformer_adapted_splitB_seed1_epochs50_paper_strong_baselines_10seed_floor_0p01,A,paper_strong_pyvrp_budget_sweep_10seed__SGFormer-adapted_seed1_A_SGFormer-adapted_seed1
1.0,0.0,10,156323.6,403.7362175150173,2.570977922688956,0.2201288262537462,0.06463458721753318,0.007825478021564657,0.9430523384892695,0.15506397701511945,0.09805386702864717,0.02554379872383115,0.28199100318605475,0.09620404846462972,0.07709277795804369,0.04381471227717898,0.786572872889238,0.011647552080062417,0.7307503008308501,0.018794749071928355,0.4846935272216797,0.0,0.16429238021255005,0.7083874500876842,SGFormer-adapted_seed1,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\sgformer_adapted_splitB_seed1_epochs50_paper_strong_baselines_10seed_floor_0p01,A,paper_strong_pyvrp_budget_sweep_10seed__SGFormer-adapted_seed1_A_SGFormer-adapted_seed1
2.0,0.0,10,167535.9,826.4801469686572,2.037922737067934,0.19979444677326544,0.041141898960331366,0.009883374019849532,0.6251151483606009,0.058968560124983714,0.07383216746550585,0.017253324027761873,0.22357177236680076,0.05849765834530859,0.028511992967407716,0.012531674320554713,0.7475742324898694,0.023459428882235116,0.6688217960197514,0.03375320825829721,0.35595329105854034,0.07639297159374507,0.24780117513959346,0.7688491057678271,SGFormer-adapted_seed1,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\sgformer_adapted_splitB_seed1_epochs50_paper_strong_baselines_10seed_floor_0p01,A,paper_strong_pyvrp_budget_sweep_10seed__SGFormer-adapted_seed1_A_SGFormer-adapted_seed1
0.0,0.0,10,147397.2,378.13131170122483,9.043047697872826,0.5412138674784414,0.273705656442909,0.021349813902752406,2.9104001890867948,0.1996535948795773,0.4252368514736494,0.05659532972605165,0.2312169766007141,0.026391213141389574,0.5917795963516189,0.12813953229739758,0.8753415363754803,0.0033148266018979,0.8910030643666682,0.007657958626372009,0.9586609721183776,0.033918850517416506,0.0,0.0,SGFormer-adapted_seed1,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\sgformer_adapted_splitB_seed1_epochs50_paper_strong_baselines_10seed_floor_0p01,B,paper_strong_pyvrp_budget_sweep_10seed__SGFormer-adapted_seed1_B_SGFormer-adapted_seed1
0.25,0.0,10,157875.7,544.0653657624442,7.350687718598143,0.5098932464957656,0.22144237138970663,0.01877072076286672,2.5716200997215934,0.37878905472202196,0.3739115965738893,0.06333282683989613,0.25462183078823336,0.06519764393401553,0.5204889702256216,0.2452105942748569,0.8746142291931862,0.003977746739330289,0.8797031602549298,0.0055116984861358,0.958608990907669,0.034083229538788874,0.07109022423763815,0.18714486927593946,SGFormer-adapted_seed1,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\sgformer_adapted_splitB_seed1_epochs50_paper_strong_baselines_10seed_floor_0p01,B,paper_strong_pyvrp_budget_sweep_10seed__SGFormer-adapted_seed1_B_SGFormer-adapted_seed1
0.5,0.0,10,166231.1,571.2709903753598,5.15318705685244,0.5756626005733915,0.13957018367460544,0.01752227116972822,1.6584271014681704,0.32215540915766816,0.2525805444900124,0.06449418038197631,0.24870676460241864,0.07458200787487988,0.23899123493999247,0.133663929884973,0.8539151328514049,0.011283803057519894,0.8364550254967208,0.017857924563915255,0.8599819272756577,0.14847092633787484,0.12777651135842466,0.4301493004327466,SGFormer-adapted_seed1,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\sgformer_adapted_splitB_seed1_epochs50_paper_strong_baselines_10seed_floor_0p01,B,paper_strong_pyvrp_budget_sweep_10seed__SGFormer-adapted_seed1_B_SGFormer-adapted_seed1
1.0,0.0,10,176697.9,635.1915634060502,3.324344378512106,0.2577231451456322,0.08029919130627051,0.007659625105558162,1.1088367393509357,0.11062749303497359,0.13139476076596313,0.016388718988632086,0.26433133150714655,0.037768452498701664,0.10502887630671054,0.02697048964867545,0.8095136274293123,0.007826234334420559,0.7630662527700756,0.01264862790762415,0.46014332473278047,0.022828958203372333,0.19878735824018354,0.6323867251861652,SGFormer-adapted_seed1,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\sgformer_adapted_splitB_seed1_epochs50_paper_strong_baselines_10seed_floor_0p01,B,paper_strong_pyvrp_budget_sweep_10seed__SGFormer-adapted_seed1_B_SGFormer-adapted_seed1
2.0,0.0,10,192540.5,565.5257632406227,2.935278639543495,0.0671221166589509,0.06562394682099025,0.0036807664067000385,1.039651874106569,0.08947157684378763,0.10586500047144316,0.01724400155464815,0.26473356724302616,0.050249915207496394,0.08389903112106509,0.027265446096801576,0.7972237051627384,0.005437494552196177,0.7403155968838553,0.008357107240822502,0.4270610213279724,0.0,0.3062697256121554,0.6754104658505087,SGFormer-adapted_seed1,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\sgformer_adapted_splitB_seed1_epochs50_paper_strong_baselines_10seed_floor_0p01,B,paper_strong_pyvrp_budget_sweep_10seed__SGFormer-adapted_seed1_B_SGFormer-adapted_seed1
