beta,lambda_concentration,runs,pyvrp_cost_mean,pyvrp_cost_std,global_risk_mean,global_risk_std,global_cvar90_mean,global_cvar90_std,max_vehicle_risk_mean,max_vehicle_risk_std,max_vehicle_cvar90_mean,max_vehicle_cvar90_std,vehicle_risk_gini_mean,vehicle_risk_gini_std,risk_variance_mean,risk_variance_std,edge_burden_gini_used_mean,edge_burden_gini_used_std,top10_burden_share_mean,top10_burden_share_std,max_edge_burden_mean,max_edge_burden_std,cost_increase_pct,risk_reduction_pct,risk_source,risk_dir,customer_set,run_name
0.0,0.0,10,134198.1,321.732273102273,8.701669541442334,0.9879217318448805,0.2767544178941577,0.050910440830538986,2.5896830093399332,0.4248848185914249,0.4404784079051266,0.12714944391906183,0.18659697905320458,0.048206260816225095,0.39202157257572473,0.21437267783980493,0.8792070279245756,0.006867830736323741,0.8984038560974124,0.009209544510342572,1.4789092540740967,0.26505138637544334,0.0,0.0,GraphSAGE-TEG-Concat_seed0,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\graphsage_teg_concat_splitB_seed0_epochs50_paper_teg_concat_fusions_10seed_floor_0p01,A,paper_teg_concat_fusion_pyvrp_budget_sweep_10seed__GraphSAGE-TEG-Concat_seed0_A_GraphSAGE-TEG-Concat_seed0
0.25,0.0,10,143227.7,233.2823992027212,5.964934303683322,0.8484059555794725,0.16974899089754633,0.024811548699140762,1.928882143606461,0.4205606279814679,0.2914906663542968,0.05257985038508017,0.21112166149371836,0.07647327944691669,0.24008178442201328,0.14590963959268508,0.8669150218900284,0.010113619718433692,0.8737398133771036,0.01514358436309253,1.1550034523010253,0.1527506145463872,0.06728560240420696,0.31450691441737666,GraphSAGE-TEG-Concat_seed0,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\graphsage_teg_concat_splitB_seed0_epochs50_paper_teg_concat_fusions_10seed_floor_0p01,A,paper_teg_concat_fusion_pyvrp_budget_sweep_10seed__GraphSAGE-TEG-Concat_seed0_A_GraphSAGE-TEG-Concat_seed0
0.5,0.0,10,149376.2,259.5726402291959,4.486368610924319,0.24224550977443035,0.1271287327983202,0.012349205882740872,1.8193569455317629,0.3668458043888283,0.25151389882426767,0.04769902326524114,0.30571776527436595,0.05467867496401678,0.2964548557403722,0.1399194457696896,0.8414528607833285,0.00402378080563001,0.8365806102766626,0.009667062751935074,0.8651795387268066,0.0,0.1131021974230634,0.4844243866584284,GraphSAGE-TEG-Concat_seed0,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\graphsage_teg_concat_splitB_seed0_epochs50_paper_teg_concat_fusions_10seed_floor_0p01,A,paper_teg_concat_fusion_pyvrp_budget_sweep_10seed__GraphSAGE-TEG-Concat_seed0_A_GraphSAGE-TEG-Concat_seed0
1.0,0.0,10,158673.6,432.0877482898841,2.833750906382238,0.30157836811598226,0.07120785848427383,0.0127255776804178,1.1786006507943967,0.16325473046632644,0.13929215435470851,0.02848795538516454,0.32747711772931404,0.040304921661393774,0.1255347639458538,0.03383665894580669,0.7887457145764261,0.01594842064850732,0.7508469586517847,0.024721036073342154,0.5960483163595199,0.05591349301954912,0.18238335714142004,0.6743439988283895,GraphSAGE-TEG-Concat_seed0,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\graphsage_teg_concat_splitB_seed0_epochs50_paper_teg_concat_fusions_10seed_floor_0p01,A,paper_teg_concat_fusion_pyvrp_budget_sweep_10seed__GraphSAGE-TEG-Concat_seed0_A_GraphSAGE-TEG-Concat_seed0
2.0,0.0,10,169666.6,566.5686581910832,1.8612689939291613,0.1106279855433981,0.033809294419480856,0.006267420198518588,0.6028418575442629,0.08732406015095844,0.06246348420002808,0.012539352836159092,0.2256677207125576,0.07883798861301286,0.025206736880985216,0.012004272806056454,0.7042713372682087,0.014322001717911667,0.6313440985981499,0.01957957571495272,0.2589303821325302,0.009712602411256046,0.26429956906990487,0.7861020824721603,GraphSAGE-TEG-Concat_seed0,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\graphsage_teg_concat_splitB_seed0_epochs50_paper_teg_concat_fusions_10seed_floor_0p01,A,paper_teg_concat_fusion_pyvrp_budget_sweep_10seed__GraphSAGE-TEG-Concat_seed0_A_GraphSAGE-TEG-Concat_seed0
0.0,0.0,10,147397.1,491.6445079752465,8.626963657395368,0.68405974600732,0.2631431775272747,0.03200716743092877,2.8043255350959955,0.200310137426278,0.41977848349759983,0.06409973454880927,0.2433838713760938,0.04141195599984113,0.5970505620864922,0.1672915561782479,0.8761834614262917,0.0037969548826744426,0.8921104748580791,0.006161083328752147,1.1900162637233733,0.11840569043900134,0.0,0.0,GraphSAGE-TEG-Concat_seed0,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\graphsage_teg_concat_splitB_seed0_epochs50_paper_teg_concat_fusions_10seed_floor_0p01,B,paper_teg_concat_fusion_pyvrp_budget_sweep_10seed__GraphSAGE-TEG-Concat_seed0_B_GraphSAGE-TEG-Concat_seed0
0.25,0.0,10,157352.6,275.60688590010875,7.5444956967694,0.4396339683449926,0.21627704732245165,0.027415500681055638,2.3872221010999057,0.440383756235168,0.3796683112851211,0.07864586547168055,0.22141036823794816,0.04675279583530544,0.41450555002873485,0.176455932825656,0.8739439733672251,0.005434710113822054,0.8874634668934428,0.004415549219015755,1.1496121168136597,0.16426487460088282,0.06754203440908946,0.1254749647285125,GraphSAGE-TEG-Concat_seed0,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\graphsage_teg_concat_splitB_seed0_epochs50_paper_teg_concat_fusions_10seed_floor_0p01,B,paper_teg_concat_fusion_pyvrp_budget_sweep_10seed__GraphSAGE-TEG-Concat_seed0_B_GraphSAGE-TEG-Concat_seed0
0.5,0.0,10,166387.4,373.07824618674533,5.168230189803808,0.6240757076865131,0.13656411212916078,0.015266078180211917,1.750879377881938,0.37330607475321215,0.269951955127042,0.07063544211880722,0.25266042593471444,0.07015123916666659,0.2507037696813553,0.16495512956102537,0.8499168631326907,0.010747807755733701,0.8456161813768965,0.0150303328429306,0.786534708738327,0.19016255097849075,0.12883767726773449,0.4009212980312255,GraphSAGE-TEG-Concat_seed0,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\graphsage_teg_concat_splitB_seed0_epochs50_paper_teg_concat_fusions_10seed_floor_0p01,B,paper_teg_concat_fusion_pyvrp_budget_sweep_10seed__GraphSAGE-TEG-Concat_seed0_B_GraphSAGE-TEG-Concat_seed0
1.0,0.0,10,176875.3,594.9606989821541,3.5411517091949007,0.42835188098767246,0.08522482622766597,0.013341208124771124,1.131009821419866,0.26010338830275315,0.12499359716927365,0.028427031105644544,0.20408506522753966,0.08061731140767878,0.0860867861974001,0.066378356934203,0.8082251341349501,0.017679087820716293,0.7788511522254391,0.02946330332216269,0.5553270816802979,0.04287009792749941,0.19999172303932697,0.5895251388754978,GraphSAGE-TEG-Concat_seed0,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\graphsage_teg_concat_splitB_seed0_epochs50_paper_teg_concat_fusions_10seed_floor_0p01,B,paper_teg_concat_fusion_pyvrp_budget_sweep_10seed__GraphSAGE-TEG-Concat_seed0_B_GraphSAGE-TEG-Concat_seed0
2.0,0.0,10,190430.5,948.6142231932033,2.7337557858937087,0.1468862356655244,0.060849580723932165,0.0029101806205988905,0.7992425868847931,0.13348774614037198,0.08330236385325118,0.004716124677087693,0.2203944878737018,0.04880458363897232,0.05207069927610582,0.023056778288832503,0.7782394498948977,0.005920655205185552,0.726213325240272,0.010641004618839923,0.5138182878494263,0.02625246628638005,0.29195554050927724,0.6831149527851655,GraphSAGE-TEG-Concat_seed0,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\graphsage_teg_concat_splitB_seed0_epochs50_paper_teg_concat_fusions_10seed_floor_0p01,B,paper_teg_concat_fusion_pyvrp_budget_sweep_10seed__GraphSAGE-TEG-Concat_seed0_B_GraphSAGE-TEG-Concat_seed0
