model,seed,customer_set,avg_risk_at_b,common_aubrc,cvar90_aubrc,cvar95_aubrc,load_cvar90_aubrc,max_vehicle_cvar90_aubrc
Stable-Tail-EdgeTailRaw-a005,0,A,3.3023306748742334,0.9613926978561071,0.022814481497119968,0.03757040481844825,0.014215536081231776,0.044837155237765984
Stable-Tail-EdgeTailRaw-a005,0,B,4.493655852453795,1.3110813044586176,0.031056768842015997,0.057708155065849184,0.017984064679499267,0.05545640768831362
Stable-Tail-EdgeTailRaw-a005,1,A,3.4809832786937136,1.007679951018014,0.024273724936010294,0.04049219339801205,0.014770886592726483,0.04680452115738418
Stable-Tail-EdgeTailRaw-a005,1,B,4.4886412091321155,1.3121884977388218,0.031289998951196184,0.06004225177259691,0.01895000800044494,0.05861705849889107
Stable-Tail-EdgeTailRaw-a005,2,A,3.454775314101729,1.0095533111811283,0.024738877802198845,0.040936591078902254,0.015095601286966971,0.051480132942890236
Stable-Tail-EdgeTailRaw-a005,2,B,4.9605595687195105,1.4689010748892661,0.03586924617729205,0.07022386525318229,0.020240200679198964,0.06344088108489085
Stable-Tail-EdgeTailRaw-a005,3,A,3.484098440256006,1.0301625874165583,0.025708371962363682,0.04005514346889478,0.01647500834855636,0.04227694768838071
Stable-Tail-EdgeTailRaw-a005,3,B,4.8333362458202895,1.4240895444973383,0.034931374880905884,0.06972111852531784,0.021266921324806603,0.06218003637934016
Stable-Tail-EdgeTailRaw-a005,4,A,3.4844674137399685,1.0171519268919504,0.02436227882714457,0.03974452132074684,0.014680223345069939,0.04462395788046766
Stable-Tail-EdgeTailRaw-a005,4,B,4.707462839488584,1.380314217085161,0.03392830210230805,0.06540970165122818,0.018986300997584287,0.05805002381624892
Stable-Tail-EdgeTailRaw-a005,5,A,3.4342150205255044,0.9924366557410196,0.02317147194042145,0.03959140959593623,0.014554272477864958,0.04232683077679
Stable-Tail-EdgeTailRaw-a005,5,B,4.668220195377398,1.3727422043556667,0.03360480028143608,0.06446884153968553,0.01888923413694923,0.05665223733223411
Stable-Tail-EdgeTailRaw-a005,6,A,3.315430950979642,0.9651290694444209,0.02371921746092351,0.038820002940111474,0.013812682509944552,0.041690026428483365
Stable-Tail-EdgeTailRaw-a005,6,B,4.7898842090349225,1.413650194930153,0.03438356084936219,0.06708291949237839,0.020925181948778595,0.06392157418270052
Stable-Tail-EdgeTailRaw-a005,7,A,3.354026296907452,0.9725870786418286,0.023015563641059073,0.03936555114429705,0.014491713402291353,0.0434362511719172
Stable-Tail-EdgeTailRaw-a005,7,B,4.548814837703621,1.332172256004492,0.031396295725710184,0.06316485075879766,0.018843882262986073,0.055676523897165285
Stable-Tail-EdgeTailRaw-a005,8,A,3.3582253377252234,0.9770760429395797,0.023460940784964017,0.0381858803957478,0.01476870960122139,0.040543657275590575
Stable-Tail-EdgeTailRaw-a005,8,B,4.408066196632249,1.2849030565495345,0.03031644007039846,0.057068949583259324,0.018214572600747086,0.05295014953918914
Stable-Tail-EdgeTailRaw-a005,9,A,3.351919342410082,0.9717137979737998,0.023291629194773796,0.0392902729791105,0.01449967735806008,0.03988417621687007
Stable-Tail-EdgeTailRaw-a005,9,B,4.319693106218589,1.2495631632095408,0.029620142739533596,0.05499925497658036,0.017949252001919817,0.04825698655911333
Stable-Tail-EdgeTailRaw-a010,0,A,3.3007942420233274,0.96274141504471,0.023161716437954918,0.0378336352285412,0.01446438294425417,0.041778747365722846
Stable-Tail-EdgeTailRaw-a010,0,B,4.483673345763848,1.3070629096284874,0.031131195877702106,0.05687573858974151,0.018791982553158122,0.054617231365268123
Stable-Tail-EdgeTailRaw-a010,1,A,3.4843777301742707,1.0074953973813219,0.024190032919001066,0.03992777050928602,0.014830434142915494,0.043122375236111975
Stable-Tail-EdgeTailRaw-a010,1,B,4.542393356661496,1.323119871226629,0.03203248038950787,0.06060640903401204,0.017664262916087484,0.05779168271607919
Stable-Tail-EdgeTailRaw-a010,2,A,3.474504632942146,1.0098611227563958,0.024894316463539633,0.041033305655745075,0.015350417333150623,0.047341657525051886
Stable-Tail-EdgeTailRaw-a010,2,B,4.930389802749232,1.4606102375572505,0.03613201660318483,0.06989188799047522,0.02168506629783558,0.0663988722384779
Stable-Tail-EdgeTailRaw-a010,3,A,3.4595830284816618,1.0223340106550363,0.025137551982586662,0.040455910497961295,0.015034248290806908,0.0421686857330085
