rank,edge_id,src,dst,R_ij,w_norm,severity,P_level,C_level,RiskLevel
1,5725,3816,5188,0.8817576766014099,0.9999998807907104,7.172304630279541,5,8,40
2,4998,3816,5160,0.8817576766014099,0.9999998807907104,7.172304630279541,5,8,40
3,1822,3816,4211,0.8817576766014099,0.9999998807907104,7.172304630279541,5,8,40
4,1657,3816,4057,0.8817576766014099,0.9999998807907104,7.172304630279541,5,8,40
5,5483,3816,3870,0.8817576766014099,0.9999998807907104,7.172304630279541,5,8,40
6,1647,3816,4213,0.8817576766014099,0.9999998807907104,7.172304630279541,5,8,40
7,837,3739,3777,0.8611275553703308,0.9999998807907104,7.027893543243408,5,8,40
8,1040,3777,4886,0.8611275553703308,0.9999998807907104,7.027893543243408,5,8,40
9,6056,3777,4238,0.8611275553703308,0.9999998807907104,7.027893543243408,5,8,40
10,6058,3777,4260,0.8611275553703308,0.9999998807907104,7.027893543243408,5,8,40
11,2373,3477,4202,0.8572542071342468,0.9999998807907104,7.00078010559082,5,8,40
12,451,3477,3873,0.8572542071342468,0.9999998807907104,7.00078010559082,5,8,40
13,372,3477,3862,0.8572542071342468,0.9999998807907104,7.00078010559082,5,8,40
14,4170,4485,4620,0.8500211834907532,0.9999998807907104,6.950149059295654,5,7,35
15,4165,4485,5102,0.8500211834907532,0.9999998807907104,6.950149059295654,5,7,35
16,3079,3794,4113,0.8465831875801086,0.9999998807907104,6.926083087921143,5,7,35
17,3077,3794,4699,0.8465831875801086,0.9999998807907104,6.926083087921143,5,7,35
18,3080,3794,4369,0.8465831875801086,0.9999998807907104,6.926083087921143,5,7,35
19,2115,3651,4265,0.7610952258110046,0.9999998807907104,6.327667236328125,5,7,35
20,2111,3651,4815,0.7610952258110046,0.9999998807907104,6.327667236328125,5,7,35
