rank,node_id,label,pred_label,S_i,S_i_norm,P_high
1,3637,8,8,7.972724437713623,0.9961034655570984,0.9926143884658813
2,4436,8,8,7.5543999671936035,0.9363428354263306,0.913901686668396
3,4315,8,8,7.470091819763184,0.9242988228797913,0.9230037927627563
4,4198,8,8,7.413259983062744,0.9161800146102905,0.8949575424194336
5,4627,8,8,7.251768112182617,0.8931097388267517,0.9067549109458923
6,2794,0,7,7.1268768310546875,0.8752681016921997,0.9996628761291504
7,5157,7,7,7.003105163574219,0.8575864434242249,0.9996143579483032
8,3593,0,7,6.996972560882568,0.8567103743553162,1.0
9,3901,0,7,6.995641708374023,0.8565202355384827,0.999921441078186
10,3477,0,7,6.992642402648926,0.8560917973518372,0.9996544718742371
11,4485,7,7,6.987882137298584,0.85541170835495,0.9971699118614197
12,3777,7,7,6.983419418334961,0.8547741770744324,0.9941079616546631
13,3794,7,7,6.921433925628662,0.845919132232666,0.9464256763458252
14,3636,7,7,6.6640777587890625,0.8091539740562439,0.9240686297416687
15,3036,0,7,6.413287162780762,0.7733267545700073,0.8110770583152771
16,3651,7,7,6.349087715148926,0.764155387878418,0.8699318170547485
17,5028,0,8,6.342393398284912,0.7631990313529968,0.7669512033462524
18,89,0,7,6.310296535491943,0.7586137652397156,0.8229343891143799
19,4370,6,7,6.25892448425293,0.7512749433517456,0.8652843236923218
20,4158,1,7,6.207624435424805,0.743946373462677,0.870168924331665
