rank,node_id,label,pred_label,S_i,S_i_norm,P_high
1,3721,8,8,7.955199718475342,0.9935999512672424,0.9944799542427063
2,3475,8,8,7.241031169891357,0.8915758728981018,0.9082916378974915
3,3772,8,8,7.163818359375,0.8805454969406128,0.887652575969696
4,4058,8,8,7.037374973297119,0.8624821305274963,0.8830301761627197
5,3375,0,7,6.999986171722412,0.8571408987045288,0.9999953508377075
6,3335,7,7,6.989738464355469,0.8556769490242004,0.9953410625457764
7,4091,7,7,6.9828901290893555,0.8546985983848572,0.9851066470146179
8,3367,0,7,6.938910007476807,0.848415732383728,0.9880422949790955
9,3208,7,7,6.9039812088012695,0.8434258699417114,0.9846221804618835
10,3487,8,8,6.836709976196289,0.8338156938552856,0.818047285079956
11,3410,7,7,6.799114227294922,0.8284448981285095,0.9459113478660583
12,3300,7,7,6.665815830230713,0.8094022870063782,0.9312970638275146
13,3448,7,7,6.510507583618164,0.7872153520584106,0.847065806388855
14,2162,0,8,6.464222431182861,0.7806032299995422,0.7968761920928955
15,3086,7,7,6.460041046142578,0.7800058722496033,0.8278610706329346
16,3439,0,7,6.378420829772949,0.768345832824707,0.8158283233642578
17,4180,0,7,6.254539489746094,0.7506484985351562,0.7645515203475952
18,3223,7,7,6.158082962036133,0.7368689775466919,0.7949103116989136
19,3901,7,7,6.143098831176758,0.7347283959388733,0.7416788935661316
20,734,0,8,6.136889457702637,0.7338413596153259,0.7349069118499756
