rank,edge_id,src,dst,R_ij,w_norm,severity,P_level,C_level,RiskLevel
1,1288,3475,3491,0.8708488345146179,1.0,7.09594202041626,5,8,40
2,2148,3208,3862,0.851944088935852,1.0,6.963608741760254,5,7,35
3,3297,3208,3873,0.851944088935852,1.0,6.963608741760254,5,7,35
4,5170,3300,4627,0.8469544649124146,1.0,6.928681373596191,5,7,35
5,2930,3244,3300,0.8469544649124146,1.0,6.928681373596191,5,7,35
6,3173,3335,3861,0.8456377983093262,1.0,6.919464588165283,5,7,35
7,2177,3335,4325,0.8456377983093262,1.0,6.919464588165283,5,7,35
8,3636,3335,3804,0.8456377983093262,1.0,6.919464588165283,5,7,35
9,2115,3116,3335,0.8456377983093262,1.0,6.919464588165283,5,7,35
10,2174,3335,3866,0.8456377983093262,1.0,6.919464588165283,5,7,35
11,1048,3198,3693,0.819318950176239,1.0,6.735232830047607,5,7,35
12,1009,3198,3771,0.819318950176239,1.0,6.735232830047607,5,7,35
13,3726,3448,4028,0.8066446185112,1.0,6.646512508392334,5,7,35
14,2861,3448,3858,0.8066446185112,1.0,6.646512508392334,5,7,35
15,2864,3448,4503,0.8066446185112,1.0,6.646512508392334,5,7,35
16,2872,3347,3448,0.8066446185112,1.0,6.646512508392334,5,7,35
17,3724,3448,4271,0.8066446185112,1.0,6.646512508392334,5,7,35
18,237,3487,3488,0.8010707497596741,1.0,6.607495307922363,5,7,35
19,4055,4357,4563,0.7734896540641785,1.0,6.414427757263184,5,7,35
20,4345,3652,4357,0.7734896540641785,1.0,6.414427757263184,5,7,35
