edge_id,src,dst,w_raw,w_norm,severity,severity_norm_mean,severity_norm,R_ij,P_level,C_level,RiskLevel
0,3494,3574,0.0,0.009999999776482582,2.5035972595214844,0.21479961276054382,0.21479961276054382,0.002147996099665761,1,3,3
1,0,3494,0.0,0.009999999776482582,2.1542108058929443,0.16488726437091827,0.16488726437091827,0.0016488726250827312,1,3,3
2,0,3780,0.0,0.009999999776482582,3.5128750801086426,0.3589821457862854,0.3589821457862854,0.003589821280911565,1,4,4
3,1,3780,0.0,0.009999999776482582,3.5128750801086426,0.3589821457862854,0.3589821457862854,0.003589821280911565,1,4,4
4,1,3494,0.0,0.009999999776482582,2.0435171127319336,0.14907386898994446,0.14907386898994446,0.001490738708525896,1,3,3
5,3494,3780,0.9999998807907104,0.9999998807907104,3.5128750801086426,0.3589821457862854,0.3589821457862854,0.358982115983963,5,4,20
6,2,3573,0.0,0.009999999776482582,2.152895927429199,0.16469942033290863,0.16469942033290863,0.0016469941474497318,1,3,3
7,2,3494,0.0,0.009999999776482582,2.0435171127319336,0.14907386898994446,0.14907386898994446,0.001490738708525896,1,3,3
8,3,4,0.0,0.009999999776482582,1.1567564010620117,0.02239377237856388,0.02239377237856388,0.00022393772087525576,1,2,2
9,4,5,0.0,0.009999999776482582,1.3986974954605103,0.056956786662340164,0.056956786662340164,0.0005695678410120308,1,2,2
10,5,6,0.0,0.009999999776482582,1.3986974954605103,0.056956786662340164,0.056956786662340164,0.0005695678410120308,1,2,2
11,7,3780,0.0,0.009999999776482582,3.5128750801086426,0.3589821457862854,0.3589821457862854,0.003589821280911565,1,4,4
12,7,3494,0.0,0.009999999776482582,2.17140531539917,0.1673436164855957,0.1673436164855957,0.0016734361415728927,1,3,3
13,8,3497,0.0,0.009999999776482582,1.0416719913482666,0.005953141488134861,0.005953141488134861,5.953141226200387e-05,1,2,2
14,8,9,0.0,0.009999999776482582,1.0310022830963135,0.0044288975186645985,0.0044288975186645985,4.4288975914241746e-05,1,2,2
15,9,10,0.0,0.009999999776482582,1.0310022830963135,0.0044288975186645985,0.0044288975186645985,4.4288975914241746e-05,1,2,2
16,10,3497,0.0,0.009999999776482582,1.0416719913482666,0.005953141488134861,0.005953141488134861,5.953141226200387e-05,1,2,2
17,11,3782,0.0,0.009999999776482582,1.3553216457366943,0.050760235637426376,0.050760235637426376,0.0005076023517176509,1,2,2
18,11,12,0.0,0.009999999776482582,1.8209326267242432,0.11727608740329742,0.11727608740329742,0.0011727608507499099,1,2,2
19,12,13,0.0,0.009999999776482582,1.8209326267242432,0.11727608740329742,0.11727608740329742,0.0011727608507499099,1,2,2
20,13,14,0.0,0.009999999776482582,1.6641192436218262,0.09487418085336685,0.09487418085336685,0.0009487417992204428,1,2,2
21,14,15,0.0,0.009999999776482582,1.567492961883545,0.0810704231262207,0.0810704231262207,0.000810704194009304,1,2,2
22,16,17,0.0,0.009999999776482582,1.5360023975372314,0.07657177001237869,0.07657177001237869,0.0007657177047803998,1,2,2
23,17,3181,0.0,0.009999999776482582,1.5360023975372314,0.07657177001237869,0.07657177001237869,0.0007657177047803998,1,2,2
24,18,3181,0.0,0.009999999776482582,2.1976709365844727,0.1710958480834961,0.1710958480834961,0.0017109584296122193,1,3,3
25,19,3181,0.0,0.009999999776482582,1.4448201656341553,0.06354574114084244,0.06354574114084244,0.0006354573997668922,1,2,2
26,19,20,0.0,0.009999999776482582,1.4448201656341553,0.06354574114084244,0.06354574114084244,0.0006354573997668922,1,2,2
27,20,3784,0.0,0.009999999776482582,1.0469890832901,0.006712726317346096,0.006712726317346096,6.712726462865248e-05,1,2,2
28,21,3784,0.0,0.009999999776482582,1.086204171180725,0.012314881198108196,0.012314881198108196,0.00012314881314523518,1,2,2
29,21,22,0.0,0.009999999776482582,1.5279251337051392,0.07541787624359131,0.07541787624359131,0.0007541787344962358,1,2,2
30,22,23,0.0,0.009999999776482582,1.5279251337051392,0.07541787624359131,0.07541787624359131,0.0007541787344962358,1,2,2
31,24,25,0.0,0.009999999776482582,1.3541978597640991,0.05059969425201416,0.05059969425201416,0.0005059969262219965,1,2,2
32,25,26,0.0,0.009999999776482582,1.3541978597640991,0.05059969425201416,0.05059969425201416,0.0005059969262219965,1,2,2
33,26,3497,0.0,0.009999999776482582,1.0437372922897339,0.006248184479773045,0.006248184479773045,6.24818421783857e-05,1,2,2
34,4838,4839,0.9999998807907104,0.9999998807907104,2.453866720199585,0.20769524574279785,0.20769524574279785,0.20769521594047546,5,3,15
35,3785,4838,0.0,0.009999999776482582,2.453866720199585,0.20769524574279785,0.20769524574279785,0.0020769524853676558,1,3,3
36,3785,4839,0.0,0.009999999776482582,2.397461414337158,0.19963733851909637,0.19963733851909637,0.0019963732920587063,1,3,3
37,3495,4839,0.5,0.5049999952316284,2.409919023513794,0.2014169991016388,0.2014169991016388,0.101715587079525,5,3,15
38,4838,4840,0.5,0.5049999952316284,2.453866720199585,0.20769524574279785,0.20769524574279785,0.10488609969615936,5,3,15
39,4839,4840,0.0,0.009999999776482582,2.397461414337158,0.19963733851909637,0.19963733851909637,0.0019963732920587063,1,3,3
