rank,node_id,label,pred_label,S_i,S_i_norm,P_high
1,3475,8,8,7.621888637542725,0.9459840655326843,0.9570579528808594
2,3721,8,8,7.332988262176514,0.9047126173973083,0.8988791108131409
3,2412,0,8,7.133496284484863,0.8762137293815613,0.9272881746292114
4,2910,0,8,7.074240684509277,0.8677486777305603,0.8607978820800781
5,3208,7,7,6.9901123046875,0.8557303547859192,0.9987951517105103
6,3335,7,7,6.986644744873047,0.8552349805831909,0.9910428524017334
7,3367,0,7,6.976834297180176,0.8538334965705872,0.9977825880050659
8,3300,7,7,6.946481704711914,0.849497377872467,0.9870065450668335
9,4357,7,7,6.934439182281494,0.8477770090103149,0.9258630871772766
10,3250,0,7,6.837817192077637,0.8339738845825195,0.9841051697731018
11,3487,8,8,6.823624134063721,0.8319463133811951,0.8282002210617065
12,3780,7,7,6.806323051452637,0.8294747471809387,0.9525205492973328
13,4091,7,7,6.666383266448975,0.8094833493232727,0.9259596467018127
14,3410,7,7,6.617305755615234,0.8024722337722778,0.8970066905021667
15,3100,0,7,6.612044811248779,0.8017206788063049,0.930220901966095
16,3901,7,7,6.481418132781982,0.7830597162246704,0.8363826870918274
17,3448,7,7,6.44586706161499,0.7779809832572937,0.8729625940322876
18,4034,0,8,6.365169525146484,0.7664527893066406,0.7937631607055664
19,3308,0,7,6.0883331298828125,0.7269047498703003,0.8012104034423828
20,3299,1,7,6.049263954162598,0.7213234305381775,0.7622616291046143
