rank,edge_id,src,dst,R_ij,w_norm,severity,P_level,C_level,RiskLevel
1,1288,3475,3491,0.8870566487312317,1.0,7.2093963623046875,5,8,40
2,2174,3335,3866,0.8817405104637146,1.0,7.172183513641357,5,8,40
3,2177,3335,4325,0.8817405104637146,1.0,7.172183513641357,5,8,40
4,3636,3335,3804,0.8817405104637146,1.0,7.172183513641357,5,8,40
5,2115,3116,3335,0.8817405104637146,1.0,7.172183513641357,5,8,40
6,3173,3335,3861,0.8817405104637146,1.0,7.172183513641357,5,8,40
7,3297,3208,3873,0.8647472262382507,1.0,7.0532307624816895,5,8,40
8,2148,3208,3862,0.8647472262382507,1.0,7.0532307624816895,5,8,40
9,5170,3300,4627,0.8518892526626587,1.0,6.9632248878479,5,7,35
10,2930,3244,3300,0.8518892526626587,1.0,6.9632248878479,5,7,35
11,237,3487,3488,0.8327478170394897,1.0,6.829234600067139,5,7,35
12,2861,3448,3858,0.829167902469635,1.0,6.80417537689209,5,7,35
13,2864,3448,4503,0.829167902469635,1.0,6.80417537689209,5,7,35
14,2872,3347,3448,0.829167902469635,1.0,6.80417537689209,5,7,35
15,3724,3448,4271,0.829167902469635,1.0,6.80417537689209,5,7,35
16,3726,3448,4028,0.829167902469635,1.0,6.80417537689209,5,7,35
17,1082,3100,4381,0.8048586845397949,1.0,6.6340107917785645,5,7,35
18,4647,3100,4199,0.8048586845397949,1.0,6.6340107917785645,5,7,35
19,1001,3100,3771,0.8048586845397949,1.0,6.6340107917785645,5,7,35
20,999,3100,3684,0.8048586845397949,1.0,6.6340107917785645,5,7,35
