rank,edge_id,src,dst,R_ij,w_norm,severity,P_level,C_level,RiskLevel
1,372,3477,3862,0.8568229079246521,0.9999998807907104,6.997761249542236,5,7,35
2,451,3477,3873,0.8568229079246521,0.9999998807907104,6.997761249542236,5,7,35
3,2373,3477,4202,0.8568229079246521,0.9999998807907104,6.997761249542236,5,7,35
4,6058,3777,4260,0.8531010746955872,0.9999998807907104,6.971708297729492,5,7,35
5,1040,3777,4886,0.8531010746955872,0.9999998807907104,6.971708297729492,5,7,35
6,837,3739,3777,0.8531010746955872,0.9999998807907104,6.971708297729492,5,7,35
7,6056,3777,4238,0.8531010746955872,0.9999998807907104,6.971708297729492,5,7,35
8,4165,4485,5102,0.8519816994667053,0.9999998807907104,6.963872909545898,5,7,35
9,4170,4485,4620,0.8519816994667053,0.9999998807907104,6.963872909545898,5,7,35
10,2288,3701,4144,0.7991513013839722,0.9999998807907104,6.594059944152832,5,7,35
11,2286,3701,4109,0.7991513013839722,0.9999998807907104,6.594059944152832,5,7,35
12,3070,3721,5029,0.7176993489265442,0.9999998807907104,6.023895740509033,5,7,35
13,3079,3794,4113,0.7143515944480896,0.9999998807907104,6.000461578369141,5,7,35
14,3080,3794,4369,0.7143515944480896,0.9999998807907104,6.000461578369141,5,7,35
15,3077,3794,4699,0.7143515944480896,0.9999998807907104,6.000461578369141,5,7,35
16,2111,3651,4815,0.700286865234375,0.9999998807907104,5.902008533477783,5,6,30
17,2124,3651,4687,0.700286865234375,0.9999998807907104,5.902008533477783,5,6,30
18,2115,3651,4265,0.700286865234375,0.9999998807907104,5.902008533477783,5,6,30
19,1639,3698,4158,0.6774958968162537,0.9999998807907104,5.742471694946289,5,6,30
20,3060,5028,5029,0.6419957876205444,0.9999998807907104,5.49397087097168,5,6,30
