edge_id,src,dst,w_raw,w_norm,severity,severity_norm,R_ij,P_level,C_level,RiskLevel
0,3494,3574,0.0,0.009999999776482582,3.749222755432129,0.39274612069129944,0.003927461337298155,1,4,4
1,0,3494,0.0,0.009999999776482582,2.4008302688598633,0.20011861622333527,0.0020011861342936754,1,3,3
2,0,3780,0.0,0.009999999776482582,3.596971035003662,0.3709958493709564,0.0037099584005773067,1,4,4
3,1,3780,0.0,0.009999999776482582,3.596971035003662,0.3709958493709564,0.0037099584005773067,1,4,4
4,1,3494,0.0,0.009999999776482582,2.897808790206909,0.2711155414581299,0.002711155451834202,1,3,3
5,3494,3780,0.9999998807907104,0.9999998807907104,3.596971035003662,0.3709958493709564,0.37099581956863403,5,4,20
6,2,3573,0.0,0.009999999776482582,2.6877870559692383,0.24111244082450867,0.0024111242964863777,1,3,3
7,2,3494,0.0,0.009999999776482582,2.6877870559692383,0.24111244082450867,0.0024111242964863777,1,3,3
8,3,4,0.0,0.009999999776482582,1.879865050315857,0.12569500505924225,0.0012569499667733908,1,2,2
9,4,5,0.0,0.009999999776482582,1.539717674255371,0.07710252702236176,0.0007710252539254725,1,2,2
10,5,6,0.0,0.009999999776482582,1.814300775527954,0.11632867902517319,0.0011632867390289903,1,2,2
11,7,3780,0.0,0.009999999776482582,3.596971035003662,0.3709958493709564,0.0037099584005773067,1,4,4
12,7,3494,0.0,0.009999999776482582,3.321732521057129,0.33167606592178345,0.003316760528832674,1,4,4
13,8,3497,0.0,0.009999999776482582,1.3658066987991333,0.05225810036063194,0.0005225809873081744,1,2,2
14,8,9,0.0,0.009999999776482582,1.028641939163208,0.004091705661267042,4.091705704922788e-05,1,2,2
15,9,10,0.0,0.009999999776482582,1.9278788566589355,0.13255412876605988,0.0013255412923172116,1,2,2
16,10,3497,0.0,0.009999999776482582,1.9278788566589355,0.13255412876605988,0.0013255412923172116,1,2,2
17,11,3782,0.0,0.009999999776482582,1.1609927415847778,0.022998962551355362,0.00022998961503617465,1,2,2
18,11,12,0.0,0.009999999776482582,1.1609927415847778,0.022998962551355362,0.00022998961503617465,1,2,2
19,12,13,0.0,0.009999999776482582,1.1962776184082031,0.028039660304784775,0.0002803966053761542,1,2,2
20,13,14,0.0,0.009999999776482582,1.587026596069336,0.08386094123125076,0.0008386094123125076,1,2,2
21,14,15,0.0,0.009999999776482582,1.6257765293121338,0.0893966481089592,0.0008939664694480598,1,2,2
22,16,17,0.0,0.009999999776482582,1.0948997735977173,0.013557110913097858,0.00013557109923567623,1,2,2
23,17,3181,0.0,0.009999999776482582,1.1034390926361084,0.014777013100683689,0.00014777012984268367,1,2,2
24,18,3181,0.0,0.009999999776482582,1.1514655351638794,0.02163793332874775,0.00021637932513840497,1,2,2
25,19,3181,0.0,0.009999999776482582,1.113978385925293,0.01628262735903263,0.00016282626893371344,1,2,2
26,19,20,0.0,0.009999999776482582,1.113978385925293,0.01628262735903263,0.00016282626893371344,1,2,2
27,20,3784,0.0,0.009999999776482582,1.1045539379119873,0.014936276711523533,0.00014936276420485228,1,2,2
28,21,3784,0.0,0.009999999776482582,1.16810941696167,0.024015631526708603,0.00024015631061047316,1,2,2
29,21,22,0.0,0.009999999776482582,1.2449434995651245,0.034991927444934845,0.0003499192534945905,1,2,2
30,22,23,0.0,0.009999999776482582,1.6196932792663574,0.088527612388134,0.00088527612388134,1,2,2
31,24,25,0.0,0.009999999776482582,1.0652332305908203,0.009319032542407513,9.319032687926665e-05,1,2,2
32,25,26,0.0,0.009999999776482582,1.2631349563598633,0.03759070858359337,0.00037590708234347403,1,2,2
33,26,3497,0.0,0.009999999776482582,1.3658066987991333,0.05225810036063194,0.0005225809873081744,1,2,2
34,4838,4839,0.9999998807907104,0.9999998807907104,2.5891990661621094,0.22702844440937042,0.22702841460704803,5,3,15
35,3785,4838,0.0,0.009999999776482582,2.5891990661621094,0.22702844440937042,0.002270284341648221,1,3,3
