rank,node_id,label,pred_label,S_i,S_i_norm,P_high
1,3637,8,8,7.79862117767334,0.9712315797805786,0.966582179069519
2,4198,8,8,7.467360496520996,0.9239086508750916,0.9096012711524963
3,4436,8,8,7.466281890869141,0.9237545728683472,0.9026110172271729
4,4315,8,8,7.265773773193359,0.895110547542572,0.8934219479560852
5,4627,8,8,7.249270915985107,0.892753005027771,0.8824697732925415
6,2794,0,7,7.014647960662842,0.859235405921936,0.9995725154876709
7,3477,0,7,6.998415946960449,0.8569165468215942,0.9996538162231445
8,5157,7,7,6.995898246765137,0.8565568923950195,0.9992525577545166
9,3901,0,7,6.994558334350586,0.8563655018806458,0.999474048614502
10,3593,0,7,6.990904331207275,0.8558434844017029,0.9999673366546631
11,3777,7,7,6.987558364868164,0.8553654551506042,0.9950361847877502
12,4485,7,7,6.95550012588501,0.8507857322692871,0.9927095770835876
13,3794,7,7,6.891262531280518,0.8416089415550232,0.9615296721458435
14,3636,7,7,6.474644660949707,0.7820920944213867,0.8768114447593689
15,4370,6,7,6.3054938316345215,0.7579277157783508,0.8404817581176758
16,3651,7,7,6.278538703918457,0.7540769577026367,0.8534803986549377
17,5028,0,8,6.2291340827941895,0.7470191717147827,0.7309713363647461
18,3701,0,8,6.204289436340332,0.7434698939323425,0.6611747741699219
19,4437,0,8,5.978612422943115,0.7112303376197815,0.6804494857788086
20,4158,1,7,5.974944114685059,0.7107062935829163,0.8124569654464722
