rank,node_id,label,pred_label,S_i,S_i_norm,P_high
1,3208,7,7,6.99482536315918,0.856403648853302,0.9992101192474365
2,3300,7,7,6.942983150482178,0.8489975929260254,0.986604630947113
3,3250,0,7,6.806457996368408,0.8294939994812012,0.9699401259422302
4,3335,7,7,6.652296543121338,0.8074709177017212,0.9106996059417725
5,3410,7,7,6.493830680847168,0.7848329544067383,0.8798604011535645
6,3439,0,7,6.312341690063477,0.7589059472084045,0.8135390281677246
7,3487,8,7,6.280515670776367,0.7543593645095825,0.7605020999908447
8,3901,7,7,6.261124610900879,0.7515892386436462,0.7944167852401733
9,3475,8,7,6.206369400024414,0.7437670826911926,0.7349656820297241
10,878,0,7,6.109400749206543,0.7299143671989441,0.686148464679718
11,4091,7,7,5.994080543518066,0.7134400606155396,0.8049504160881042
12,4357,7,7,5.928872108459473,0.7041245698928833,0.7342048287391663
13,3448,7,7,5.852539539337158,0.6932199597358704,0.7486361861228943
14,3225,3,7,5.767051696777344,0.6810073852539062,0.692925214767456
15,3136,6,6,5.688018798828125,0.6697169542312622,0.8039959073066711
16,3299,1,7,5.579505443572998,0.6542150378227234,0.6728484034538269
17,4132,6,7,5.557833194732666,0.6511190533638,0.6513192057609558
18,3138,7,7,5.413696765899658,0.6305280923843384,0.6346288919448853
19,3649,1,7,5.363397598266602,0.6233425140380859,0.601520299911499
20,4180,0,7,5.2646636962890625,0.6092376708984375,0.5827414989471436
