rank,edge_id,src,dst,R_ij,w_norm,severity,P_level,C_level,RiskLevel
1,2174,3335,3866,0.8456341624259949,1.0,6.919439315795898,5,7,35
2,2115,3116,3335,0.8456341624259949,1.0,6.919439315795898,5,7,35
3,3636,3335,3804,0.8456341624259949,1.0,6.919439315795898,5,7,35
4,2177,3335,4325,0.8456341624259949,1.0,6.919439315795898,5,7,35
5,3173,3335,3861,0.8456341624259949,1.0,6.919439315795898,5,7,35
6,1288,3475,3491,0.8341953158378601,1.0,6.839367389678955,5,7,35
7,4232,3225,4086,0.819823145866394,1.0,6.738761901855469,5,7,35
8,3297,3208,3873,0.7884822487831116,1.0,6.519375801086426,5,7,35
9,2148,3208,3862,0.7884822487831116,1.0,6.519375801086426,5,7,35
10,2930,3244,3300,0.7713616490364075,1.0,6.399531364440918,5,7,35
11,5170,3300,4627,0.7713616490364075,1.0,6.399531364440918,5,7,35
12,2080,3143,3252,0.7705088257789612,1.0,6.393561840057373,5,7,35
13,2078,3252,3958,0.7705088257789612,1.0,6.393561840057373,5,7,35
14,2843,3221,4173,0.7183718085289001,1.0,6.028602600097656,5,7,35
15,4055,4357,4563,0.6994178891181946,1.0,5.895925045013428,5,6,30
16,4053,4357,4562,0.6994178891181946,1.0,5.895925045013428,5,6,30
17,4347,4357,4589,0.6994178891181946,1.0,5.895925045013428,5,6,30
18,4345,3652,4357,0.6994178891181946,1.0,5.895925045013428,5,6,30
19,1237,3649,3727,0.671467661857605,1.0,5.700273513793945,5,6,30
20,2922,4258,4505,0.6420860290527344,1.0,5.494602203369141,5,6,30
