rank,edge_id,src,dst,R_ij,w_norm,severity,P_level,C_level,RiskLevel
1,1288,3475,3491,0.8935714364051819,1.0,7.255000114440918,5,8,40
2,3173,3335,3861,0.8882684707641602,1.0,7.217879295349121,5,8,40
3,2177,3335,4325,0.8882684707641602,1.0,7.217879295349121,5,8,40
4,2174,3335,3866,0.8882684707641602,1.0,7.217879295349121,5,8,40
5,2115,3116,3335,0.8882684707641602,1.0,7.217879295349121,5,8,40
6,3636,3335,3804,0.8882684707641602,1.0,7.217879295349121,5,8,40
7,1009,3198,3771,0.8680438995361328,1.0,7.07630729675293,5,8,40
8,1048,3198,3693,0.8680438995361328,1.0,7.07630729675293,5,8,40
9,1002,3100,3685,0.8627251386642456,1.0,7.03907585144043,5,8,40
10,1082,3100,4381,0.8627251386642456,1.0,7.03907585144043,5,8,40
11,1069,3100,3698,0.8627251386642456,1.0,7.03907585144043,5,8,40
12,999,3100,3684,0.8627251386642456,1.0,7.03907585144043,5,8,40
13,1001,3100,3771,0.8627251386642456,1.0,7.03907585144043,5,8,40
14,4647,3100,4199,0.8627251386642456,1.0,7.03907585144043,5,8,40
15,3297,3208,3873,0.8584011197090149,1.0,7.00880765914917,5,8,40
16,2148,3208,3862,0.8584011197090149,1.0,7.00880765914917,5,8,40
17,2930,3244,3300,0.8538676500320435,1.0,6.977073669433594,5,7,35
18,5170,3300,4627,0.8538676500320435,1.0,6.977073669433594,5,7,35
19,2861,3448,3858,0.8501341938972473,1.0,6.950939178466797,5,7,35
20,2872,3347,3448,0.8501341938972473,1.0,6.950939178466797,5,7,35
