rank,node_id,label,pred_label,S_i,S_i_norm,P_high
1,4436,8,8,7.553414344787598,0.9362020492553711,0.9429982900619507
2,4198,8,8,7.468127727508545,0.9240182638168335,0.9205771088600159
3,4389,8,8,7.172903060913086,0.8818432688713074,0.9319947361946106
4,89,0,7,7.106778621673584,0.8723969459533691,0.9841201901435852
5,3901,0,7,7.040088653564453,0.8628697991371155,0.9994404911994934
6,3794,7,7,7.020826816558838,0.8601180911064148,0.9861017465591431
7,3593,0,7,7.006779193878174,0.8581113219261169,1.0
8,2794,0,7,7.0049147605896,0.8578449487686157,0.999987781047821
9,3477,0,7,7.000215530395508,0.8571736216545105,0.9990928173065186
10,5157,7,7,6.999383449554443,0.8570547699928284,0.9999164342880249
11,3777,7,7,6.921082496643066,0.8458689451217651,0.8808324933052063
12,4485,7,7,6.91630220413208,0.8451860547065735,0.9822675585746765
13,4813,1,7,6.8678507804870605,0.8382644057273865,0.8996692299842834
14,4145,8,8,6.806217670440674,0.8294596672058105,0.8683453798294067
15,3721,1,7,6.786913871765137,0.8267019987106323,0.9323804378509521
16,3651,7,7,6.7387895584106445,0.8198270797729492,0.936247706413269
17,3458,7,7,6.701568603515625,0.8145098090171814,0.9527385234832764
18,3636,7,7,6.669436931610107,0.809919536113739,0.8958594799041748
19,4394,0,8,6.606046199798584,0.8008637428283691,0.7770601511001587
20,4370,6,8,6.44962739944458,0.7785181999206543,0.7717682123184204
