rank,edge_id,src,dst,R_ij,w_norm,severity,P_level,C_level,RiskLevel
1,2373,3477,4202,0.8576555848121643,0.9999998807907104,7.003590106964111,5,8,40
2,451,3477,3873,0.8576555848121643,0.9999998807907104,7.003590106964111,5,8,40
3,372,3477,3862,0.8576555848121643,0.9999998807907104,7.003590106964111,5,8,40
4,6056,3777,4238,0.8515586853027344,0.9999998807907104,6.960911750793457,5,7,35
5,6058,3777,4260,0.8515586853027344,0.9999998807907104,6.960911750793457,5,7,35
6,1040,3777,4886,0.8515586853027344,0.9999998807907104,6.960911750793457,5,7,35
7,837,3739,3777,0.8515586853027344,0.9999998807907104,6.960911750793457,5,7,35
8,6602,3584,5220,0.7326372861862183,0.9999998807907104,6.1284613609313965,5,7,35
9,4246,3584,5118,0.7326372861862183,0.9999998807907104,6.1284613609313965,5,7,35
10,4384,3584,4426,0.7326372861862183,0.9999998807907104,6.1284613609313965,5,7,35
11,5487,3584,4470,0.7326372861862183,0.9999998807907104,6.1284613609313965,5,7,35
12,2904,3584,4613,0.7326372861862183,0.9999998807907104,6.1284613609313965,5,7,35
13,3070,3721,5029,0.6659184694290161,0.9999998807907104,5.6614298820495605,5,6,30
14,4165,4485,5102,0.6465368270874023,0.9999998807907104,5.525758266448975,5,6,30
15,4170,4485,4620,0.6465368270874023,0.9999998807907104,5.525758266448975,5,6,30
16,1657,3816,4057,0.6445890665054321,0.9999998807907104,5.512124061584473,5,6,30
17,1822,3816,4211,0.6445890665054321,0.9999998807907104,5.512124061584473,5,6,30
18,5725,3816,5188,0.6445890665054321,0.9999998807907104,5.512124061584473,5,6,30
19,5483,3816,3870,0.6445890665054321,0.9999998807907104,5.512124061584473,5,6,30
20,1647,3816,4213,0.6445890665054321,0.9999998807907104,5.512124061584473,5,6,30
