rank,node_id,label,pred_label,S_i,S_i_norm,P_high
1,3208,7,7,7.051211357116699,0.8644587397575378,0.994017481803894
2,3335,7,7,7.0399394035339355,0.8628484606742859,0.9850577712059021
3,3300,7,7,6.936397075653076,0.8480567336082458,0.9638429284095764
4,3100,0,7,6.826318740844727,0.8323312401771545,0.9283914566040039
5,3367,0,7,6.737339496612549,0.8196199536323547,0.9075705409049988
6,3475,8,7,6.735729694366455,0.8193899393081665,0.9040815830230713
7,3250,0,7,6.613546371459961,0.8019351959228516,0.883490264415741
8,3308,0,7,6.485235214233398,0.7836050391197205,0.8530572652816772
9,3198,7,7,6.470755577087402,0.7815365195274353,0.8505260944366455
10,3287,0,7,6.455232620239258,0.7793189287185669,0.8569452166557312
11,3448,7,7,5.924552917480469,0.7035075426101685,0.7334023714065552
12,3487,8,7,5.657960891723633,0.6654229760169983,0.666056752204895
13,3497,7,7,5.578684329986572,0.6540977358818054,0.6552700400352478
14,4258,4,7,5.571722030639648,0.6531031727790833,0.6604053974151611
15,3138,7,7,5.500027179718018,0.642861008644104,0.638367772102356
16,3901,7,7,5.459511756896973,0.6370730996131897,0.6379929780960083
17,3537,8,7,5.376191139221191,0.6251701712608337,0.6180718541145325
18,3646,4,7,5.29134464263916,0.6130492091178894,0.6116469502449036
19,4132,6,7,5.194517135620117,0.5992167592048645,0.5723780989646912
20,4091,7,7,5.19343376159668,0.5990619659423828,0.5829954147338867
