rank,edge_id,src,dst,R_ij,w_norm,severity,P_level,C_level,RiskLevel
1,2930,3244,3300,0.8550549149513245,1.0,6.985384464263916,5,7,35
2,5170,3300,4627,0.8550549149513245,1.0,6.985384464263916,5,7,35
3,2174,3335,3866,0.850096583366394,1.0,6.950675964355469,5,7,35
4,2115,3116,3335,0.850096583366394,1.0,6.950675964355469,5,7,35
5,3173,3335,3861,0.850096583366394,1.0,6.950675964355469,5,7,35
6,3636,3335,3804,0.850096583366394,1.0,6.950675964355469,5,7,35
7,2177,3335,4325,0.850096583366394,1.0,6.950675964355469,5,7,35
8,3297,3208,3873,0.8476872444152832,1.0,6.933810710906982,5,7,35
9,2148,3208,3862,0.8476872444152832,1.0,6.933810710906982,5,7,35
10,1069,3100,3698,0.8013664484024048,1.0,6.609565258026123,5,7,35
11,1082,3100,4381,0.8013664484024048,1.0,6.609565258026123,5,7,35
12,999,3100,3684,0.8013664484024048,1.0,6.609565258026123,5,7,35
13,1001,3100,3771,0.8013664484024048,1.0,6.609565258026123,5,7,35
14,1002,3100,3685,0.8013664484024048,1.0,6.609565258026123,5,7,35
15,4647,3100,4199,0.8013664484024048,1.0,6.609565258026123,5,7,35
16,1009,3198,3771,0.7868677377700806,1.0,6.5080742835998535,5,7,35
17,1048,3198,3693,0.7868677377700806,1.0,6.5080742835998535,5,7,35
18,3552,3999,4258,0.7763593792915344,1.0,6.434515476226807,5,7,35
19,2922,4258,4505,0.7763593792915344,1.0,6.434515476226807,5,7,35
20,2919,4008,4258,0.7763593792915344,1.0,6.434515476226807,5,7,35
