edge_id,src,dst,w_raw,w_norm,severity,severity_norm_mean,severity_norm,R_ij,P_level,C_level,RiskLevel
0,3494,3574,0.0,0.009999999776482582,2.6365737915039062,0.23379625380039215,0.23379625380039215,0.0023379623889923096,1,3,3
1,0,3494,0.0,0.009999999776482582,1.8370890617370605,0.11958415061235428,0.11958415061235428,0.0011958414688706398,1,2,2
2,0,3780,0.0,0.009999999776482582,3.2229223251342773,0.3175603449344635,0.3175603449344635,0.0031756034586578608,1,4,4
3,1,3780,0.0,0.009999999776482582,3.2229223251342773,0.3175603449344635,0.3175603449344635,0.0031756034586578608,1,4,4
4,1,3494,0.0,0.009999999776482582,2.3374762535095215,0.19106803834438324,0.19106803834438324,0.001910680322907865,1,3,3
5,3494,3780,0.9999998807907104,0.9999998807907104,3.2229223251342773,0.3175603449344635,0.3175603449344635,0.3175603151321411,5,4,20
6,2,3573,0.0,0.009999999776482582,3.058135986328125,0.2940194308757782,0.2940194308757782,0.0029401942156255245,1,4,4
7,2,3494,0.0,0.009999999776482582,3.058135986328125,0.2940194308757782,0.2940194308757782,0.0029401942156255245,1,4,4
8,3,4,0.0,0.009999999776482582,1.8868131637573242,0.12668760120868683,0.12668760120868683,0.0012668760027736425,1,2,2
9,4,5,0.0,0.009999999776482582,1.8868131637573242,0.12668760120868683,0.12668760120868683,0.0012668760027736425,1,2,2
10,5,6,0.0,0.009999999776482582,3.0519838333129883,0.29314056038856506,0.29314056038856506,0.002931405557319522,1,4,4
11,7,3780,0.0,0.009999999776482582,3.2229223251342773,0.3175603449344635,0.3175603449344635,0.0031756034586578608,1,4,4
12,7,3494,0.0,0.009999999776482582,3.1969079971313477,0.3138439953327179,0.3138439953327179,0.0031384399626404047,1,4,4
13,8,3497,0.0,0.009999999776482582,1.8667235374450684,0.12381764501333237,0.12381764501333237,0.001238176366314292,1,2,2
14,8,9,0.0,0.009999999776482582,2.119227886199951,0.15988969802856445,0.15988969802856445,0.00159889692440629,1,3,3
15,9,10,0.0,0.009999999776482582,2.119227886199951,0.15988969802856445,0.15988969802856445,0.00159889692440629,1,3,3
16,10,3497,0.0,0.009999999776482582,1.9891064167022705,0.14130091667175293,0.14130091667175293,0.0014130091294646263,1,2,2
17,11,3782,0.0,0.009999999776482582,2.15985107421875,0.1656930148601532,0.1656930148601532,0.0016569300787523389,1,3,3
18,11,12,0.0,0.009999999776482582,2.15985107421875,0.1656930148601532,0.1656930148601532,0.0016569300787523389,1,3,3
19,12,13,0.0,0.009999999776482582,1.7031712532043457,0.10045303404331207,0.10045303404331207,0.0010045303497463465,1,2,2
20,13,14,0.0,0.009999999776482582,2.0838589668273926,0.1548369973897934,0.1548369973897934,0.0015483699971809983,1,3,3
21,14,15,0.0,0.009999999776482582,2.0838589668273926,0.1548369973897934,0.1548369973897934,0.0015483699971809983,1,3,3
22,16,17,0.0,0.009999999776482582,2.1415395736694336,0.16307708621025085,0.16307708621025085,0.0016307708574458957,1,3,3
23,17,3181,0.0,0.009999999776482582,2.1415395736694336,0.16307708621025085,0.16307708621025085,0.0016307708574458957,1,3,3
24,18,3181,0.0,0.009999999776482582,1.9303158521652222,0.13290226459503174,0.13290226459503174,0.0013290225761011243,1,2,2
25,19,3181,0.0,0.009999999776482582,2.0202150344848633,0.14574500918388367,0.14574500918388367,0.0014574500964954495,1,3,3
26,19,20,0.0,0.009999999776482582,2.0202150344848633,0.14574500918388367,0.14574500918388367,0.0014574500964954495,1,3,3
27,20,3784,0.0,0.009999999776482582,1.3722944259643555,0.05318491905927658,0.05318491905927658,0.0005318491603247821,1,2,2
28,21,3784,0.0,0.009999999776482582,1.4238648414611816,0.060552120208740234,0.060552120208740234,0.0006055211997590959,1,2,2
29,21,22,0.0,0.009999999776482582,1.4238648414611816,0.060552120208740234,0.060552120208740234,0.0006055211997590959,1,2,2
30,22,23,0.0,0.009999999776482582,2.0607547760009766,0.15153639018535614,0.15153639018535614,0.0015153639251366258,1,3,3
31,24,25,0.0,0.009999999776482582,1.2965320348739624,0.04236171767115593,0.04236171767115593,0.00042361716623418033,1,2,2
32,25,26,0.0,0.009999999776482582,1.2965320348739624,0.04236171767115593,0.04236171767115593,0.00042361716623418033,1,2,2
33,26,3497,0.0,0.009999999776482582,1.8667235374450684,0.12381764501333237,0.12381764501333237,0.001238176366314292,1,2,2
34,4838,4839,0.9999998807907104,0.9999998807907104,2.543529510498047,0.22050420939922333,0.22050420939922333,0.22050417959690094,5,3,15
35,3785,4838,0.0,0.009999999776482582,2.543529510498047,0.22050420939922333,0.22050420939922333,0.0022050419356673956,1,3,3
36,3785,4839,0.0,0.009999999776482582,1.5224905014038086,0.07464150339365005,0.07464150339365005,0.0007464149966835976,1,2,2
37,3495,4839,0.5,0.5049999952316284,3.04203462600708,0.2917192280292511,0.2917192280292511,0.14731821417808533,5,4,20
38,4838,4840,0.5,0.5049999952316284,2.543529510498047,0.22050420939922333,0.22050420939922333,0.11135462671518326,5,3,15
39,4839,4840,0.0,0.009999999776482582,1.924073576927185,0.13201050460338593,0.13201050460338593,0.0013201050460338593,1,2,2
40,27,4839,0.0,0.009999999776482582,1.629483938217163,0.08992628008127213,0.08992628008127213,0.0008992627845145762,1,2,2
41,27,4838,0.0,0.009999999776482582,2.543529510498047,0.22050420939922333,0.22050420939922333,0.0022050419356673956,1,3,3
42,28,3787,0.0,0.009999999776482582,2.103844165802002,0.15769203007221222,0.15769203007221222,0.001576920272782445,1,3,3
43,3182,3787,0.5,0.5049999952316284,2.1089324951171875,0.1584189236164093,0.1584189236164093,0.08000155538320541,5,3,15
44,29,3790,0.0,0.009999999776482582,2.5398497581481934,0.21997854113578796,0.21997854113578796,0.002199785318225622,1,3,3
45,29,30,0.0,0.009999999776482582,1.330461025238037,0.047208718955516815,0.047208718955516815,0.0004720871802419424,1,2,2
46,30,3789,0.0,0.009999999776482582,1.2514060735702515,0.035915154963731766,0.035915154963731766,0.00035915154148824513,1,2,2
47,31,3787,0.0,0.009999999776482582,2.103844165802002,0.15769203007221222,0.15769203007221222,0.001576920272782445,1,3,3
48,32,3787,0.0,0.009999999776482582,2.103844165802002,0.15769203007221222,0.15769203007221222,0.001576920272782445,1,3,3
49,32,3497,0.0,0.009999999776482582,1.8667235374450684,0.12381764501333237,0.12381764501333237,0.001238176366314292,1,2,2
50,33,3497,0.0,0.009999999776482582,1.8667235374450684,0.12381764501333237,0.12381764501333237,0.001238176366314292,1,2,2
