rank,edge_id,src,dst,R_ij,w_norm,severity,P_level,C_level,RiskLevel
1,2373,3477,4202,0.8567444682121277,0.9999998807907104,6.997211933135986,5,7,35
2,451,3477,3873,0.8567444682121277,0.9999998807907104,6.997211933135986,5,7,35
3,372,3477,3862,0.8567444682121277,0.9999998807907104,6.997211933135986,5,7,35
4,6056,3777,4238,0.8563666343688965,0.9999998807907104,6.994567394256592,5,7,35
5,1040,3777,4886,0.8563666343688965,0.9999998807907104,6.994567394256592,5,7,35
6,837,3739,3777,0.8563666343688965,0.9999998807907104,6.994567394256592,5,7,35
7,6058,3777,4260,0.8563666343688965,0.9999998807907104,6.994567394256592,5,7,35
8,4170,4485,4620,0.8529283404350281,0.9999998807907104,6.970499038696289,5,7,35
9,4165,4485,5102,0.8529283404350281,0.9999998807907104,6.970499038696289,5,7,35
10,3079,3794,4113,0.8321642875671387,0.9999998807907104,6.825150966644287,5,7,35
11,3080,3794,4369,0.8321642875671387,0.9999998807907104,6.825150966644287,5,7,35
12,3077,3794,4699,0.8321642875671387,0.9999998807907104,6.825150966644287,5,7,35
13,2286,3701,4109,0.7764072418212891,0.9999998807907104,6.43485164642334,5,7,35
14,2288,3701,4144,0.7764072418212891,0.9999998807907104,6.43485164642334,5,7,35
15,3070,3721,5029,0.7279538512229919,0.9999998807907104,6.095677375793457,5,7,35
16,2111,3651,4815,0.7226673364639282,0.9999998807907104,6.058671951293945,5,7,35
17,2115,3651,4265,0.7226673364639282,0.9999998807907104,6.058671951293945,5,7,35
18,2124,3651,4687,0.7226673364639282,0.9999998807907104,6.058671951293945,5,7,35
19,1639,3698,4158,0.6960276365280151,0.9999998807907104,5.872193813323975,5,6,30
20,4384,3584,4426,0.6694926023483276,0.9999998807907104,5.686448574066162,5,6,30
