rank,node_id,label,pred_label,S_i,S_i_norm,P_high
1,4198,8,8,7.990288257598877,0.9986125826835632,0.9994308948516846
2,4436,8,8,7.983112335205078,0.9975875020027161,0.9977802634239197
3,4627,8,8,7.979231357574463,0.9970330595970154,0.999582827091217
4,4379,8,8,7.9697794914245605,0.9956827759742737,0.9984606504440308
5,4145,8,8,7.963313102722168,0.9947590231895447,0.9992715120315552
6,2488,0,8,7.771047115325928,0.9672924280166626,0.9999284744262695
7,2314,0,8,7.739985942840576,0.9628551602363586,0.9997608661651611
8,926,0,8,7.703922748565674,0.9577032327651978,0.9996966123580933
9,5150,7,7,7.258274078369141,0.8940391540527344,0.991555392742157
10,288,0,8,7.241951942443848,0.8917074203491211,0.9995625615119934
11,89,0,7,7.141079425811768,0.877297043800354,0.9997292757034302
12,2794,0,7,7.036856174468994,0.8624080419540405,0.9999998807907104
13,3281,0,8,7.018218994140625,0.8597455620765686,0.969409704208374
14,3593,0,7,7.0,0.8571428656578064,1.0
15,3901,0,7,6.999610900878906,0.857087254524231,1.0
16,3477,0,7,6.999131202697754,0.857018768787384,0.9998552203178406
17,3658,7,7,6.98197078704834,0.8545672297477722,0.9987156391143799
18,3974,7,7,6.978991985321045,0.8541417121887207,0.9971950054168701
19,3794,7,7,6.9687957763671875,0.8526850938796997,0.9743409156799316
20,4813,1,7,6.960957050323486,0.8515653014183044,0.9889897108078003
