rank,node_id,label,pred_label,S_i,S_i_norm,P_high
1,3335,7,7,7.110671043395996,0.8729529976844788,0.9994832277297974
2,3198,7,7,7.107198715209961,0.872456967830658,0.9965196251869202
3,3475,8,8,7.102595806121826,0.8717994093894958,0.9293814897537231
4,2910,0,7,7.099534511566162,0.8713620901107788,0.987657368183136
5,3100,0,7,7.087162017822266,0.8695945739746094,0.9984150528907776
6,3250,0,7,7.0672736167907715,0.8667533993721008,0.9993796944618225
7,3448,7,7,7.049032688140869,0.8641475439071655,0.9957432746887207
8,3300,7,7,7.03127384185791,0.8616105318069458,0.9999355673789978
9,2412,0,7,7.017725944519043,0.8596751093864441,0.9816673994064331
10,4091,7,7,7.016960144042969,0.8595657348632812,0.9990990161895752
11,2795,0,7,7.009369373321533,0.8584813475608826,0.9999807476997375
12,3208,7,7,7.006878852844238,0.8581255674362183,0.9999999403953552
13,3367,0,7,7.003664016723633,0.8576663136482239,0.9999999403953552
14,2993,0,7,6.984896183013916,0.8549851775169373,0.980809211730957
15,1184,0,7,6.964992523193359,0.852141797542572,0.9805529713630676
16,1216,0,7,6.9453125,0.8493303656578064,0.9879318475723267
17,2282,0,7,6.936698913574219,0.8480998277664185,0.9770201444625854
18,982,0,7,6.929850101470947,0.8471214175224304,0.9744804501533508
19,3410,7,7,6.921922206878662,0.8459888696670532,0.9627922773361206
20,4550,7,7,6.918895244598389,0.8455564379692078,0.9395854473114014
