rank,edge_id,src,dst,R_ij,w_norm,severity,P_level,C_level,RiskLevel
1,3080,3794,4369,0.9019405841827393,0.9999998807907104,7.313584804534912,5,8,40
2,3079,3794,4113,0.9019405841827393,0.9999998807907104,7.313584804534912,5,8,40
3,3077,3794,4699,0.9019405841827393,0.9999998807907104,7.313584804534912,5,8,40
4,2111,3651,4815,0.8906298279762268,0.9999998807907104,7.234409809112549,5,8,40
5,2124,3651,4687,0.8906298279762268,0.9999998807907104,7.234409809112549,5,8,40
6,2115,3651,4265,0.8906298279762268,0.9999998807907104,7.234409809112549,5,8,40
7,4170,4485,4620,0.8475933074951172,0.9999998807907104,6.933154106140137,5,7,35
8,4165,4485,5102,0.8475933074951172,0.9999998807907104,6.933154106140137,5,7,35
9,372,3477,3862,0.8455905914306641,0.9999998807907104,6.919135093688965,5,7,35
10,2373,3477,4202,0.8455905914306641,0.9999998807907104,6.919135093688965,5,7,35
11,451,3477,3873,0.8455905914306641,0.9999998807907104,6.919135093688965,5,7,35
12,3875,4043,5080,0.8033450245857239,0.9999998807907104,6.623415946960449,5,7,35
13,3847,4043,4828,0.8033450245857239,0.9999998807907104,6.623415946960449,5,7,35
14,1639,3698,4158,0.7764182686805725,0.9999998807907104,6.434928894042969,5,7,35
15,2982,4801,5017,0.7451297044754028,0.9999998807907104,6.215908527374268,5,7,35
16,2386,3553,4232,0.7332470417022705,0.9999998807907104,6.132729530334473,5,7,35
17,6056,3777,4238,0.7211923599243164,0.9999998807907104,6.048346996307373,5,7,35
18,6058,3777,4260,0.7211923599243164,0.9999998807907104,6.048346996307373,5,7,35
19,837,3739,3777,0.7211923599243164,0.9999998807907104,6.048346996307373,5,7,35
20,1040,3777,4886,0.7211923599243164,0.9999998807907104,6.048346996307373,5,7,35
