rank,node_id,label,pred_label,S_i,S_i_norm,P_high
1,4060,8,8,7.884732723236084,0.9835332632064819,0.9911349415779114
2,3772,8,8,7.826052665710449,0.9751504063606262,0.9787142276763916
3,3721,8,8,7.784776210784912,0.9692537188529968,0.9745436906814575
4,3537,8,8,7.628995418548584,0.9469993710517883,0.9503194689750671
5,3475,8,8,7.593971252441406,0.9419959187507629,0.9725944995880127
6,3487,8,8,7.566750526428223,0.9381071925163269,0.9706745147705078
7,4550,7,8,7.4987688064575195,0.9283955693244934,0.9421542882919312
8,3198,7,7,7.35690975189209,0.9081299901008606,0.9946810007095337
9,2795,0,7,7.304829120635986,0.9006898999214172,0.9993559122085571
10,4058,8,8,7.219611644744873,0.8885159492492676,0.8964446187019348
11,3439,0,8,7.207446098327637,0.8867779970169067,0.9393603801727295
12,4091,7,7,7.1231770515441895,0.8747395873069763,0.9954425096511841
13,3030,0,8,7.074719429016113,0.8678170442581177,0.8831731677055359
14,4357,7,7,7.057323455810547,0.8653319478034973,0.9517996907234192
15,4517,0,8,7.032506942749023,0.8617867231369019,0.8863587975502014
16,3448,7,7,7.0120954513549805,0.858870804309845,0.9980273842811584
17,1868,0,7,7.007678985595703,0.8582398295402527,0.9583859443664551
18,3300,7,7,7.007415771484375,0.8582022786140442,0.9994621276855469
19,3367,0,7,6.964395999908447,0.8520565629005432,0.9962068200111389
20,3208,7,7,6.951678276062012,0.8502397537231445,0.9897820949554443
