edge_id,src,dst,w_raw,w_norm,severity,severity_norm_mean,severity_norm,R_ij,P_level,C_level,RiskLevel
0,3494,3574,0.0,0.009999999776482582,3.165225028991699,0.30931785702705383,0.30931785702705383,0.003093178616836667,1,4,4
1,0,3494,0.0,0.009999999776482582,1.8141554594039917,0.11630792170763016,0.11630792170763016,0.0011630791705101728,1,2,2
2,0,3780,0.0,0.009999999776482582,5.582273483276367,0.6546105146408081,0.6546105146408081,0.006546104792505503,1,6,6
3,1,3780,0.0,0.009999999776482582,5.582273483276367,0.6546105146408081,0.6546105146408081,0.006546104792505503,1,6,6
4,1,3494,0.0,0.009999999776482582,1.8141554594039917,0.11630792170763016,0.11630792170763016,0.0011630791705101728,1,2,2
5,3494,3780,0.9999998807907104,0.9999998807907104,5.582273483276367,0.6546105146408081,0.6546105146408081,0.6546104550361633,5,6,30
6,2,3573,0.0,0.009999999776482582,2.375781536102295,0.1965402215719223,0.1965402215719223,0.0019654021598398685,1,3,3
7,2,3494,0.0,0.009999999776482582,1.8141554594039917,0.11630792170763016,0.11630792170763016,0.0011630791705101728,1,2,2
8,3,4,0.0,0.009999999776482582,1.9980814456939697,0.14258305728435516,0.14258305728435516,0.0014258305309340358,1,2,2
9,4,5,0.0,0.009999999776482582,1.9980814456939697,0.14258305728435516,0.14258305728435516,0.0014258305309340358,1,2,2
10,5,6,0.0,0.009999999776482582,4.401612758636475,0.4859446883201599,0.4859446883201599,0.004859446547925472,1,5,5
11,7,3780,0.0,0.009999999776482582,5.69058895111084,0.6700841188430786,0.6700841188430786,0.006700841244310141,1,6,6
12,7,3494,0.0,0.009999999776482582,5.69058895111084,0.6700841188430786,0.6700841188430786,0.006700841244310141,1,6,6
13,8,3497,0.0,0.009999999776482582,1.9290695190429688,0.13272421061992645,0.13272421061992645,0.0013272421201691031,1,2,2
14,8,9,0.0,0.009999999776482582,1.9290695190429688,0.13272421061992645,0.13272421061992645,0.0013272421201691031,1,2,2
15,9,10,0.0,0.009999999776482582,5.8711161613464355,0.6958737373352051,0.6958737373352051,0.006958737038075924,1,6,6
16,10,3497,0.0,0.009999999776482582,5.8711161613464355,0.6958737373352051,0.6958737373352051,0.006958737038075924,1,6,6
17,11,3782,0.0,0.009999999776482582,1.4591796398162842,0.06559709459543228,0.06559709459543228,0.0006559709436260164,1,2,2
18,11,12,0.0,0.009999999776482582,1.4591796398162842,0.06559709459543228,0.06559709459543228,0.0006559709436260164,1,2,2
19,12,13,0.0,0.009999999776482582,1.136476993560791,0.01949671283364296,0.01949671283364296,0.000194967127754353,1,2,2
20,13,14,0.0,0.009999999776482582,5.471789360046387,0.6388270258903503,0.6388270258903503,0.006388270296156406,1,6,6
21,14,15,0.0,0.009999999776482582,5.471789360046387,0.6388270258903503,0.6388270258903503,0.006388270296156406,1,6,6
22,16,17,0.0,0.009999999776482582,1.1175963878631592,0.016799483448266983,0.016799483448266983,0.00016799483273644,1,2,2
23,17,3181,0.0,0.009999999776482582,1.1175963878631592,0.016799483448266983,0.016799483448266983,0.00016799483273644,1,2,2
24,18,3181,0.0,0.009999999776482582,1.399909496307373,0.05712992697954178,0.05712992697954178,0.0005712992860935628,1,2,2
25,19,3181,0.0,0.009999999776482582,1.4012670516967773,0.057323865592479706,0.057323865592479706,0.0005732386489398777,1,2,2
26,19,20,0.0,0.009999999776482582,1.4012670516967773,0.057323865592479706,0.057323865592479706,0.0005732386489398777,1,2,2
27,20,3784,0.0,0.009999999776482582,1.024311900138855,0.0034731286577880383,0.0034731286577880383,3.473128526820801e-05,1,2,2
28,21,3784,0.0,0.009999999776482582,1.79139244556427,0.11305606365203857,0.11305606365203857,0.0011305606458336115,1,2,2
29,21,22,0.0,0.009999999776482582,1.947630763053894,0.13537582755088806,0.13537582755088806,0.0013537582708522677,1,2,2
30,22,23,0.0,0.009999999776482582,1.947630763053894,0.13537582755088806,0.13537582755088806,0.0013537582708522677,1,2,2
31,24,25,0.0,0.009999999776482582,1.159745454788208,0.02282078005373478,0.02282078005373478,0.00022820779122412205,1,2,2
32,25,26,0.0,0.009999999776482582,1.159745454788208,0.02282078005373478,0.02282078005373478,0.00022820779122412205,1,2,2
33,26,3497,0.0,0.009999999776482582,1.324362874031067,0.0463375523686409,0.0463375523686409,0.00046337550156749785,1,2,2
34,4838,4839,0.9999998807907104,0.9999998807907104,2.4949865341186523,0.2135695070028305,0.2135695070028305,0.21356947720050812,5,3,15
35,3785,4838,0.0,0.009999999776482582,2.4949865341186523,0.2135695070028305,0.2135695070028305,0.002135694958269596,1,3,3
36,3785,4839,0.0,0.009999999776482582,1.4485915899276733,0.06408451497554779,0.06408451497554779,0.0006408451590687037,1,2,2
37,3495,4839,0.5,0.5049999952316284,3.286709785461426,0.32667282223701477,0.32667282223701477,0.1649697721004486,5,4,20
38,4838,4840,0.5,0.5049999952316284,2.4949865341186523,0.2135695070028305,0.2135695070028305,0.10785260051488876,5,3,15
39,4839,4840,0.0,0.009999999776482582,2.0947587490081787,0.1563941091299057,0.1563941091299057,0.0015639410121366382,1,3,3
40,27,4839,0.0,0.009999999776482582,1.4485915899276733,0.06408451497554779,0.06408451497554779,0.0006408451590687037,1,2,2
41,27,4838,0.0,0.009999999776482582,2.4949865341186523,0.2135695070028305,0.2135695070028305,0.002135694958269596,1,3,3
42,28,3787,0.0,0.009999999776482582,1.4881033897399902,0.06972905248403549,0.06972905248403549,0.0006972905248403549,1,2,2
43,3182,3787,0.5,0.5049999952316284,1.4881033897399902,0.06972905248403549,0.06972905248403549,0.0352131724357605,5,2,10
44,29,3790,0.0,0.009999999776482582,3.966543436050415,0.42379191517829895,0.42379191517829895,0.0042379191145300865,1,4,4
45,29,30,0.0,0.009999999776482582,1.1091363430023193,0.015590906143188477,0.015590906143188477,0.00015590905968565494,1,2,2
46,30,3789,0.0,0.009999999776482582,1.2951014041900635,0.04215734452009201,0.04215734452009201,0.0004215734370518476,1,2,2
47,31,3787,0.0,0.009999999776482582,2.472121000289917,0.21030299365520477,0.21030299365520477,0.0021030299831181765,1,3,3
48,32,3787,0.0,0.009999999776482582,1.4881033897399902,0.06972905248403549,0.06972905248403549,0.0006972905248403549,1,2,2
49,32,3497,0.0,0.009999999776482582,1.324362874031067,0.0463375523686409,0.0463375523686409,0.00046337550156749785,1,2,2
50,33,3497,0.0,0.009999999776482582,1.324362874031067,0.0463375523686409,0.0463375523686409,0.00046337550156749785,1,2,2
51,33,34,0.0,0.009999999776482582,1.2612384557724,0.03731977939605713,0.03731977939605713,0.00037319777766242623,1,2,2
52,34,3788,0.0,0.009999999776482582,6.033836364746094,0.7191194891929626,0.7191194891929626,0.00719119468703866,1,7,7
53,3478,4573,0.0,0.009999999776482582,4.862469673156738,0.5517813563346863,0.5517813563346863,0.005517813377082348,1,5,5
54,35,3497,0.0,0.009999999776482582,1.324362874031067,0.0463375523686409,0.0463375523686409,0.00046337550156749785,1,2,2
55,35,36,0.0,0.009999999776482582,1.6557661294937134,0.09368087351322174,0.09368087351322174,0.0009368087048642337,1,2,2
56,36,3497,0.0,0.009999999776482582,1.6557661294937134,0.09368087351322174,0.09368087351322174,0.0009368087048642337,1,2,2
57,37,3576,0.0,0.009999999776482582,1.0531195402145386,0.007588505744934082,0.007588505744934082,7.588505832245573e-05,1,2,2
58,37,3784,0.0,0.009999999776482582,1.0011310577392578,0.0001615796791156754,0.0001615796791156754,1.6157968047991744e-06,1,2,2
59,3576,3784,0.0,0.009999999776482582,1.0531195402145386,0.007588505744934082,0.007588505744934082,7.588505832245573e-05,1,2,2
60,38,3496,0.0,0.009999999776482582,1.0915017127990723,0.01307167299091816,0.01307167299091816,0.00013071672583464533,1,2,2
61,38,39,0.0,0.009999999776482582,1.0915017127990723,0.01307167299091816,0.01307167299091816,0.00013071672583464533,1,2,2
62,39,40,0.0,0.009999999776482582,1.047959804534912,0.006851400714367628,0.006851400714367628,6.851400394225493e-05,1,2,2
63,40,41,0.0,0.009999999776482582,1.0168415307998657,0.0024059328716248274,0.0024059328716248274,2.405932900728658e-05,1,2,2
