rank,node_id,label,pred_label,S_i,S_i_norm,P_high
1,3367,0,7,6.952365875244141,0.8503379821777344,0.999376118183136
2,3475,8,8,6.873511791229248,0.839073121547699,0.8305453062057495
3,3208,7,7,6.8538641929626465,0.8362663388252258,0.9807380437850952
4,3335,7,7,6.853825092315674,0.8362607359886169,0.948723554611206
5,3439,0,8,6.8450446128845215,0.8350063562393188,0.8755247592926025
6,3300,7,7,6.772216320037842,0.8246023058891296,0.9742287397384644
7,3721,8,8,6.720811367034912,0.8172587752342224,0.8046581745147705
8,3250,0,7,6.590330123901367,0.7986186146736145,0.9500490427017212
9,4430,0,8,6.590287208557129,0.7986124753952026,0.8270283937454224
10,3772,8,8,6.580506801605225,0.7972152829170227,0.8121166229248047
11,3100,0,7,6.455073356628418,0.7792962193489075,0.9215617775917053
12,4180,0,8,6.382628440856934,0.7689469456672668,0.7872055768966675
13,4058,8,8,6.372128486633301,0.7674469351768494,0.7621829509735107
14,3901,7,7,6.334369659423828,0.7620528340339661,0.8042304515838623
15,3487,8,8,6.248261451721191,0.749751627445221,0.7597427368164062
16,1317,0,7,6.2127766609191895,0.7446823716163635,0.8006309270858765
17,3299,1,7,6.2057976722717285,0.7436853647232056,0.836909294128418
18,4357,7,7,6.154165744781494,0.7363094091415405,0.8190250396728516
19,2149,0,7,6.138768196105957,0.7341097593307495,0.7997554540634155
20,3410,7,7,6.055208206176758,0.7221726179122925,0.7750492691993713
