rank,edge_id,src,dst,R_ij,w_norm,severity,P_level,C_level,RiskLevel
1,1288,3475,3491,0.922787070274353,1.0,7.459509372711182,5,8,40
2,2861,3448,3858,0.8976725935935974,1.0,7.283708095550537,5,8,40
3,2864,3448,4503,0.8976725935935974,1.0,7.283708095550537,5,8,40
4,3726,3448,4028,0.8976725935935974,1.0,7.283708095550537,5,8,40
5,2872,3347,3448,0.8976725935935974,1.0,7.283708095550537,5,8,40
6,3724,3448,4271,0.8976725935935974,1.0,7.283708095550537,5,8,40
7,5170,3300,4627,0.8959521651268005,1.0,7.271665096282959,5,8,40
8,2930,3244,3300,0.8959521651268005,1.0,7.271665096282959,5,8,40
9,1009,3198,3771,0.8820905089378357,1.0,7.174633502960205,5,8,40
10,1048,3198,3693,0.8820905089378357,1.0,7.174633502960205,5,8,40
11,2177,3335,4325,0.8772777915000916,1.0,7.140944480895996,5,8,40
12,2174,3335,3866,0.8772777915000916,1.0,7.140944480895996,5,8,40
13,2115,3116,3335,0.8772777915000916,1.0,7.140944480895996,5,8,40
14,3173,3335,3861,0.8772777915000916,1.0,7.140944480895996,5,8,40
15,3636,3335,3804,0.8772777915000916,1.0,7.140944480895996,5,8,40
16,1069,3100,3698,0.8764819502830505,1.0,7.135373592376709,5,8,40
17,1082,3100,4381,0.8764819502830505,1.0,7.135373592376709,5,8,40
18,1002,3100,3685,0.8764819502830505,1.0,7.135373592376709,5,8,40
19,4647,3100,4199,0.8764819502830505,1.0,7.135373592376709,5,8,40
20,999,3100,3684,0.8764819502830505,1.0,7.135373592376709,5,8,40
