edge_id,src,dst,w_raw,w_norm,severity,severity_norm,R_ij,P_level,C_level,RiskLevel
0,3392,4348,0.0,0.009999999776482582,4.385466575622559,0.48363804817199707,0.004836380481719971,1,5,5
1,3391,4348,0.0,0.009999999776482582,2.499486207962036,0.2142123132944107,0.002142123179510236,1,3,3
2,3391,4255,0.0,0.009999999776482582,6.9048871994018555,0.8435553312301636,0.008435552939772606,1,7,7
3,3391,3395,0.4999999701976776,0.5049999952316284,2.499486207962036,0.2142123132944107,0.10817721486091614,5,3,15
4,3395,4255,0.4999999701976776,0.5049999952316284,6.9048871994018555,0.8435553312301636,0.42599543929100037,5,7,35
5,3398,4255,0.0,0.009999999776482582,6.9048871994018555,0.8435553312301636,0.008435552939772606,1,7,7
6,3398,4348,0.0,0.009999999776482582,2.196805715560913,0.17097224295139313,0.0017097224481403828,1,3,3
7,3399,4255,0.0,0.009999999776482582,6.9048871994018555,0.8435553312301636,0.008435552939772606,1,7,7
8,3399,3401,0.0,0.009999999776482582,1.7200424671173096,0.10286320745944977,0.0010286320466548204,1,2,2
9,3401,4246,0.4999999701976776,0.5049999952316284,2.7387595176696777,0.2483942061662674,0.12543907761573792,5,3,15
10,0,4255,0.0,0.009999999776482582,6.9048871994018555,0.8435553312301636,0.008435552939772606,1,7,7
11,0,1,0.0,0.009999999776482582,2.277353048324585,0.18247900903224945,0.0018247900297865272,1,3,3
12,1,3401,0.0,0.009999999776482582,1.7200424671173096,0.10286320745944977,0.0010286320466548204,1,2,2
13,3396,3401,0.0,0.009999999776482582,1.7200424671173096,0.10286320745944977,0.0010286320466548204,1,2,2
14,2,4255,0.0,0.009999999776482582,6.9048871994018555,0.8435553312301636,0.008435552939772606,1,7,7
15,2,3401,0.0,0.009999999776482582,4.263272285461426,0.46618178486824036,0.004661817569285631,1,5,5
16,3,4246,0.0,0.009999999776482582,2.7387595176696777,0.2483942061662674,0.0024839420802891254,1,3,3
17,3,4,0.0,0.009999999776482582,2.0265815258026123,0.14665450155735016,0.001466544927097857,1,3,3
18,4,4246,0.0,0.009999999776482582,2.7387595176696777,0.2483942061662674,0.0024839420802891254,1,3,3
19,3391,4246,0.0,0.009999999776482582,2.7387595176696777,0.2483942061662674,0.0024839420802891254,1,3,3
20,3395,3396,0.0,0.009999999776482582,1.7029058933258057,0.10041512548923492,0.0010041511850431561,1,2,2
21,5,4246,0.0,0.009999999776482582,2.7387595176696777,0.2483942061662674,0.0024839420802891254,1,3,3
22,5,6,0.0,0.009999999776482582,1.6497206687927246,0.09281724691390991,0.0009281724342145026,1,2,2
23,6,3394,0.0,0.009999999776482582,1.7785096168518066,0.11121565848588943,0.0011121565476059914,1,2,2
24,7,3394,0.0,0.009999999776482582,1.7785096168518066,0.11121565848588943,0.0011121565476059914,1,2,2
25,3390,4255,0.0,0.009999999776482582,6.9048871994018555,0.8435553312301636,0.008435552939772606,1,7,7
26,3390,3395,0.0,0.009999999776482582,1.4496830701828003,0.06424043327569962,0.0006424043094739318,1,2,2
27,3188,3189,0.0,0.009999999776482582,2.212437152862549,0.17320531606674194,0.0017320531187579036,1,3,3
28,8,3189,0.0,0.009999999776482582,1.2607468366622925,0.037249546498060226,0.00037249544402584434,1,2,2
29,8,3397,0.0,0.009999999776482582,1.3156770467758179,0.04509672522544861,0.0004509672289714217,1,2,2
30,3188,3405,0.0,0.009999999776482582,2.212437152862549,0.17320531606674194,0.0017320531187579036,1,3,3
31,3405,3406,1.0,1.0,1.0166075229644775,0.0023725007195025682,0.0023725007195025682,5,2,10
32,3375,3406,0.0,0.009999999776482582,1.3333414793014526,0.04762021079659462,0.0004762020835187286,1,2,2
33,9,3188,0.0,0.009999999776482582,2.212437152862549,0.17320531606674194,0.0017320531187579036,1,3,3
34,9,3404,0.0,0.009999999776482582,1.1750656366348267,0.025009382516145706,0.0002500938135199249,1,2,2
35,3404,3407,0.4999999701976776,0.5049999952316284,2.474569320678711,0.21065275371074677,0.10637964308261871,5,3,15
36,3187,3189,1.0,1.0,5.036741256713867,0.5766773223876953,0.5766773223876953,5,6,30
37,10,3189,0.0,0.009999999776482582,1.061576008796692,0.008796573616564274,8.796573092695326e-05,1,2,2
38,10,3397,0.0,0.009999999776482582,1.3156770467758179,0.04509672522544861,0.0004509672289714217,1,2,2
39,11,3187,0.0,0.009999999776482582,5.036741256713867,0.5766773223876953,0.005766773130744696,1,6,6
40,11,12,0.0,0.009999999776482582,2.233273506164551,0.17618191242218018,0.0017618191195651889,1,3,3
41,12,3187,0.0,0.009999999776482582,5.036741256713867,0.5766773223876953,0.005766773130744696,1,6,6
42,13,3187,0.0,0.009999999776482582,5.036741256713867,0.5766773223876953,0.005766773130744696,1,6,6
43,13,14,0.0,0.009999999776482582,1.509137749671936,0.07273396104574203,0.0007273395895026624,1,2,2
44,14,3187,0.0,0.009999999776482582,5.036741256713867,0.5766773223876953,0.005766773130744696,1,6,6
