rank,edge_id,src,dst,R_ij,w_norm,severity,P_level,C_level,RiskLevel
1,3297,3208,3873,0.8570072054862976,1.0,6.999050617218018,5,7,35
2,2148,3208,3862,0.8570072054862976,1.0,6.999050617218018,5,7,35
3,1288,3475,3491,0.8563693761825562,1.0,6.9945855140686035,5,7,35
4,3636,3335,3804,0.8562672734260559,1.0,6.993870735168457,5,7,35
5,3173,3335,3861,0.8562672734260559,1.0,6.993870735168457,5,7,35
6,2177,3335,4325,0.8562672734260559,1.0,6.993870735168457,5,7,35
7,2174,3335,3866,0.8562672734260559,1.0,6.993870735168457,5,7,35
8,2115,3116,3335,0.8562672734260559,1.0,6.993870735168457,5,7,35
9,5170,3300,4627,0.8473461270332336,1.0,6.931422710418701,5,7,35
10,2930,3244,3300,0.8473461270332336,1.0,6.931422710418701,5,7,35
11,1069,3100,3698,0.8437933921813965,1.0,6.906553745269775,5,7,35
12,1001,3100,3771,0.8437933921813965,1.0,6.906553745269775,5,7,35
13,4647,3100,4199,0.8437933921813965,1.0,6.906553745269775,5,7,35
14,1002,3100,3685,0.8437933921813965,1.0,6.906553745269775,5,7,35
15,1082,3100,4381,0.8437933921813965,1.0,6.906553745269775,5,7,35
16,999,3100,3684,0.8437933921813965,1.0,6.906553745269775,5,7,35
17,2861,3448,3858,0.8251038789749146,1.0,6.775727272033691,5,7,35
18,2864,3448,4503,0.8251038789749146,1.0,6.775727272033691,5,7,35
19,3724,3448,4271,0.8251038789749146,1.0,6.775727272033691,5,7,35
20,3726,3448,4028,0.8251038789749146,1.0,6.775727272033691,5,7,35
