rank,node_id,label,pred_label,S_i,S_i_norm,P_high
1,3484,0,8,7.999998569488525,0.9999998211860657,0.9999999403953552
2,4436,8,8,7.608372211456299,0.9440531730651855,0.9400404691696167
3,4198,8,8,7.511340141296387,0.9301914572715759,0.9299778938293457
4,3593,0,7,6.995697021484375,0.8565281629562378,0.9999964833259583
5,5157,7,7,6.979139804840088,0.8541628122329712,0.9961709380149841
6,2794,0,7,6.977087020874023,0.8538695573806763,0.9989438652992249
7,3477,0,7,6.973200798034668,0.8533143997192383,0.9915811419487
8,3901,0,7,6.97235631942749,0.8531937599182129,0.9985241889953613
9,4485,7,7,6.95206880569458,0.8502955436706543,0.9906259179115295
10,3794,7,7,6.874214172363281,0.839173436164856,0.952304482460022
11,4389,8,8,6.792609691619873,0.8275156617164612,0.823464035987854
12,4394,0,8,6.691165447235107,0.8130236268043518,0.8037503957748413
13,3636,7,7,6.464601039886475,0.7806572914123535,0.8657872080802917
14,4145,8,8,6.365588188171387,0.7665125727653503,0.7558912634849548
15,3701,0,8,6.361587047576904,0.7659410238265991,0.7480244636535645
16,3777,7,7,6.352453231811523,0.7646361589431763,0.8305564522743225
17,3458,7,7,6.328938961029053,0.7612770199775696,0.8928200602531433
18,3651,7,7,6.241366863250732,0.7487667202949524,0.8261637687683105
19,4370,6,7,6.200481414794922,0.7429259419441223,0.755295991897583
20,3929,0,8,6.1014933586120605,0.7287847399711609,0.7073860168457031
