edge_id,src,dst,w_raw,w_norm,severity,severity_norm_mean,severity_norm,R_ij,P_level,C_level,RiskLevel
0,3494,3574,0.0,0.009999999776482582,2.6456801891326904,0.23509716987609863,0.23509716987609863,0.002350971568375826,1,3,3
1,0,3494,0.0,0.009999999776482582,1.7835808992385864,0.11194013059139252,0.11194013059139252,0.0011194013059139252,1,2,2
2,0,3780,0.0,0.009999999776482582,3.7093939781188965,0.38705629110336304,0.38705629110336304,0.003870562883093953,1,4,4
3,1,3780,0.0,0.009999999776482582,3.7093939781188965,0.38705629110336304,0.38705629110336304,0.003870562883093953,1,4,4
4,1,3494,0.0,0.009999999776482582,2.052968740463257,0.15042410790920258,0.15042410790920258,0.0015042410232126713,1,3,3
5,3494,3780,0.9999998807907104,0.9999998807907104,3.7093939781188965,0.38705629110336304,0.38705629110336304,0.38705623149871826,5,4,20
6,2,3573,0.0,0.009999999776482582,3.3378825187683105,0.3339832127094269,0.3339832127094269,0.0033398319501429796,1,4,4
7,2,3494,0.0,0.009999999776482582,2.1174862384796143,0.15964089334011078,0.15964089334011078,0.0015964088961482048,1,3,3
8,3,4,0.0,0.009999999776482582,1.8443732261657715,0.12062474340200424,0.12062474340200424,0.0012062473688274622,1,2,2
9,4,5,0.0,0.009999999776482582,1.8443732261657715,0.12062474340200424,0.12062474340200424,0.0012062473688274622,1,2,2
10,5,6,0.0,0.009999999776482582,1.729813575744629,0.10425908118486404,0.10425908118486404,0.001042590825818479,1,2,2
11,7,3780,0.0,0.009999999776482582,3.7093939781188965,0.38705629110336304,0.38705629110336304,0.003870562883093953,1,4,4
12,7,3494,0.0,0.009999999776482582,2.7071332931518555,0.24387618899345398,0.24387618899345398,0.0024387617595493793,1,3,3
13,8,3497,0.0,0.009999999776482582,1.6523520946502686,0.0931931585073471,0.0931931585073471,0.0009319315431639552,1,2,2
14,8,9,0.0,0.009999999776482582,1.6523520946502686,0.0931931585073471,0.0931931585073471,0.0009319315431639552,1,2,2
15,9,10,0.0,0.009999999776482582,2.374419689178467,0.19634567201137543,0.19634567201137543,0.001963456626981497,1,3,3
16,10,3497,0.0,0.009999999776482582,2.374419689178467,0.19634567201137543,0.19634567201137543,0.001963456626981497,1,3,3
17,11,3782,0.0,0.009999999776482582,1.2298897504806519,0.03284139186143875,0.03284139186143875,0.00032841390930116177,1,2,2
18,11,12,0.0,0.009999999776482582,1.3242177963256836,0.046316828578710556,0.046316828578710556,0.0004631682822946459,1,2,2
19,12,13,0.0,0.009999999776482582,1.3717219829559326,0.053103141486644745,0.053103141486644745,0.0005310314008966088,1,2,2
20,13,14,0.0,0.009999999776482582,1.6649709939956665,0.09499585628509521,0.09499585628509521,0.000949958513956517,1,2,2
21,14,15,0.0,0.009999999776482582,1.6649709939956665,0.09499585628509521,0.09499585628509521,0.000949958513956517,1,2,2
22,16,17,0.0,0.009999999776482582,1.2511852979660034,0.03588361293077469,0.03588361293077469,0.00035883611417375505,1,2,2
23,17,3181,0.0,0.009999999776482582,1.1531671285629272,0.021881017833948135,0.021881017833948135,0.00021881017892155796,1,2,2
24,18,3181,0.0,0.009999999776482582,1.2408196926116943,0.034402813762426376,0.034402813762426376,0.00034402814344502985,1,2,2
25,19,3181,0.0,0.009999999776482582,1.1258172988891602,0.017973899841308594,0.017973899841308594,0.00017973899957723916,1,2,2
26,19,20,0.0,0.009999999776482582,1.1258172988891602,0.017973899841308594,0.017973899841308594,0.00017973899957723916,1,2,2
27,20,3784,0.0,0.009999999776482582,1.0509003400802612,0.007271477021276951,0.007271477021276951,7.271477079484612e-05,1,2,2
28,21,3784,0.0,0.009999999776482582,1.1738959550857544,0.02484227903187275,0.02484227903187275,0.00024842278799042106,1,2,2
29,21,22,0.0,0.009999999776482582,1.3003562688827515,0.042908038944005966,0.042908038944005966,0.0004290803917683661,1,2,2
30,22,23,0.0,0.009999999776482582,1.3003562688827515,0.042908038944005966,0.042908038944005966,0.0004290803917683661,1,2,2
31,24,25,0.0,0.009999999776482582,1.0446864366531372,0.006383776664733887,0.006383776664733887,6.383776781149209e-05,1,2,2
32,25,26,0.0,0.009999999776482582,1.067935824394226,0.009705117903649807,0.009705117903649807,9.705117554403841e-05,1,2,2
33,26,3497,0.0,0.009999999776482582,1.4098589420318604,0.058551277965307236,0.058551277965307236,0.0005855127819813788,1,2,2
