rank,edge_id,src,dst,R_ij,w_norm,severity,P_level,C_level,RiskLevel
1,372,3477,3862,0.8569045662879944,0.9999998807907104,6.998332977294922,5,7,35
2,451,3477,3873,0.8569045662879944,0.9999998807907104,6.998332977294922,5,7,35
3,2373,3477,4202,0.8569045662879944,0.9999998807907104,6.998332977294922,5,7,35
4,4170,4485,4620,0.8392820358276367,0.9999998807907104,6.874975204467773,5,7,35
5,4165,4485,5102,0.8392820358276367,0.9999998807907104,6.874975204467773,5,7,35
6,3077,3794,4699,0.8029081225395203,0.9999998807907104,6.620357513427734,5,7,35
7,3080,3794,4369,0.8029081225395203,0.9999998807907104,6.620357513427734,5,7,35
8,3079,3794,4113,0.8029081225395203,0.9999998807907104,6.620357513427734,5,7,35
9,5216,4437,5170,0.79561847448349,0.9999998807907104,6.569330215454102,5,7,35
10,4863,4437,5141,0.79561847448349,0.9999998807907104,6.569330215454102,5,7,35
11,3029,4339,4437,0.79561847448349,0.9999998807907104,6.569330215454102,5,7,35
12,5218,4437,5169,0.79561847448349,0.9999998807907104,6.569330215454102,5,7,35
13,5219,4437,5171,0.79561847448349,0.9999998807907104,6.569330215454102,5,7,35
14,5221,4437,4530,0.79561847448349,0.9999998807907104,6.569330215454102,5,7,35
15,4861,4437,4819,0.79561847448349,0.9999998807907104,6.569330215454102,5,7,35
16,2894,4437,4521,0.79561847448349,0.9999998807907104,6.569330215454102,5,7,35
17,2115,3651,4265,0.7918128371238708,0.9999998807907104,6.542690753936768,5,7,35
18,2111,3651,4815,0.7918128371238708,0.9999998807907104,6.542690753936768,5,7,35
19,2124,3651,4687,0.7918128371238708,0.9999998807907104,6.542690753936768,5,7,35
20,1639,3698,4158,0.7871749401092529,0.9999998807907104,6.510225296020508,5,7,35
